strategy,NE,impr_pct
fixed delta=0.1 (baseline),0.44277745169255245,0.0
global fixed delta=0.1,0.44277745169255245,0.0
per-n best delta,0.4366327856235516,1.387754964827668
"adaptive delta(n, beta-hat)",0.43223334221828097,2.381356465638838
per-scenario oracle (upper bound),0.38482021626832624,13.08947309820769
