beta,best_delta,NE_at_best
0.8,1.0,0.3621736664731858
1.2,0.7,0.30666013543527165
2.0,0.2,0.33489645140056734
3.0,0.1,0.4094335749085976
5.0,0.05,0.5225633878735594
