level,NE,impr_pct
固定 δ=0 (经典 ∇=0),0.8219925683293301,-86.99488153694732
固定 δ=0.1 (基线/常用),0.43958025031124554,0.0
全局最优固定 δ=0.1,0.43958025031124554,0.0
按 n 分层 (已知 n),0.43357470324833786,1.366200382900606
按 β 分层 (已知真 β),0.3871454432182363,11.928381007991756
"按 (β,γ/η) 分层",0.3869702979402733,11.968224762991888
"按 (n,β,γ/η) 全场景分层",0.38222077326411663,13.048692930702739
逐样本最优 (绝对上界),0.30250462573094977,31.183299177622093
