n,beta,gamma_over_eta,gamma,eta,delta,R,n_anom,anom_rate,strict_rate,has_flank_rate,gamma_bias,gamma_mae,gamma_rmse,gamma_std,gamma_medae,beta_bias,beta_mae,beta_rmse,eta_bias,eta_mae,eta_rmse,NE_mean_clean,NE_mean_capped,NE_median,NE_p90,hug_rate,hug_median,n_clean
50,0.8,0.0,0.0,100.0,0.0,300,0,0.0,1.0,0.38,-0.14704435554560216,0.7250405577768636,1.068186934683065,1.0597854037191847,0.5476638254980155,0.054303495553949616,0.06611696112884134,0.09379103583502944,1.6248837210249114,15.079992580445705,19.313590919349824,0.18913255545563215,0.18913255545563215,0.16015549815254898,0.3397868973881708,1.0,0.001,300
50,0.8,0.0,0.0,100.0,0.01,300,0,0.0,0.15666666666666668,0.38,0.00731962951558241,0.6411123935523543,0.9140685815532408,0.9155664921119067,0.4770718174321992,0.047655885475287076,0.05962251095720662,0.08156272747785884,1.2539868278360764,14.89201740027283,18.97859044904308,0.18160542863091006,0.18160542863091006,0.15350123509149616,0.3276699375446485,1.0,0.001,300
50,0.8,0.0,0.0,100.0,0.03,300,0,0.0,0.18333333333333332,0.38,-0.03769392678792089,0.6751416527203289,1.017634582707135,1.01863538059512,0.49042959763227223,0.04897256573088576,0.060939191212805305,0.08583013201409506,1.3507567311592081,14.976744884686061,19.147242862384196,0.1831524338949196,0.1831524338949196,0.15345466703099486,0.3271418309373844,1.0,0.001,300
50,0.8,0.0,0.0,100.0,0.05,300,0,0.0,0.19666666666666666,0.38,-0.04436170448525088,0.6753054971277266,1.0133142088968734,1.0140341592114235,0.4937423981772878,0.04940467444375831,0.06137129992567786,0.08651695695515035,1.3641322983667712,14.976572171779026,19.143907542589776,0.18358153264932692,0.18358153264932692,0.15514425771407822,0.3266417420227499,1.0,0.001,300
50,0.8,0.0,0.0,100.0,0.08,300,0,0.0,0.2,0.38,-0.04849675600581348,0.6797635701550523,1.0117699620415395,1.0122955736879147,0.49698070609445605,0.04952678968593761,0.06149341516785717,0.08631642549971658,1.380509204631519,15.00035974312076,19.178342152283246,0.1838753749795739,0.1838753749795739,0.15514425771407822,0.32911767246835105,1.0,0.001,300
50,0.8,0.0,0.0,100.0,0.1,300,0,0.0,0.21333333333333335,0.38,-0.05987754754188777,0.6878543564421168,1.0249305906135013,1.0248896154979625,0.4969106860600928,0.049959850064035374,0.061926475545954936,0.08717038229586331,1.4077584038006523,15.018180011233632,19.215135339096943,0.18441542457936658,0.18441542457936658,0.15514425771407822,0.3292004313448964,1.0,0.001,300
50,0.8,0.0,0.0,100.0,0.15,300,0,0.0,0.25,0.38,-0.08516911905517045,0.6997297382539395,1.0332720574613015,1.0314765365117415,0.5022949965164865,0.05136334948325833,0.0633299749651779,0.08966471375232349,1.4580318865439759,15.01734693374729,19.215993497651553,0.18594725051648292,0.18594725051648292,0.15711508076351438,0.33960230585638995,1.0,0.001,300
50,0.8,0.0,0.0,100.0,0.2,300,0,0.0,0.2633333333333333,0.38,-0.0868625136395269,0.6922394422411827,1.0156412086131967,1.0136107029895058,0.49698070609445605,0.05134188162176887,0.06330850710368842,0.08953835619070906,1.4729486594885,15.00528794745212,19.2015618563004,0.18593486324243366,0.18593486324243366,0.1559220642332983,0.33960230585638995,1.0,0.001,300
50,0.8,0.0,0.0,100.0,0.3,300,0,0.0,0.2866666666666667,0.38,-0.09402772999399983,0.6933304405640665,1.0057681783436407,1.0030364007843995,0.5000933327924801,0.05165788523641432,0.06364146546749454,0.08993370628923772,1.4982572886261663,15.016358529386308,19.19751617518801,0.18636301400944252,0.18636301400944252,0.15811773149418834,0.33960230585638995,1.0,0.001,300
50,0.8,0.0,0.0,100.0,0.5,300,0,0.0,0.3233333333333333,0.38,-0.09745957051823036,0.6932506912185817,0.9882039730392758,0.985029441750548,0.5346389737520171,0.05158227263263584,0.06356422055460312,0.08908742273189381,1.5467316995231766,15.053349933193234,19.242763397826717,0.18670805552179923,0.18670805552179923,0.15904527881244612,0.33215384987498464,1.0,0.001,300
50,0.8,0.0,0.0,100.0,0.7,300,0,0.0,0.3466666666666667,0.38,-0.08743575263282428,0.6881648433626595,0.9725092582812873,0.9701890550882655,0.5493704265193247,0.05116801308560646,0.06317068645770894,0.0877375692544918,1.5306868128621287,15.066511181899713,19.250901698079932,0.1863692696601908,0.1863692696601908,0.15876277489088186,0.3333067183334026,1.0,0.001,300
50,0.8,0.0,0.0,100.0,1.0,300,0,0.0,0.37,0.38,-0.07134259126092765,0.6787005817261567,0.955000392961403,0.9539230660532528,0.540949971749825,0.05067978832858112,0.0625960554763883,0.08661961682843189,1.479379940830631,15.018760704967136,19.194085341198107,0.1854729032978498,0.1854729032978498,0.1596667627481771,0.3271417003820434,1.0,0.001,300
50,0.8,0.05,5.0,100.0,0.0,300,0,0.0,1.0,0.4,-0.15893609328435357,0.7315118984498367,1.0138855213252536,1.00302377384961,0.5531143931198979,0.06019135460531874,0.07213004201867358,0.10367341444080021,0.4762728269353584,14.305229476955823,18.160809093116015,0.18928231598774362,0.18928231598774362,0.16972585478210578,0.3568855255864217,1.0,0.0010000000000000007,300
50,0.8,0.05,5.0,100.0,0.01,300,0,0.0,0.18666666666666668,0.4,-0.01073896722112635,0.6681400077974242,0.9387771221824049,0.9402841453319543,0.4739722552437864,0.05188871693571683,0.06410677465585367,0.0915695613367395,0.18115688349472814,14.167070763042872,17.993056994745327,0.18072357191696814,0.18072357191696814,0.16426880198834276,0.33652357047211917,1.0,0.0010000000000000002,300
50,0.8,0.05,5.0,100.0,0.03,300,0,0.0,0.19333333333333333,0.4,-0.0248057029306528,0.6728390563925484,0.9490531375581936,0.9503140838011067,0.4739722552437864,0.05299500655097667,0.06517369036399677,0.0936270792824818,0.19412768330629449,14.181756407169656,18.001998401313827,0.18198302303267083,0.18198302303267083,0.16448683880898463,0.3377488216846599,1.0,0.0010000000000000002,300
