n,best_delta,NE_at_best
5,0.15,0.8069766976315601
10,0.15,0.5837041636927291
20,0.1,0.41042893202215736
30,0.08,0.33881752297020257
50,0.08,0.2592277041806539
100,0.05,0.20229319899272402
