repeat_id,beta_hat,eta_hat,gamma_hat,r_squared,converged,time,error,raw_status,sample_content_hash
40,1.000692591293917,777.3287269774426,1018.2161816930676,0.9507721670665262,True,0.006748499989043921,,,6358d0ec5b6c0f7e
41,2.7840136220778935,2099.1679836649078,3.597122599785507e-05,0.7432835910862415,True,0.0009342000121250749,,,af0f372fed5a7f67
42,5.081971667082329,2331.521109456223,1.589839371263224e-05,0.9466969605498516,True,0.0008358999621123075,,,a3280d9128b672ad
43,5.418263110685582,1683.6431241838393,0.0,0.9369332840325096,True,0.0006242000381462276,,,297f05e6061c5bc1
44,4.944572624381947,2383.094394547704,0.0,0.8425843017325887,True,0.0006733999471180141,,,44e48f15aacdd0e2
45,6.121076778122263,1637.9034265025023,1.3877787807814457e-05,0.9329079218169756,True,0.0008042000117711723,,,2d4bec394a5aa7d1
46,3.5972350726308675,2201.673595743225,3.79363207514416e-05,0.9140972482375218,True,0.0007535000331699848,,,683d63567ae10ae3
47,3.9841594363935524,2130.743760761829,2.5646151868841116e-05,0.9137628001947398,True,0.0007353000110015273,,,d4eb210ba8d0c5fe
48,4.442826868389741,1983.3449802492046,1.9961809982760315e-05,0.95891766564418,True,0.0008147999760694802,,,8754a7b70b11faea
49,7.419602630194229,1822.2579865378978,0.0,0.84487053067364,True,0.0007129000150598586,,,37a65427943a2c33
50,3.4627460304355244,2088.3495636327043,0.0,0.8059236636416687,True,0.0004813999985344708,,,90da9668d112a810
51,2.9576340506489576,2589.2050491073337,1.4765966227514582e-05,0.8513308570967729,True,0.0006888000061735511,,,88a73ea892ddaf11
52,5.180739343109337,1769.968034995134,0.0,0.947322172193971,True,0.0005498999962583184,,,94dadd0407936971
53,5.61240841983806,2088.8804462151293,0.0,0.9248512029721069,True,0.00041509995935484767,,,15ab7a618de2c664
54,12.256539794768775,2034.1256714512222,0.0,0.969155171586825,True,0.0004254000377841294,,,d8fc77523b1e67c5
55,4.422066963387918,2060.3410959670464,2.5446311724408588e-05,0.9025304716582763,True,0.0007106999983079731,,,f0832219d6dd4980
56,3.806691127508321,2308.2303110448825,0.0,0.9490891948860555,True,0.000665700004901737,,,8b629efda50038ae
57,3.0638492127336336,1980.7397680202228,3.538280779480374e-05,0.8266186858665454,True,0.0009038000134751201,,,31ac1c360f439c8e
58,6.552587962011012,2121.4851142189727,0.0,0.8924327284345196,True,0.0005928000318817794,,,aabe7c953c6c9d66
59,2.6588351823049816,2102.036669101002,3.715916463420399e-05,0.8117717987407135,True,0.0008303999784402549,,,cd8c490ac859bdae
0,9.355922077336437,2011.605541256514,0.0,0.9048779899769891,True,0.0013007999514229596,,,d161d567b1690be7
1,5.506839579465482,2067.904269942901,0.0,0.9231490176318531,True,0.0007982999668456614,,,ffabfd431ec334a5
2,5.770477689070329,2198.589900809496,0.0,0.9518250984414994,True,0.0007687999750487506,,,4bedb0f127d13b13
3,0.8328577062872666,516.1747276818472,1082.6708333554127,0.9606040590707742,True,0.006238800007849932,,,887cb0353a69d661
4,7.6718523092646835,1941.4006556512684,1.0202949596305189e-05,0.9735218328840411,True,0.0009621999925002456,,,cb051fd4fefab458
5,5.148628649314514,2022.900441805959,1.0269562977782698e-05,0.9484458188012396,True,0.0008888000156730413,,,b27c5adfe6fa0b57
6,4.711005786617409,2340.780588409757,0.0,0.9584190535207603,True,0.0005630999803543091,,,390ad1eeb9a8cd38
7,9.666101799100657,1659.1006151114948,0.0,0.9734846569665891,True,0.000533199985511601,,,ad997edd31e54273
8,5.903417290055393,2038.0632375112623,1.6642243139131097e-05,0.9209043951346988,True,0.0005512000061571598,,,e1286e99f53f2f24
9,10.701921359751934,2162.514048269542,0.0,0.9573286762276862,True,0.0006089999806135893,,,4b69a92fd43fbec5
