sample_size,mc_runs,beta_mean,beta_median,beta_std,eta_mean,eta_median,eta_std,gamma_mean,gamma_median,gamma_std
3,1000,7.3705325580000007,5.2964164999999994,11.7650691318858627,1110.4286126310000782,1618.2312925000001087,1006.0895841831932103,0.0001400530000000,0.0000000000000000,0.0002898035441312
3,2000,7.8819848375000010,5.3056400000000004,20.6759339668820346,1125.2397415630000523,1635.5034795000001395,1014.0682294188580954,0.0001342610000000,0.0000000000000000,0.0002708236951949
3,3000,7.8475109309999995,5.2534939999999999,19.5687608946782561,1117.8351835973335255,1629.0867600000001403,1018.5022255118780095,0.0001313900000000,0.0000000000000000,0.0002584734916776
3,4000,7.7680593834999998,5.3418634999999997,17.8779810008890152,1127.0255107442499138,1637.9523269999999684,1017.6145897391037352,0.0001318842500000,0.0000000000000000,0.0002650335523135
3,5000,7.5946510154000002,5.3492459999999999,16.5789427052528424,1126.1703084523999223,1642.6458594999999150,1017.4001940558825936,0.0001315918000000,0.0000000000000000,0.0002675469289167
4,1000,4.9470059620000004,2.0824305000000001,7.8028107147445329,989.7683645369999113,831.1691444999999021,1012.3188674823180691,26.1743200929999986,0.0000000000000000,159.6802422041811553
4,2000,4.8567769020000000,0.0000000000000000,7.2276303791204546,984.8966127374999360,0.0000000000000000,1016.2350730784548887,21.6313516680000006,0.0000000000000000,148.8581665280538289
4,3000,4.7597350376666663,0.0000000000000000,6.8184421456755748,986.3662336163332611,0.0000000000000000,1016.2046922344584345,21.5581814016666655,0.0000000000000000,145.7738414173182377
4,4000,4.7010614357499998,0.0000000000000000,6.6921201021595431,979.0264972217499917,0.0000000000000000,1016.3756367835868559,20.9399327534999991,0.0000000000000000,142.0774104314911597
4,5000,4.7354511541999997,0.0000000000000000,6.6038715117730495,987.8050442843999690,0.0000000000000000,1016.3279908629647252,20.4252746533999989,0.0000000000000000,140.3212482011677480
5,1000,3.5586288189999999,0.0000000000000000,4.9035917736523817,895.0279639540000289,0.0000000000000000,981.1522600967340395,91.4160148870000029,0.0000000000000000,310.4290020455004537
5,2000,3.5687676750000001,0.0000000000000000,4.8766064269531384,909.7924212295000643,0.0000000000000000,988.5739190963839746,81.3624072560000116,0.0000000000000000,292.3616869010435266
5,3000,3.5424810116666667,0.0000000000000000,4.8076886999156798,900.2152618483332844,0.0000000000000000,986.1978011611892043,81.3954923623333428,0.0000000000000000,294.2181246364906428
5,4000,3.5320537410000004,0.0000000000000000,4.7935719650532853,891.2539556250001169,0.0000000000000000,983.5300025799157311,80.6728864677500042,0.0000000000000000,294.3339037426173945
5,5000,3.5308500678000003,0.0000000000000000,4.7275825832336009,895.3589758882001206,0.0000000000000000,985.1994278136776302,77.7153129427999971,0.0000000000000000,288.9073519099189866
6,1000,2.8406481880000003,0.0000000000000000,3.7822168028286782,834.3311733699999877,0.0000000000000000,943.8050365753050528,161.6888328180000087,0.0000000000000000,402.8072836318010559
6,2000,2.8504484645000003,0.0000000000000000,3.8325698799165728,815.8270553210001026,0.0000000000000000,943.4884651358090650,146.6878684920000069,0.0000000000000000,385.4554489107252380
6,3000,2.9374143019999996,0.0000000000000000,3.8548440812783205,836.7583100093332860,0.0000000000000000,948.2522274024825037,142.9043915753333351,0.0000000000000000,380.1356913705054694
6,4000,2.9335440820000005,0.0000000000000000,3.8312165393551485,838.6474188582500346,0.0000000000000000,949.1624556470598009,140.2271181837500080,0.0000000000000000,377.4092086993610451
6,5000,2.9262901083999999,0.0000000000000000,3.8969892094956236,832.2967851900000369,0.0000000000000000,950.2579470565530073,134.5793721913999832,0.0000000000000000,370.2273457485363224
7,1000,2.5371975959999999,1.2493604999999999,3.3621993389428306,785.3933444050001071,369.9714000000000169,892.9915388561180407,231.3007942799999910,0.0000000000000000,462.9131859637181492
7,2000,2.6877164484999998,1.3398215000000000,3.4435891657356446,824.2527653155001417,501.1223814999999604,914.5269266687276968,211.6313271315000009,0.0000000000000000,447.8216596649054395
7,3000,2.6438832000000003,1.2895194999999999,3.4019588275591932,817.3258066743333075,375.2074929999999995,916.0389203540451035,206.9728259179999839,0.0000000000000000,444.6937821283847825
7,4000,2.5936650309999996,0.0000000000000000,3.4308742459981016,800.8734952467500534,0.0000000000000000,915.3956374763424719,201.6917776019999735,0.0000000000000000,439.1783591933614161
7,5000,2.5873228912000004,0.0000000000000000,3.4511857807891939,794.0147052021999343,0.0000000000000000,912.7892494723901109,199.8955856705999850,0.0000000000000000,435.4270804225341180
8,1000,2.4532934499999999,1.4551265000000000,3.0642394418173109,808.4123959389999072,628.4009920000000875,878.1135743691843345,285.8363442400000167,0.0000000000000000,493.7890199818007204
