method,seed,n,quantile,bias,rmse,mae,p95_abs_rel,failure_rate,n_valid,n_total
Default,-1,7,x0.90,0.03622366278205077,0.21066957618744156,0.1463237296558427,0.41620609446361956,0.0,12000,12000
Default,-1,7,x0.95,0.07881080105402462,0.28505734423747686,0.1932451926713493,0.5400845035442567,0.0,12000,12000
Default,-1,7,x0.99,0.1936192599618419,0.49896900251130794,0.32998741805312193,0.9494147889816692,0.0,12000,12000
Default,-1,10,x0.90,0.0237001611444336,0.16856024364654518,0.11783167518295519,0.34082743774383845,0.0,12000,12000
Default,-1,10,x0.95,0.05580439438858659,0.22432143235384405,0.15392079419439944,0.44441769809811893,0.0,12000,12000
Default,-1,10,x0.99,0.14505909137812903,0.39692816697593836,0.26548991835991365,0.7605365486663359,0.0,12000,12000
Default,-1,15,x0.90,0.014747210135446606,0.13364569170808607,0.09325932184602034,0.2639212053409347,0.0,12000,12000
Default,-1,15,x0.95,0.03800389735058004,0.1754970951999783,0.12020353856987182,0.35005239410230804,0.0,12000,12000
Default,-1,15,x0.99,0.10537487216373725,0.3111889938945598,0.20873300981820023,0.6112507471812666,0.0,12000,12000
Default,-1,20,x0.90,0.010052575405360569,0.11258148955396459,0.08004984119736923,0.22977958744440574,0.0,12000,12000
Default,-1,20,x0.95,0.02879637131938434,0.14563418470907408,0.1021928774171883,0.2961931894620052,0.0,12000,12000
Default,-1,20,x0.99,0.0839153801978163,0.2592501672610742,0.1773713698150387,0.5233056585517478,0.0,12000,12000
Dimensional-RAW,42,7,x0.90,0.03502704775801048,0.21111125527505178,0.14610625748680658,0.41604620716572144,0.0,12000,12000
Dimensional-RAW,42,7,x0.95,0.0732899616488363,0.28302010449717824,0.1897063638456601,0.5352617299747742,0.0,12000,12000
Dimensional-RAW,42,7,x0.99,0.17346220827456643,0.48512640874976043,0.3109786208349641,0.9126273976027727,0.0,12000,12000
Dimensional-RAW,42,10,x0.90,0.024934761892082914,0.16989730503427145,0.11836339845083939,0.3457377363216336,0.0,12000,12000
Dimensional-RAW,42,10,x0.95,0.055908535491268764,0.22363302022555548,0.15182060945184853,0.44007850283694483,0.0,12000,12000
Dimensional-RAW,42,10,x0.99,0.14060436385143893,0.38293511340188546,0.24770900317089883,0.7468141736134388,0.0,12000,12000
Dimensional-RAW,42,15,x0.90,0.016266526250571064,0.1346876829440592,0.09361189459403618,0.2668983463655307,0.0,12000,12000
Dimensional-RAW,42,15,x0.95,0.03986660820773933,0.17463778284195514,0.11811675188150886,0.34630935003283175,0.0,12000,12000
Dimensional-RAW,42,15,x0.99,0.10735600095135048,0.29755660387772603,0.19134054395597924,0.5959742282860404,0.0,12000,12000
Dimensional-RAW,42,20,x0.90,0.01180208803212856,0.11347011566349553,0.08059847312567595,0.23164861610699644,0.0,12000,12000
Dimensional-RAW,42,20,x0.95,0.03128944358858418,0.1457032171943972,0.10127593690700068,0.2980098033489137,0.0,12000,12000
Dimensional-RAW,42,20,x0.99,0.08853102040319263,0.2507237131435449,0.16545459119261255,0.5137276161551898,0.0,12000,12000
Dimensional-RAW,2026,7,x0.90,0.035680609828145915,0.21155066208961354,0.1462017938392997,0.4167535842074859,0.0,12000,12000
Dimensional-RAW,2026,7,x0.95,0.07502308555134449,0.2832535792678422,0.18955940864276216,0.5364695352033492,0.0,12000,12000
Dimensional-RAW,2026,7,x0.99,0.17857402797625818,0.48490727121977856,0.3102547726733864,0.9230660320633023,0.0,12000,12000
Dimensional-RAW,2026,10,x0.90,0.024649443386688816,0.16974363803707246,0.1182196653538784,0.34311353132286615,0.0,12000,12000
Dimensional-RAW,2026,10,x0.95,0.05534218890564231,0.2227977743462619,0.15116994469853387,0.43629861218245436,0.0,12000,12000
Dimensional-RAW,2026,10,x0.99,0.1392264978699351,0.37927047323161245,0.24490519931653296,0.7412557791528172,0.0,12000,12000
Dimensional-RAW,2026,15,x0.90,0.016092490219351857,0.1345777355670432,0.0936322286327102,0.2657857793131316,0.0,12000,12000
Dimensional-RAW,2026,15,x0.95,0.03808505114118076,0.1743936120154234,0.11824412105071491,0.34631084689530317,0.0,12000,12000
Dimensional-RAW,2026,15,x0.99,0.10031096794499626,0.295752223606584,0.19088802272612188,0.593189465963515,0.0,12000,12000
Dimensional-RAW,2026,20,x0.90,0.011302261633637008,0.11319241329644751,0.08051295122604661,0.2308567369433447,0.0,12000,12000
Dimensional-RAW,2026,20,x0.95,0.027464823904182353,0.1451391075299518,0.10148902936026778,0.2944132537592863,0.0,12000,12000
Dimensional-RAW,2026,20,x0.99,0.07252995372055271,0.24636546036840284,0.16470283754266415,0.5017062824025146,0.0,12000,12000
Dimensional-RAW,3407,7,x0.90,0.03683684718574078,0.21056271827757272,0.14585204644861824,0.41544100857945887,0.0,12000,12000
Dimensional-RAW,3407,7,x0.95,0.07931409764873519,0.28263995205783393,0.1893980324888753,0.5372962670179232,0.0,12000,12000
Dimensional-RAW,3407,7,x0.99,0.19268043050031303,0.48806345121902844,0.3126271317927219,0.9369693871610353,0.0,12000,12000
Dimensional-RAW,3407,10,x0.90,0.024358651063321957,0.16960749263760955,0.11818892867352389,0.34379247979717376,0.0,12000,12000
Dimensional-RAW,3407,10,x0.95,0.054457795063008976,0.22318727539975083,0.15150844310569775,0.4395219576362478,0.0,12000,12000
Dimensional-RAW,3407,10,x0.99,0.13662694824326804,0.38154175152329783,0.24648175722452997,0.7471068586087366,0.0,12000,12000
Dimensional-RAW,3407,15,x0.90,0.016077918512608588,0.1345989273686748,0.09363358553601667,0.266603248342562,0.0,12000,12000
Dimensional-RAW,3407,15,x0.95,0.03911051297520401,0.17493902497145092,0.11845025888968,0.3469046981312578,0.0,12000,12000
Dimensional-RAW,3407,15,x0.99,0.10546582106617958,0.2996369945612071,0.1931809835438211,0.6000934593304487,0.0,12000,12000
Dimensional-RAW,3407,20,x0.90,0.011912935043158008,0.11371162977178628,0.08071750339050299,0.23138487466572483,0.0,12000,12000
Dimensional-RAW,3407,20,x0.95,0.03158009477984456,0.14602890075460423,0.10153300613868399,0.29825479128520305,0.0,12000,12000
Dimensional-RAW,3407,20,x0.99,0.08924881943771518,0.24924439491260766,0.16451220121957752,0.5110323824640743,0.0,12000,12000
L6,-1,7,x0.90,0.03427679246192426,0.21025177217597044,0.1453284727328844,0.41694024042785977,0.0,12000,12000
L6,-1,7,x0.95,0.07045445346847923,0.2802286297690832,0.18704419376423653,0.5357956181986163,0.0,12000,12000
L6,-1,7,x0.99,0.16446679922364535,0.47240726833007385,0.29809143463941645,0.8984989556781017,0.0,12000,12000
L6,-1,10,x0.90,0.023905687728643602,0.1698198623989151,0.11819327538568355,0.34486178904039166,0.0,12000,12000
L6,-1,10,x0.95,0.051424438506750436,0.22307397089924583,0.15117220660182182,0.4394569025648906,0.0,12000,12000
L6,-1,10,x0.99,0.12478327274950662,0.3755758725737921,0.24033182322282642,0.7363109765567437,0.0,12000,12000
L6,-1,15,x0.90,0.015772568018577498,0.1346874695276774,0.09367344633332647,0.2674564151066649,0.0,12000,12000
L6,-1,15,x0.95,0.03598278567791497,0.17526923790127463,0.11860225291428825,0.3500533386040879,0.0,12000,12000
L6,-1,15,x0.99,0.09203856405453452,0.29441309445169356,0.18849012023551975,0.59286806495116,0.0,12000,12000
L6,-1,20,x0.90,0.011273833465078239,0.11329632527178898,0.08040918900081635,0.2312016785197862,0.0,12000,12000
L6,-1,20,x0.95,0.027642976305874218,0.14606595637411476,0.10134978286588137,0.29802046457515596,0.0,12000,12000
L6,-1,20,x0.99,0.0737131909206232,0.2460950423302075,0.1609646821808998,0.5002130336702971,0.0,12000,12000
LSE,-1,7,x0.90,0.049961846437225066,0.21102067116611584,0.14444124676798106,0.4139651343320549,0.0,12000,12000
LSE,-1,7,x0.95,0.08818264031529362,0.2873703506255559,0.19362361214022086,0.5569444618184205,0.0,12000,12000
LSE,-1,7,x0.99,0.17805046720747797,0.5070772560621213,0.3395699707629548,0.9788623823269662,0.0,12000,12000
LSE,-1,10,x0.90,0.03345223107958269,0.16501850684395977,0.11601463061463092,0.3334490352071077,0.0,12000,12000
LSE,-1,10,x0.95,0.061493935603554255,0.22111931484771533,0.15235527098580712,0.4342229006803582,0.0,12000,12000
LSE,-1,10,x0.99,0.1291087077826374,0.3990401970213659,0.2703572992193886,0.7760976096511603,0.0,12000,12000
LSE,-1,15,x0.90,0.02096677179437225,0.13390923113809253,0.0944338803244984,0.2669234841808883,0.0,12000,12000
LSE,-1,15,x0.95,0.04026860930380855,0.17493763208899402,0.1214538115518929,0.3432171985376621,0.0,12000,12000
LSE,-1,15,x0.99,0.08727518261531736,0.3143961141544545,0.2135284990688355,0.6039438543640262,0.0,12000,12000
LSE,-1,20,x0.90,0.01576336263359511,0.10937044356244865,0.07814845501165617,0.22429659420467274,0.0,12000,12000
LSE,-1,20,x0.95,0.029582772823576624,0.14125285630366613,0.09961613363392192,0.29235598423565007,0.0,12000,12000
LSE,-1,20,x0.99,0.06310334393169488,0.2588552837877171,0.1789488561205838,0.5172812000539126,0.0,12000,12000
WMLE,-1,7,x0.90,0.017200741108548273,0.19856719934207162,0.14080026748550747,0.38657970595308894,8.333333333333333e-05,11999,12000
WMLE,-1,7,x0.95,0.023664318083084456,0.25134817369762574,0.17985412216176783,0.47411218175801195,8.333333333333333e-05,11999,12000
WMLE,-1,7,x0.99,0.04223272271283728,0.3978599534548738,0.2906686804258281,0.7201081391928263,8.333333333333333e-05,11999,12000
WMLE,-1,10,x0.90,0.015128280795507223,0.16165193939675482,0.11725336665968956,0.3228887124473928,0.0,12000,12000
WMLE,-1,10,x0.95,0.022619345626438553,0.2074447659963001,0.15187901049946884,0.4085214983090472,0.0,12000,12000
WMLE,-1,10,x0.99,0.04469967931216919,0.34450892124068194,0.25566541982146535,0.6638225274758087,0.0,12000,12000
WMLE,-1,15,x0.90,0.010232518932179961,0.13339615306305116,0.09626223541184857,0.26491813646785956,0.0,12000,12000
WMLE,-1,15,x0.95,0.01485407257492229,0.17277484188407133,0.12613165742818924,0.3474507575359246,0.0,12000,12000
WMLE,-1,15,x0.99,0.03072843532945285,0.2957722668535991,0.21874923904954638,0.5886286019353002,0.0,12000,12000
WMLE,-1,20,x0.90,0.009374831113399384,0.11112722233034085,0.0807852629912976,0.22974948300532005,0.0,12000,12000
WMLE,-1,20,x0.95,0.013101312013372047,0.14712858060640402,0.10781429093850926,0.30940377845887634,0.0,12000,12000
WMLE,-1,20,x0.99,0.026803482510000132,0.26475800400148986,0.1935977248198004,0.5580444179569641,0.0,12000,12000
