quantile,R,bias,rmse,mae,p95_abs_rel,failure_rate,n_valid,n_total,method,seed
x0.90,0.9,0.021180902366822883,0.1607249115503732,0.10936614197054685,0.32021396873845837,0.0,48000,48000,Default,-1
x0.95,0.95,0.0503538660281439,0.21423488318695358,0.1423906007132022,0.41947434325674754,0.0,48000,48000,Default,-1
x0.99,0.99,0.1319921509253811,0.3776808422305834,0.2453954290115686,0.7284306160259084,0.0,48000,48000,Default,-1
x0.90,0.9,0.022007605983198255,0.16159308110748646,0.10967000591433951,0.3213514862695052,0.0,48000,48000,Dimensional-RAW,42
x0.95,0.95,0.050088637234107135,0.21321344351467905,0.14022991552150454,0.4162601645664339,0.0,48000,48000,Dimensional-RAW,42
x0.99,0.99,0.12748839837013712,0.3651675116937044,0.22887068978861366,0.7050217248890158,0.0,48000,48000,Dimensional-RAW,42
x0.90,0.9,0.0219312012669559,0.16162477735703254,0.10964165976298373,0.3213303688844995,0.0,48000,48000,Dimensional-RAW,2026
x0.95,0.95,0.04897878737558748,0.21292600291419822,0.14011562593806967,0.4151229352500552,0.0,48000,48000,Dimensional-RAW,2026
x0.99,0.99,0.12266036187793557,0.36302426619232947,0.22768770806467636,0.7000261440862097,0.0,48000,48000,Dimensional-RAW,2026
x0.90,0.9,0.022296587951207335,0.1613618339953804,0.10959801601216543,0.3209626847190243,0.0,48000,48000,Dimensional-RAW,3407
x0.95,0.95,0.05111562511669818,0.21308801275129183,0.14022243515573427,0.4175025276966019,0.0,48000,48000,Dimensional-RAW,3407
x0.99,0.99,0.13100550481186896,0.36595257120162433,0.2292005184451626,0.7120150750336983,0.0,48000,48000,Dimensional-RAW,3407
x0.90,0.9,0.021307220418555897,0.16126171673415135,0.1094010958631777,0.32099385539624486,0.0,48000,48000,L6,-1
x0.95,0.95,0.046376163489754714,0.21233502466679507,0.13954210903655698,0.415925599208706,0.0,48000,48000,L6,-1
x0.99,0.99,0.11375045673707744,0.3575848512153361,0.22196951506966558,0.6923817151788146,0.0,48000,48000,L6,-1
x0.90,0.9,0.03003605298619377,0.15941644156849838,0.10825955317969166,0.318161214932296,0.0,48000,48000,LSE,-1
x0.95,0.95,0.05488198951155826,0.21332546399353405,0.1417622070779607,0.4158290588141644,0.0,48000,48000,LSE,-1
x0.99,0.99,0.11438442538428188,0.38151389129184443,0.2506011562929407,0.7330371700695183,0.0,48000,48000,LSE,-1
x0.90,0.9,0.012984005138742675,0.15467933234902798,0.10877461593601184,0.30524842420662773,2.0833333333333333e-05,47999,48000,WMLE,-1
x0.95,0.95,0.018559655727321926,0.1985605836051415,0.14141896952463717,0.38785830279659406,2.0833333333333333e-05,47999,48000,WMLE,-1
x0.99,0.99,0.0361159525334028,0.3296031083132306,0.23966920354005822,0.6346572603943038,2.0833333333333333e-05,47999,48000,WMLE,-1
