beta,eta,gamma,n,fixed_delta,fixed_est_beta,fixed_est_eta,fixed_est_gamma,fixed_mse,ai_delta,ai_est_beta,ai_est_eta,ai_est_gamma,ai_mse,optimal_delta,opt_est_beta,opt_est_eta,opt_est_gamma,optimal_mse
5.0,1000.0,1000.0,5,0.5,1.0836,330.01,1831.79,1.754282,0.033,2.2547,509.86,1664.52,0.98329,0.01,3.5703,731.28,1449.62,0.356126
5.0,1000.0,1000.0,7,0.5,1.8938,347.2,1714.39,1.322448,0.0339,4.5244,704.11,1374.51,0.236853,0.02,5.6064,841.72,1237.84,0.09633
5.0,1000.0,1000.0,10,0.5,1.0769,249.74,1717.13,1.692795,0.0208,1.5019,294.87,1680.08,1.449173,0.01,1.5238,297.32,1677.97,1.43676
5.0,1000.0,1000.0,15,0.5,1.8289,638.51,1295.02,0.619949,0.0566,3.0464,887.87,1058.12,0.16861,0.02,3.844,1056.5,893.38,0.068009
5.0,1000.0,1000.0,20,0.5,2.1046,591.15,1384.18,0.650086,0.0583,2.8737,746.68,1241.66,0.303422,0.01,3.2097,809.68,1180.94,0.197171
5.0,5000.0,1000.0,5,0.5,1.1215,1052.53,4536.77,13.73373,0.0166,1.314,1205.22,4426.67,12.861518,0.01,1.3189,1208.76,4423.9,12.840015
5.0,5000.0,1000.0,7,0.5,0.9856,1675.32,3894.7,9.466032,0.0187,2.4732,3068.69,2700.28,3.295546,0.01,3.1711,3785.55,2024.03,1.241435
5.0,5000.0,1000.0,10,0.5,2.056,2210.83,4137.99,10.50487,0.0076,5.1816,4819.17,1651.0,0.426425,0.01,4.9599,4641.78,1826.22,0.687842
5.0,5000.0,1000.0,15,0.5,1.8073,2741.04,3610.21,7.425042,0.0255,4.1132,4760.41,1657.69,0.466319,0.02,4.4432,5059.68,1362.6,0.144019
5.0,5000.0,1000.0,20,0.5,1.8612,2982.72,2932.09,4.289851,0.0246,4.106,5036.58,948.89,0.034635,0.03,3.8605,4804.04,1177.43,0.084953
