beta,eta,n,vs_0.01,vs_0.05,vs_0.1,vs_0.2,vs_0.5,vs_1.0
2.0,5000.0,15,0.9,4.4,7.3,11.9,18.7,24.0
2.0,5000.0,15,0.2,4.5,7.8,13.4,23.1,31.2
2.0,5000.0,15,90.6,71.9,,62.5,95.5,98.4
2.0,5000.0,15,0.3,1.3,2.7,5.6,10.2,15.1
2.0,5000.0,15,,98.9,96.2,,98.0,99.4
2.0,5000.0,15,-0.0,0.5,1.0,2.3,4.5,7.2
2.0,5000.0,15,,,93.9,60.6,54.1,92.1
2.0,5000.0,15,-184.7,-184.7,5.1,68.4,88.6,93.5
2.0,5000.0,15,-0.1,0.3,0.6,0.9,2.3,4.5
2.0,5000.0,15,0.0,0.2,0.3,0.6,1.6,3.3
2.0,5000.0,15,-57.4,-4.9,25.9,51.6,74.3,83.9
2.0,5000.0,15,0.4,1.8,2.9,4.9,9.6,14.6
2.0,5000.0,15,45.8,40.0,30.0,20.0,1.2,6.7
2.0,5000.0,15,,,92.6,20.6,86.2,94.7
2.0,5000.0,15,,,,96.0,42.5,95.4
2.0,5000.0,15,,,,,44.2,
2.0,5000.0,15,,98.5,97.4,93.2,-36.3,92.0
2.0,5000.0,15,,,,92.9,-20.2,
2.0,5000.0,15,,,,,,
2.0,5000.0,15,-1.5,6.7,11.5,19.7,31.0,38.4
2.0,5000.0,15,-155.2,-45.8,14.9,49.0,76.3,86.0
2.0,5000.0,15,-44.3,5.4,34.7,57.2,76.4,84.9
2.0,5000.0,15,79.9,42.5,-0.7,42.5,82.5,91.1
2.0,5000.0,15,0.2,0.6,1.4,2.6,5.9,9.7
2.0,5000.0,15,,,,,,
2.0,5000.0,15,85.9,78.1,67.6,37.9,6.9,46.8
2.0,5000.0,15,,,,,97.6,
2.0,5000.0,15,11.6,-9.1,39.4,69.1,85.2,91.7
2.0,5000.0,15,81.9,-10.3,73.6,87.7,93.2,94.8
2.0,5000.0,15,,,,93.7,-54.7,
2.0,5000.0,20,1.1,5.5,9.4,15.2,25.3,34.5
2.0,5000.0,20,-476.4,-188.2,3.9,55.7,83.5,91.3
2.0,5000.0,20,,,95.2,82.6,59.4,
2.0,5000.0,20,2.9,15.3,25.6,37.2,53.2,
2.0,5000.0,20,-35.9,15.8,39.1,60.7,77.9,86.6
2.0,5000.0,20,-5.6,-32.0,24.6,68.9,90.2,95.9
2.0,5000.0,20,-13.3,1.5,12.9,31.3,53.8,68.1
2.0,5000.0,20,,,,,,
2.0,5000.0,20,,,,99.1,81.4,93.0
2.0,5000.0,20,89.6,73.3,17.0,-149.0,74.2,92.5
2.0,5000.0,20,60.4,40.6,-18.7,40.6,85.2,94.8
2.0,5000.0,20,1.6,6.1,10.1,17.3,27.5,35.9
2.0,5000.0,20,-3.5,7.6,17.9,30.1,46.7,57.3
2.0,5000.0,20,,,98.8,97.0,36.7,85.9
2.0,5000.0,20,0.1,0.4,0.9,1.8,4.2,6.3
2.0,5000.0,20,0.8,4.2,6.6,10.3,16.3,21.6
2.0,5000.0,20,0.6,0.6,1.5,2.5,6.0,9.3
2.0,5000.0,20,1.6,6.1,10.2,15.7,28.8,40.1
2.0,5000.0,20,,,95.3,92.6,71.8,-31.5
2.0,5000.0,20,80.8,-48.8,40.5,79.5,91.1,94.0
2.0,5000.0,20,,,,84.8,14.5,
2.0,5000.0,20,-1.7,7.2,15.6,25.7,42.4,54.2
2.0,5000.0,20,-62.2,18.9,53.6,74.0,86.5,91.1
2.0,5000.0,20,,,,95.1,62.8,-11.7
2.0,5000.0,20,0.6,2.5,4.3,8.1,15.2,22.8
2.0,5000.0,20,0.4,4.7,8.6,13.8,22.8,31.1
2.0,5000.0,20,54.1,47.6,41.3,30.1,8.3,2.2
2.0,5000.0,20,51.0,31.5,-14.2,14.3,75.5,88.9
2.0,5000.0,20,,,,,,
2.0,5000.0,20,89.4,69.0,14.9,43.2,87.8,94.3
2.0,5000.0,20,,,,,66.9,10.1
2.0,5000.0,20,,,,98.8,90.5,62.2
2.0,5000.0,20,,91.0,72.1,-32.7,83.4,93.8
2.0,5000.0,20,,,,99.1,25.7,
2.0,5000.0,20,,,91.3,60.9,37.4,
2.0,5000.0,20,8.6,21.6,27.0,32.0,37.0,39.0
2.0,5000.0,20,92.2,88.2,82.0,62.8,-4.3,42.1
2.0,5000.0,20,,,96.6,81.8,72.7,
2.0,5000.0,20,97.0,94.1,85.9,-12.4,83.9,95.7
2.0,5000.0,20,97.7,95.4,90.8,66.8,58.5,92.8
2.0,5000.0,20,,89.1,83.2,67.8,10.4,19.4
2.0,5000.0,20,,-1162.4,-3266.4,-531.2,-129.5,-57.8
2.0,5000.0,20,82.8,34.6,-63.5,18.2,82.8,91.4
2.0,5000.0,20,8.4,52.2,65.1,73.5,80.5,83.6
2.0,5000.0,20,84.9,-6.0,61.2,84.1,92.2,94.3
2.0,5000.0,20,90.9,85.2,76.2,50.3,-9.4,50.3
2.0,5000.0,20,46.8,-352.3,-18.0,53.2,76.4,82.7
2.0,5000.0,20,,,,98.6,89.9,
2.0,5000.0,20,,,,,,
2.0,5000.0,20,98.1,96.7,93.3,46.8,89.4,98.5
