method,n,J1
Mean-normalized,7,0.701337127247328
Mean-normalized,10,0.6070629116585652
Mean-normalized,15,0.5293829329592756
Mean-normalized,20,0.47556735574356884
Default,7,0.7633086673112073
Default,10,0.6571370100580289
Default,15,0.5650868178686961
Default,20,0.505836687210487
WMLE,7,0.8124699073795644
WMLE,10,0.7573239499632581
WMLE,15,0.6901929495241289
WMLE,20,0.6440713060461657
LSE,7,1.041654295665714
LSE,10,0.9117733432982092
LSE,15,0.785843942131603
LSE,20,0.7150116076180919
