group,seed,J1
汇总,42,0.5845531935428129
汇总,2026,0.5849135438096444
汇总,3407,0.5855203298807452
n=7,42,0.701337127247328
n=7,2026,0.7046301230888252
n=7,3407,0.7000233768643649
n=10,42,0.6070629116585652
n=10,2026,0.6040584564840132
n=10,3407,0.6111120313913262
n=15,42,0.5293829329592756
n=15,2026,0.528459939735167
n=15,3407,0.5274425299180926
n=20,42,0.47556735574356884
n=20,2026,0.4773209379536051
n=20,3407,0.4792180728858278
