score,validation_quantile,threshold,direct_coverage,selected_J1,always_direct_J1,always_mdm_J1,direct_worse_rate_among_accepted
support_distance,0.8,0.35166175842124825,0.7388095238095238,0.44162266243273435,0.4720707710529118,0.6586631535203205,0.23026103770544634
support_distance,0.9,0.45535480414505813,0.8271428571428572,0.43729380882077107,0.4720707710529118,0.6586631535203205,0.2516407599309154
support_distance,0.95,0.5605970604421404,0.8786190476190476,0.43776402169884404,0.4720707710529118,0.6586631535203205,0.2632919624952577
support_distance,0.975,0.6734157478542732,0.9111666666666667,0.441616373551148,0.4720707710529118,0.6586631535203205,0.272413702997204
support_distance,0.99,0.792908896543711,0.9343809523809524,0.44595309117931936,0.4720707710529118,0.6586631535203205,0.27927836102334114
neighbor_target_spread,0.8,0.42570848626468333,0.8377857142857142,0.5071593115435743,0.4720707710529118,0.6586631535203205,0.30784096399238353
neighbor_target_spread,0.9,0.45023229051294966,0.92,0.4904459225663595,0.4720707710529118,0.6586631535203205,0.3070134575569358
neighbor_target_spread,0.95,0.46937216908517876,0.9613571428571429,0.4811196282343571,0.4720707710529118,0.6586631535203205,0.3067340317507492
neighbor_target_spread,0.975,0.4842923186027624,0.9810238095238095,0.476434131878459,0.4720707710529118,0.6586631535203205,0.3066281581438245
neighbor_target_spread,0.99,0.5000529649758204,0.9927380952380952,0.4737334423239347,0.4720707710529118,0.6586631535203205,0.30639165367550064
sample_cv,0.8,0.3386783281085662,0.7355,0.4414382525614132,0.4720707710529118,0.6586631535203205,0.22945194393188956
sample_cv,0.9,0.4213220533266168,0.8207142857142857,0.4346795060623087,0.4720707710529118,0.6586631535203205,0.24838990426457788
sample_cv,0.95,0.500657559105514,0.8728333333333333,0.43557598219067456,0.4720707710529118,0.6586631535203205,0.26105458414032023
sample_cv,0.975,0.5746137112682832,0.9060714285714285,0.43923058629772815,0.4720707710529118,0.6586631535203205,0.26979371961634474
sample_cv,0.99,0.6621608410667652,0.9327857142857143,0.4439182886492831,0.4720707710529118,0.6586631535203205,0.2777650151874825
max_over_mean,0.8,1.608836529748927,0.7330952380952381,0.4419846604144033,0.4720707710529118,0.6586631535203205,0.2304969145826567
max_over_mean,0.9,1.8094955686488108,0.8202619047619047,0.4342726713694091,0.4720707710529118,0.6586631535203205,0.24788830512902382
max_over_mean,0.95,2.032034618801001,0.8764047619047619,0.43560709935509734,0.4720707710529118,0.6586631535203205,0.2615392974544269
max_over_mean,0.975,2.2547902166332308,0.9101190476190476,0.4399292831336056,0.4720707710529118,0.6586631535203205,0.27081752779594503
max_over_mean,0.99,2.527797318951007,0.9383571428571429,0.44621268894854776,0.4720707710529118,0.6586631535203205,0.27987110197660553
direct_mdm_disagreement,0.8,1.1883120610024036,0.7821666666666667,0.6210521280205746,0.4720707710529118,0.6586631535203205,0.3689081002100393
direct_mdm_disagreement,0.9,1.8944566876175635,0.8890476190476191,0.5811778334154039,0.4720707710529118,0.6586631535203205,0.33931440814140335
direct_mdm_disagreement,0.95,2.7507834801896633,0.9458809523809524,0.5399714564314232,0.4720707710529118,0.6586631535203205,0.32194729025599716
direct_mdm_disagreement,0.975,3.7772604148629134,0.973547619047619,0.5106766493342167,0.4720707710529118,0.6586631535203205,0.313605126073027
direct_mdm_disagreement,0.99,5.228994512504849,0.9890714285714286,0.48962301484023585,0.4720707710529118,0.6586631535203205,0.30906814953900963
combined_support_score,0.8,0.8998875000000001,0.7473571428571428,0.4570303345882876,0.4720707710529118,0.6586631535203205,0.2465194813469687
combined_support_score,0.9,0.9500062499999999,0.8400714285714286,0.44751995857557075,0.4720707710529118,0.6586631535203205,0.2617407816795624
combined_support_score,0.95,0.975003125,0.8922142857142857,0.4462636943329418,0.4720707710529118,0.6586631535203205,0.2719291223013903
combined_support_score,0.975,0.9875015625,0.9211904761904762,0.44704837676917825,0.4720707710529118,0.6586631535203205,0.2775135693977772
combined_support_score,0.99,0.995000625,0.9437380952380953,0.45032610900749936,0.4720707710529118,0.6586631535203205,0.2838004894416833
