beta_group,n,direct_mean_loss,mdm_mean_loss,direct_success_rate,mdm_success_rate,support_distance_median,target_spread_median,direct_J1,mdm_J1
far_ood,8000,0.5612463636492402,0.5704407080873009,0.9965,0.99925,0.2576520446002688,0.26653153690752773,0.7491637762527231,0.7552752531940266
in_domain_unseen,14000,0.12471321397463093,0.38510365582898115,1.0,0.9995,0.21696085175647947,0.37294092484540753,0.35314758101200544,0.6205672049254465
near_ood,4000,0.23689231132304742,0.4869146661858864,1.0,0.9995,0.24726904595628318,0.3160222033400844,0.48671584248208666,0.6977927100406585
seen_grid,16000,0.13418897577104563,0.3930911474114769,1.0,0.999375,0.216971508451991,0.36840350896088425,0.36631813464671065,0.6269698137960685
