score,n_test_pairs,auc_direct_worse_than_mdm,spearman_with_direct_loss
support_distance,41947,0.726159935734179,0.18168577257215374
neighbor_target_spread,41947,0.4684410892511062,0.13521486323668652
sample_cv,41947,0.7372603514648527,0.2716574426712031
max_over_mean,41947,0.7106890200385366,0.2311194858562528
direct_mdm_disagreement,41947,0.30578942436051915,-0.005924652201728289
combined_support_score,41947,0.697395569713035,0.27247279405433805
