target,R,beta,gamma_over_eta,x_R_over_eta,s_beta,s_eta,s_gamma,s_norm,H_e_beta_beta,H_LQ_beta_beta,H_e_beta_eta,H_LQ_beta_eta,H_e_beta_gamma,H_LQ_beta_gamma,H_e_eta_beta,H_LQ_eta_beta,H_e_eta_eta,H_LQ_eta_eta,H_e_eta_gamma,H_LQ_eta_gamma,H_e_gamma_beta,H_LQ_gamma_beta,H_e_gamma_eta,H_LQ_gamma_eta,H_e_gamma_gamma,H_LQ_gamma_gamma
B10,0.9,1.5,0.1,0.3230755256369171,1.035881364327453,0.6904748516531602,3.095251483468398,3.336223533823787,-0.517687010485346,2.1461004019218106,1.035881364327453,1.4305000627285427,0.0,6.412626659263633,1.035881364327453,1.4305000627285427,0.0,0.9535110415309073,0.0,4.274386617754133,0.0,6.412626659263633,0.0,4.274386617754133,0.0,19.161163491826635
B10,0.9,1.5,0.25,0.47307552563691707,0.7074302054138274,0.47154315441827854,2.113827382326886,2.278393434919774,-0.3535418637495155,1.0009149910637,0.7074302054138274,0.6671677411832139,0.0,2.9907706785777637,0.7074302054138274,0.6671677411832139,0.0,0.444705892957481,0.0,1.9935216635163044,0.0,2.9907706785777637,0.0,1.9935216635163044,0.0,8.936532404549869
B10,0.9,1.5,0.5,0.723075525636917,0.46283950211534025,0.3085093019023459,1.3829813961953084,1.4906495014928804,-0.2313064086640664,0.4284408094367521,0.46283950211534025,0.2855805833808659,0.0,1.2801968416996292,0.46283950211534025,0.2855805833808659,0.0,0.19035597872054558,0.0,0.8533252501682924,0.0,1.2801968416996292,0.0,0.8533252501682924,0.0,3.825275084444649
B10,0.9,1.5,0.75,0.973075525636917,0.343927996810448,0.229247904977268,1.0276694600303093,1.1076757594194708,-0.1718797756407286,0.23657293398009505,0.343927996810448,0.1576895454636474,0.0,0.7068885975429982,0.343927996810448,0.1576895454636474,0.0,0.10510920387293299,0.0,0.4711821414421373,0.0,0.7068885975429982,0.0,0.4711821414421373,0.0,2.112209038157975
B10,0.9,1.5,1.0,1.223075525636917,0.2736281687128848,0.18238900293647067,0.8176109970635294,0.8812637888989571,-0.13674707695656063,0.14974474942633392,0.2736281687128848,0.09981353773375089,0.0,0.4474427996920188,0.2736281687128848,0.09981353773375089,0.0,0.06653149678431981,0.0,0.29824650908862155,0.0,0.4474427996920188,0.0,0.29824650908862155,0.0,1.3369754850384372
B10,0.9,2.0,0.1,0.4245928459745012,0.860180690967466,0.7644802522037655,2.3551974779623457,2.621315707297195,-0.7525001206658175,1.4798216422265345,0.860180690967466,1.3151823031432353,0.0,4.051790787916968,0.860180690967466,1.3151823031432353,0.0,1.1688601120190658,0.0,3.6010039238846527,0.0,4.051790787916968,0.0,3.6010039238846527,0.0,11.093910320400388
B10,0.9,2.0,0.25,0.5745928459745012,0.6356267227984197,0.5649093062131612,1.7403627751473556,1.9370096654638302,-0.5560566409207153,0.8080426614709182,0.6356267227984197,0.7181429019732012,0.0,2.2124421744945533,0.6356267227984197,0.7181429019732012,0.0,0.6382450484924701,0.0,1.9662942557354088,0.0,2.2124421744945533,0.0,1.9662942557354088,0.0,6.05772517823721
B10,0.9,2.0,0.5,0.8245928459745012,0.44291745849257974,0.39364014320412694,1.2127197135917462,1.3497472137823951,-0.3874714283411757,0.3923517500750522,0.44291745849257974,0.3487001835772541,0.0,1.0742694668158108,0.44291745849257974,0.3487001835772541,0.0,0.3099051246835311,0.0,0.9547503234494455,0.0,1.0742694668158108,0.0,0.9547503234494455,0.0,2.941378207468094
B10,0.9,2.0,0.75,1.074592845974501,0.3398743710218742,0.3020612385336906,0.9305850152884126,1.0357335808890995,-0.2973276520745017,0.23102917615502916,0.3398743710218742,0.2053257469134528,0.0,0.6325639935070608,0.3398743710218742,0.2053257469134528,0.0,0.18248198364901427,0.0,0.5621873245578226,0.0,0.6325639935070608,0.0,0.5621873245578226,0.0,1.7319769413586703
B10,0.9,2.0,1.0,1.324592845974501,0.2757274197427004,0.24505103357681107,0.754948966423189,0.840252081793596,-0.24121085116883204,0.15205121999593454,0.2757274197427004,0.1351345783868319,0.0,0.4163202610985689,0.2757274197427004,0.1351345783868319,0.0,0.12010001811412678,0.0,0.3700020490394954,0.0,0.4163202610985689,0.0,0.3700020490394954,0.0,1.1398958838068827
B10,0.9,2.5,0.1,0.506509926472865,0.7224313751424398,0.8025705030178569,1.9742949698214307,2.2503037865956537,-0.7945683651465009,1.0438141835803934,0.7224313751424398,1.1596042242879,0.0,2.852585259969796,0.7224313751424398,1.1596042242879,0.0,1.2882388246286718,0.0,3.1690218140704207,0.0,2.852585259969796,0.0,3.1690218140704207,0.0,7.795681255724408
B10,0.9,2.5,0.25,0.6565099264728649,0.5573695810983479,0.6191984463309816,1.5232062146760736,1.7361522796979136,-0.6130246443800773,0.6213216998674956,0.5573695810983479,0.6902447572964941,0.0,1.6979776196008067,0.5573695810983479,0.6902447572964941,0.0,0.7668134318774031,0.0,1.886333843138241,0.0,1.6979776196008067,0.0,1.886333843138241,0.0,4.640314344855626
B10,0.9,2.5,0.5,0.9065099264728649,0.40365654254756933,0.44843405968487565,1.1031318806302488,1.2573510473570004,-0.44396288717315624,0.3258772086829153,0.40365654254756933,0.36202668418593453,0.0,0.8905728018184084,0.40365654254756933,0.36202668418593453,0.0,0.40218621177091723,0.0,0.9893638151976683,0.0,0.8905728018184084,0.0,0.9893638151976683,0.0,2.433799892125659
B10,0.9,2.5,0.75,1.1565099264728649,0.316399067858475,0.35149713562134555,0.864670485838206,0.9855524621101617,-0.34799248583661985,0.20021674028342373,0.316399067858475,0.2224267321310354,0.0,0.5471618714478862,0.316399067858475,0.2224267321310354,0.0,0.24710047270002117,0.0,0.6078583980568933,0.0,0.5471618714478862,0.0,0.6078583980568933,0.0,1.4953100981593586
