source,route,path,sha256,sha_list_match
main,P,artifacts/pq_iid_main/fit_metadata/n7_f1_s42_rP.json,4ec7e81eeaf81587dea515864051a2f80ca2772f958b91b8940d403a18c9fe60,True
main,P,artifacts/pq_iid_main/evidence/n7_f1_s42_rP.npz,e9f8cd7195bf4d8fc65b57dd89b97888f4aebf2a2e7a3d9cf81b6012d721e2b8,True
main,Q,artifacts/pq_iid_main/fit_metadata/n7_f1_s42_rQ.json,a282d19ccd6de6252eb53eebb19294961d20f044eb4d8e0afab9656c35842c37,True
main,Q,artifacts/pq_iid_main/evidence/n7_f1_s42_rQ.npz,78a9f714c1b5cf6f985bd7daaabc546632b32df1c3f8c071c7a956636e4456bf,True
main,P,artifacts/pq_iid_main/fit_metadata/n7_f1_s2026_rP.json,ffae1ddeab9cb4a403659619f550d86477d4267a79affdcc19b70f87a0b0278c,True
main,P,artifacts/pq_iid_main/evidence/n7_f1_s2026_rP.npz,44e0e102aa13a3b6f994786da7e02c162fe583687d672a2f8f5c85b3e5326201,True
main,Q,artifacts/pq_iid_main/fit_metadata/n7_f1_s2026_rQ.json,b9aa4acf78f4487485496d1d25a5262f4a36cc76296d08702d4622490a3973b8,True
main,Q,artifacts/pq_iid_main/evidence/n7_f1_s2026_rQ.npz,b722979aa02b5c0f3106ac992385a540ff9fdeb514cfb6b251ee7ab31713c74b,True
main,P,artifacts/pq_iid_main/fit_metadata/n7_f1_s3407_rP.json,39ee2201cf57976b33bc18b2dabc3d78d6df72c024661ae60b1b6c03e9cc66eb,True
main,P,artifacts/pq_iid_main/evidence/n7_f1_s3407_rP.npz,c8cfca7357d43dd39ac2024a557cd8ff28fd43f76bb9012f078cff3d5b3bd534,True
main,Q,artifacts/pq_iid_main/fit_metadata/n7_f1_s3407_rQ.json,3bab11c4c518ea8af805315bbc3296cc815ba55d48d1f6de15f85814782070a7,True
main,Q,artifacts/pq_iid_main/evidence/n7_f1_s3407_rQ.npz,6ab89164ffc78950118b77e07fe4c763089d596504073a2cba22c5a8fbb3976c,True
s5b,P,artifacts/pq_s5b_revision/grid_extra/fit_metadata/n7_f1_s17_rP.json,edb2261782a310caac243b33ad35b75d5913675c53b547e6e572e071d5382eca,True
s5b,P,artifacts/pq_s5b_revision/grid_extra/evidence/n7_f1_s17_rP.npz,f6cb9c5d229a2761e142b88579fa1b1d69325a9ee9fbffa52e5cefacbf2df3bc,True
s5b,Q,artifacts/pq_s5b_revision/grid_extra/fit_metadata/n7_f1_s17_rQ.json,bd2c70f6afac3a75bb136db470bda0039cfcb7a7179ee7b90ecab7d42475b09e,True
s5b,Q,artifacts/pq_s5b_revision/grid_extra/evidence/n7_f1_s17_rQ.npz,4024d4bfc3457dc9d0401670407e445aaedcbed20fa463c4cedf265bf53ef5e7,True
s5b,P,artifacts/pq_s5b_revision/grid_extra/fit_metadata/n7_f1_s73_rP.json,31ecbddae91520efa30fb603733ac2f4f567a5b89d407c70edc57c7f762b0e2d,True
s5b,P,artifacts/pq_s5b_revision/grid_extra/evidence/n7_f1_s73_rP.npz,46200a1f7cd5dbfa15e9121ba2fb099db3581478c8d5a74f78801d0e26278fb5,True
s5b,Q,artifacts/pq_s5b_revision/grid_extra/fit_metadata/n7_f1_s73_rQ.json,e80031f8fb028c25032a7d5e7c108c05779a59a4f86c160da915537c161d4824,True
s5b,Q,artifacts/pq_s5b_revision/grid_extra/evidence/n7_f1_s73_rQ.npz,2da2d6aa282da58e6caa84df5cd481980634e0fdb6f4ea069050580c68d551f5,True
s5b,P,artifacts/pq_s5b_revision/grid_extra/fit_metadata/n7_f1_s314_rP.json,acf87e888c11665382ececc7c64fa662b11f36d99a773bd2965a2976556c2024,True
s5b,P,artifacts/pq_s5b_revision/grid_extra/evidence/n7_f1_s314_rP.npz,9cda407ddad72d45bf40123de81a4ea1b14c66e9f18525aecd19b2a89bebd75b,True
s5b,Q,artifacts/pq_s5b_revision/grid_extra/fit_metadata/n7_f1_s314_rQ.json,6abc02a4a2579674fc1c509f595d0a0faa81374e37cae5c2d986fcbc9ec7c734,True
s5b,Q,artifacts/pq_s5b_revision/grid_extra/evidence/n7_f1_s314_rQ.npz,ddcf0bee9f5c9cc377fb3f866d1d0f082713608c7e2e796a8d5a04d5415f4178,True
s5b,P,artifacts/pq_s5b_revision/grid_extra/fit_metadata/n7_f1_s2718_rP.json,c820da402a61e52fb79eb843e6944c413dafa262ac00a861cce1a3781e075c19,True
s5b,P,artifacts/pq_s5b_revision/grid_extra/evidence/n7_f1_s2718_rP.npz,0d415064f9ddfa5d80564d69e3c1f2bca8cb60c627d8815caf88d0bc280c91ec,True
s5b,Q,artifacts/pq_s5b_revision/grid_extra/fit_metadata/n7_f1_s2718_rQ.json,a45a6870258e2f7c0a199d7b5fd0cc9013d6871e335bbf94fc4a8d6a16aec21e,True
s5b,Q,artifacts/pq_s5b_revision/grid_extra/evidence/n7_f1_s2718_rQ.npz,6086e738c3a2ed9620ad8fd748bbfd9d0e2a2e4ac051d16c552b74d93affd76a,True
s5b,P,artifacts/pq_s5b_revision/grid_extra/fit_metadata/n7_f1_s4099_rP.json,2f50e96060227034516fdd5b5e1f061ef384ccf814b49ca2e664521e4a7f6302,True
s5b,P,artifacts/pq_s5b_revision/grid_extra/evidence/n7_f1_s4099_rP.npz,d5401daabcbe62e8b7fde42e75288676c1f8fcab89685394db3ffd1462ea2856,True
s5b,Q,artifacts/pq_s5b_revision/grid_extra/fit_metadata/n7_f1_s4099_rQ.json,030029ebcccb563297272320d62f8f8ee576dd6874cd76a3a1b81ed416d0f952,True
