test_n,n_seeds,F13_J_J1,RAW_J_J1,F13_S_J1,RAW_S_J1,F13_J_mean_regret,RAW_J_mean_regret,F13_S_mean_regret,RAW_S_mean_regret,RAW_minus_F13_J_J1,RAW_minus_F13_S_J1,interaction_J1,RAW_minus_F13_J_regret,RAW_minus_F13_S_regret,interaction_regret,interaction_J1_ci_low,interaction_J1_ci_high,interaction_regret_ci_low,interaction_regret_ci_high,per_seed_interaction_J1,per_seed_interaction_regret
7,3,0.6404955310103797,0.6439620973544888,0.6473578516480397,0.6463145261805733,0.06633272785071054,0.07075773874416913,0.07517258960591901,0.0738070809789108,0.0034665663441090975,-0.0010433254674664754,0.004509891811575573,0.004425010893458601,-0.0013655086270082013,0.0057905195204668025,9.483093339183568e-06,0.00911492725397368,-9.187067886142661e-06,0.011663441527542543,"[0.007178281353565685, 0.00878783226809321, -0.002436438186932177]","[0.00919282406641881, 0.011320761822530494, -0.0031420273275488964]"
10,3,0.5349613505619458,0.5392497344078371,0.5304057823839861,0.5320257075685677,0.04319836500286103,0.04779605992671567,0.03834212412635834,0.040067649546831,0.004288383845891104,0.0016199251845816869,0.0026684586613094177,0.004597694923854631,0.0017255254204726668,0.002872169503381964,-0.00025153900866536807,0.005530104417681031,-0.00025036920651073425,0.005953471762684314,"[0.010160088147142088, -0.0033483720303789655, 0.001193659867165131]","[0.010853913914042397, -0.0034975213971571092, 0.0012601159932606049]"
20,3,0.39772109822848356,0.39940857934667723,0.3856010760265592,0.387292982191811,0.028602453141632234,0.029945442921111398,0.019104480187181635,0.020409237889800102,0.0016874811181936678,0.0016919061652518146,-4.425047058146762e-06,0.0013429897794791656,0.001304757702618467,3.8232076860698676e-05,-0.004062096298273459,0.004162149491319492,-0.0033272627835733495,0.00311285448515257,"[-0.0018950013721480419, 0.005438556347798995, -0.0035568301168253935]","[-0.0014021111545268992, 0.004323711339800598, -0.002806903954691603]"
