beta,eta,gamma,gamma_over_eta,n,repeat_id,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status
2.5,1.0,0.5,0.5,20,0,2.8936670111027825,0.8288458141494834,0.4938001873016671,0.949001469753686,True,17.63999997638166,success
2.5,1.0,0.5,0.5,20,1,1.8879892273003378,0.5658733373633278,0.8093279326361337,0.9327609767317857,True,19.938700133934617,success
2.5,1.0,0.5,0.5,20,2,2.2453905832588443,0.9172467466946033,0.5761738300292589,0.9156061017043171,True,22.304899990558624,success
2.5,1.0,0.5,0.5,20,3,0,0,0,0,False,43.72019995935261,failure
2.5,1.0,0.5,0.5,20,4,2.0588482398078467,0.912066263344065,0.547958866928924,0.9353376962419124,True,25.025600101798773,success
2.5,1.0,0.5,0.5,20,5,4.012751392009067,1.5830182145449405,0.0,0.9376099078944257,True,24.341000011190772,success
2.5,1.0,0.5,0.5,20,6,1.8781756021442937,0.8018578752385999,0.5436943656472814,0.9363797001345222,True,23.316399892792106,success
2.5,1.0,0.5,0.5,20,7,2.8975631605836063,1.1174604183449457,0.5379080398306263,0.9559048397958917,True,22.1688998863101,success
2.5,1.0,0.5,0.5,20,8,2.5102999088300066,0.9044635682905922,0.5265572508215931,0.9370457182304482,True,21.072500152513385,success
2.5,1.0,0.5,0.5,20,9,1.4829346812412803,0.5867924309785744,0.7432094455774432,0.8800294341329602,True,20.921000046655536,success
2.5,1.0,0.5,0.5,20,10,3.793051742462773,1.2507399754642368,0.38008686772490774,0.9268618253367851,True,18.673700047656894,success
2.5,1.0,0.5,0.5,20,11,1.628810478770728,0.7550300481650083,0.6531415485993053,0.9031371603291954,True,25.79869981855154,success
2.5,1.0,0.5,0.5,20,12,4.248633678179652,1.2807544810416216,0.20025590153342232,0.9669914910487951,True,23.407800123095512,success
2.5,1.0,0.5,0.5,20,13,4.744053558125206,1.5964208156649584,0.0,0.9191236571122006,True,13.782700058072805,success
2.5,1.0,0.5,0.5,20,14,1.35993112588507,0.5854432369752156,0.8861149578386937,0.8854339050137312,True,24.2512000259012,success
2.5,1.0,0.5,0.5,20,15,1.5619709803802824,0.4973423156065751,0.9677380118254613,0.8937754723768696,True,22.057400085031986,success
2.5,1.0,0.5,0.5,20,16,2.367978455705046,0.9635734290297349,0.48360756759810225,0.9450205218257032,True,18.83099996484816,success
2.5,1.0,0.5,0.5,20,17,5.084217157391823,1.5749755198539006,0.0,0.9135109855778935,True,17.08460017107427,success
2.5,1.0,0.5,0.5,20,18,1.6623431284140429,0.7783141517386882,0.6157676297729509,0.9259109040921595,True,19.368800101801753,success
2.5,1.0,0.5,0.5,20,19,4.318974720156795,1.2815368213370324,0.35837932951055285,0.9661855950645402,True,24.698899826034904,success
2.5,1.0,0.5,0.5,20,20,1.3109020021329303,0.78712043594444,0.7742565320173617,0.8987171920277246,True,28.790999902412295,success
2.5,1.0,0.5,0.5,20,21,3.398918392588106,1.1937811832975322,0.3782924614480302,0.9530742085808916,True,22.12310000322759,success
2.5,1.0,0.5,0.5,20,22,1.7432094165161276,0.8079432164925539,0.6225515605762364,0.9314150170382426,True,29.41750013269484,success
2.5,1.0,0.5,0.5,20,23,4.836298716868875,1.5579905193791936,0.0,0.9358437981636125,True,16.448500100523233,success
2.5,1.0,0.5,0.5,20,24,3.124732129855597,0.9306981515341372,0.53227755153365,0.9026853126684535,True,29.848000034689903,success
2.5,1.0,0.5,0.5,20,25,2.2002316794535153,0.8945286749842781,0.5995921456660129,0.9552143635926496,True,20.035499939695,success
2.5,1.0,0.5,0.5,20,26,4.784938028980918,1.1438299997666146,0.25500804772234353,0.9414900362247971,True,29.07230006530881,success
2.5,1.0,0.5,0.5,20,27,2.429589499762283,1.0815235380492139,0.46117731016117686,0.953051137657352,True,22.021899931132793,success
2.5,1.0,0.5,0.5,20,28,3.9959313515118104,1.5681943349486,0.0,0.9536331935990624,True,9.198700077831745,success
2.5,1.0,0.5,0.5,20,29,2.971592866761415,1.2255710167531237,0.44325745420623586,0.9121470472098492,True,20.976500120013952,success
2.5,1.0,0.5,0.5,20,30,3.2554033579022725,1.2662593920328677,0.18142127071536002,0.9578340075712697,True,24.039800046011806,success
2.5,1.0,0.5,0.5,20,31,2.1968466902939854,0.9969506319664805,0.6419098305548371,0.9162540020406034,True,13.720100047066808,success
2.5,1.0,0.5,0.5,20,32,2.664535921747916,1.09472508914408,0.2674922999609741,0.9227375478542768,True,21.81980013847351,success
