beta,eta,gamma,gamma_over_eta,n,repeat_id,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status
2.5,1.0,1.0,1.0,10,0,2.2033277478266218,0.6134684757155622,1.2620984057899314,0.8374252786712327,True,12.649700045585632,success
2.5,1.0,1.0,1.0,10,1,1.798367692278219,0.8040662444193534,1.031208060145897,0.8599617756508418,True,13.725999975576997,success
2.5,1.0,1.0,1.0,10,2,3.9035205354142666,1.0845109863227642,1.0034741728903618,0.8646439432059302,True,12.23360002040863,success
2.5,1.0,1.0,1.0,10,3,4.259693805678452,1.5414760550443176,0.5116797384673005,0.9360838103458324,True,13.780599925667048,success
2.5,1.0,1.0,1.0,10,4,0,0,0,0,False,24.869200075045228,failure
2.5,1.0,1.0,1.0,10,5,2.0244223061881392,0.7986292395161119,1.1734485552755975,0.7736323124573226,True,20.17680020071566,success
2.5,1.0,1.0,1.0,10,6,3.904000199563719,1.180601960126309,1.0461019594157661,0.8859899871343625,True,18.691200064495206,success
2.5,1.0,1.0,1.0,10,7,2.6928057883929695,1.0496068694956042,0.8148903681413283,0.886115399680515,True,16.093999845907092,success
2.5,1.0,1.0,1.0,10,8,0,0,0,0,False,28.222399996593595,failure
2.5,1.0,1.0,1.0,10,9,0,0,0,0,False,33.02569990046322,failure
