beta,eta,gamma,gamma_over_eta,n,repeat_id,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status
2.5,1.0,0.5,0.5,10,0,0,0,0,0,False,137.5148999504745,failure
2.5,1.0,0.5,0.5,10,1,0,0,0,0,False,138.64330016076565,failure
2.5,1.0,0.5,0.5,10,2,1.973842958482019,0.4935011641489847,0.8747257894502474,0.8705295623859914,True,15.639200108125806,success
2.5,1.0,0.5,0.5,10,3,3.946344225048046,1.522458593790586,0.0,0.8957283247384166,True,7.890200009569526,success
2.5,1.0,0.5,0.5,10,4,6.0213740006505,1.332676403411071,6.029971178587057e-05,0.8842393890245366,True,5.4397000931203365,success
2.5,1.0,0.5,0.5,10,5,11.115155737669106,1.4602606934525912,0.0,-0.7315296761465591,True,11.477000080049038,success
2.5,1.0,0.5,0.5,10,6,0,0,0,0,False,30.16570000909269,failure
2.5,1.0,0.5,0.5,10,7,2.935005630099765,1.354577986787468,0.23523499463438496,0.9115564199041426,True,11.1673001665622,success
2.5,1.0,0.5,0.5,10,8,2.0912911131903433,0.6057707441514688,0.8171545765953543,0.8536133559352572,True,9.982600109651685,success
2.5,1.0,0.5,0.5,10,9,0,0,0,0,False,30.37079982459545,failure
