beta,eta,gamma,gamma_over_eta,n,repeat_id,delta,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status
1.5,1.0,1.0,1.0,10,0,0.0,2.345215859130848,1.1882392349138855,1.0856912501555502,0.9798833824019969,True,100.97450017929077,success
1.5,1.0,1.0,1.0,10,0,0.1,1.9054369152447306,1.0334728625175857,1.2299055813596445,0.9806586339817476,True,109.31690013967454,success
1.5,1.0,1.0,1.0,10,0,0.2,1.7272674032305828,0.9731046845557344,1.2850579350615663,0.9792259582645297,True,103.24810002930462,success
1.5,1.0,1.0,1.0,10,0,0.3,1.6145519806532556,0.9355870063357067,1.3188056881900148,0.9771987700141149,True,107.16730006970465,success
1.5,1.0,1.0,1.0,10,1,0.0,1.3990910963561183,0.982719556009194,0.9576998655258726,0.9729100101602445,True,100.68320017307997,success
1.5,1.0,1.0,1.0,10,1,0.1,1.3200629079810509,0.9524623217465962,0.98280112130283,0.9739883735046445,True,99.66850001364946,success
1.5,1.0,1.0,1.0,10,1,0.2,1.2687513673942739,0.9332337406654041,0.9985155868509078,0.9742871941554736,True,105.99459987133741,success
1.5,1.0,1.0,1.0,10,1,0.3,1.2304083230382914,0.9190376847211459,1.0099593694899498,0.9742274027875525,True,115.38020009174943,success
1.5,1.0,1.0,1.0,10,2,0.0,2.4018269467677933,1.6369652428057875,0.6173441382237813,0.9869932043897243,True,92.5813999492675,success
1.5,1.0,1.0,1.0,10,2,0.1,2.027993618380922,1.4598822883358253,0.7840826570594782,0.9869704155314926,True,102.02359990216792,success
1.5,1.0,1.0,1.0,10,2,0.2,1.8539743415535272,1.379015263019343,0.8589349409143979,0.9849780038457776,True,93.6719998717308,success
1.5,1.0,1.0,1.0,10,2,0.3,1.7379597463931649,1.3252163841321518,0.9079042822517861,0.982156768743624,True,103.43749984167516,success
1.5,1.0,1.0,1.0,10,3,0.0,1.1189218722395489,0.6985897596855526,1.1371288885356103,0.968325295111085,True,116.16920004598796,success
1.5,1.0,1.0,1.0,10,3,0.1,1.0905527245468296,0.6908795174825393,1.143205984443165,0.9691302709215763,True,110.12029997073114,success
1.5,1.0,1.0,1.0,10,3,0.2,1.0694802495882796,0.6850818097354787,1.1476753668116157,0.9695001387752566,True,109.7297000233084,success
1.5,1.0,1.0,1.0,10,3,0.3,1.0526672238491162,0.6803703819613423,1.1512240555093896,0.969615396989332,True,114.43019984290004,success
1.5,1.0,1.0,1.0,10,4,0.0,1.4906370141909415,1.4897568397697838,0.8136473764835505,0.9484978312536034,True,103.2364999409765,success
1.5,1.0,1.0,1.0,10,4,0.1,1.3740749689125122,1.4258171984059975,0.8687544129603688,0.9517129839088302,True,100.84050009027123,success
1.5,1.0,1.0,1.0,10,4,0.2,1.3076216154127742,1.3902711676935335,0.8988687005402901,0.9528526414119382,True,97.82640007324517,success
1.5,1.0,1.0,1.0,10,4,0.3,1.2613225812858035,1.3656908243968702,0.9193322573438796,0.953140202104919,True,100.87179997935891,success
1.5,1.0,1.0,1.0,10,5,0.0,1.3171547215427242,1.3136343859566568,0.9109029372696698,0.9289243034197522,True,105.51870008930564,success
1.5,1.0,1.0,1.0,10,5,0.1,1.1678529759077148,1.2352428998334801,0.9720414282670747,0.9346375660995013,True,107.85949998535216,success
