beta,gamma_eta_ratio,total,strict_root_count,solution_rate
1.5,0.0,100,55,0.55
1.5,0.2,100,84,0.84
1.5,1.0,100,97,0.97
1.5,5.0,100,100,1.0
2.0,0.0,100,63,0.63
2.0,0.2,100,88,0.88
2.0,1.0,100,100,1.0
2.0,5.0,100,100,1.0
3.0,0.0,100,76,0.76
3.0,0.2,100,91,0.91
3.0,1.0,100,100,1.0
3.0,5.0,100,100,1.0
5.0,0.0,100,95,0.95
5.0,0.2,100,99,0.99
5.0,1.0,100,100,1.0
5.0,5.0,100,100,1.0
7.0,0.0,100,100,1.0
7.0,0.2,100,100,1.0
7.0,1.0,100,100,1.0
7.0,5.0,100,100,1.0
