n,fold,seed,mse_P,p_equal_test_P,matrix_test_P,mse_M95,p_equal_test_M95,matrix_test_M95,mse_Q,p_equal_test_Q,matrix_test_Q,diff_M_minus_P,diff_M_minus_Q
7,1,42,0.04055187458410536,0.07979730637947294,0.03916363081636571,0.05305219486051854,1.2367455335637085,0.02557189193563107,0.039258311750997366,10.286171852970428,6.1001859757651005,0.01250032027641318,0.013793883109521177
7,3,42,0.04376814390351528,0.08583063915624099,0.04300157932030815,0.06031136432406902,1.2002609963820878,0.028491877897017955,0.042752381739594586,10.152420946495559,5.515366233797528,0.016543220420553742,0.017558982584474435
10,1,42,0.030857310886790414,0.05526616593293159,0.030480671791832177,0.054617630159366354,1.1968591511459508,0.020312866805492543,0.027948590423995487,46.92438801674068,27.968557384536567,0.02376031927257594,0.026669039735370867
10,3,42,0.030004882486598477,0.06252642157169488,0.03026294380249088,0.04439345584376454,1.1591648110539772,0.01885988939712513,0.029526678308952673,55.56803234428602,32.52754495066613,0.014388573357166066,0.01486677753481187
15,1,42,0.023026498458641728,0.04409050687989194,0.023033005352129283,0.034006499045369225,0.9329504881256918,0.015435101639708702,0.020205587945767392,128.5083047299053,60.57083674822022,0.010980000586727497,0.013800911099601833
15,3,42,0.023861001158553333,0.043784631194468036,0.024081454587914997,0.036013672628410646,0.9362522771595843,0.016727012011905146,0.022581199076843077,115.69672540475241,57.64858430382598,0.012152671469857313,0.01343247355156757
20,1,42,0.014451904582628862,0.03052511227826762,0.014410115108287413,0.02245564631619511,0.841556949979429,0.009698213336773141,0.013995176067365911,127.06317649921894,56.04631491433317,0.00800374173356625,0.0084604702488292
20,3,42,0.01483100276623786,0.03334671679044756,0.014838974981952052,0.0221833378545019,0.7930077665961898,0.009430130353219181,0.014398836934743168,163.5170540150086,74.04533784715053,0.00735233508826404,0.0077845009197587325
7,1,2026,0.04166970538905999,0.08056580552966788,0.04023973841315162,0.05336686664770032,1.329062788606022,0.02627525876654832,0.03869609654490744,14.171286601736291,9.292559652223506,0.011697161258640336,0.014670770102792885
7,3,2026,0.047339322567431744,0.08682214306001981,0.046986199811460815,0.06012999403943779,1.325791496952847,0.02921570210506625,0.04313971150549565,13.016837414363275,7.530088956957392,0.012790671472006049,0.016990282533942143
10,1,2026,0.03185780187852737,0.05583725483634247,0.031363668681394376,0.04707441058036032,1.0956890562194,0.020409170596332887,0.02784192155262659,44.98251120252715,25.335949487724385,0.015216608701832952,0.01923248902773373
10,3,2026,0.029559471350532652,0.062197162540497085,0.029629279408130326,0.03924896991629523,1.0674199061236562,0.018455771482550024,0.02966849012670604,52.77212541177346,31.795048536441058,0.009689498565762577,0.009580479789589189
15,1,2026,0.02300197359071921,0.04416453827688768,0.023064271473807182,0.03415049455609304,0.9430602202767178,0.015070191540519954,0.02034411843363029,122.07637214863101,56.39595725672185,0.011148520965373832,0.013806376122462754
15,3,2026,0.024083396818105177,0.04271188140987236,0.02433168465561549,0.035734467973290655,0.9294270223964607,0.016884133360852496,0.02270376766683306,130.27759904827167,60.6991375410508,0.011651071155185478,0.013030700306457595
20,1,2026,0.014462104967894355,0.03054704813739559,0.014334750781688398,0.022570278241020463,0.8527857630904531,0.009786397929199952,0.014006070633882572,135.48607984560687,59.653337484536216,0.008108173273126108,0.008564207607137891
20,3,2026,0.015122637122534173,0.03325208708228152,0.014976949228491096,0.021306585200796698,0.7824947119373111,0.009555473928205738,0.014198442638174717,153.5387198913643,66.37395195995157,0.006183948078262525,0.007108142562621982
7,1,3407,0.04070281461070251,0.07917715592513408,0.039417146795991065,0.048129440087871615,1.1587880037687022,0.025177814986238094,0.038885969142592354,9.194137733246865,4.692768531770534,0.007426625477169102,0.009243470945279261
7,3,3407,0.045377943223869,0.08518441764676524,0.04469243505183976,0.05732452665635077,1.318133289786862,0.028884770294593683,0.0424797960010253,12.781315043997292,7.9568830566111926,0.011946583432481776,0.014844730655325475
10,1,3407,0.0327750921110725,0.0564342765414812,0.03289728433837861,0.053957228463161803,1.1647744961992759,0.02050431079076839,0.027921317852903787,54.99387421552778,31.995807435398117,0.021182136352089306,0.026035910610258017
10,3,3407,0.03023132040189062,0.06333628265917769,0.030946989745597796,0.05010055844775829,1.1424975287819275,0.019634018849983767,0.029676793602325755,57.46521729851807,34.30356651874116,0.01986923804586767,0.020423764845432537
15,1,3407,0.022800508615018266,0.0454900450610079,0.023177494086830428,0.03444253224245494,0.9713198290151843,0.015269713283801731,0.020456515757322987,135.95778085127841,66.52311372563155,0.011642023627436677,0.013986016485131956
15,3,3407,0.025180336288783644,0.043612353978790756,0.02601268615800239,0.03570411476006653,0.9263402730598237,0.017128899437779448,0.02273136030254743,153.2596654276583,79.70517814536444,0.010523778471282889,0.012972754457519102
20,1,3407,0.01434262135216799,0.030192799076062992,0.014213291755893698,0.02233619093570203,0.8288459354256432,0.009644523048639947,0.013919648594162762,128.95561368682908,57.66017200199996,0.007993569583534038,0.008416542341539266
20,3,3407,0.014479149052225325,0.03253291179428922,0.014574958634988018,0.022121077780915814,0.8066241291181845,0.009572382295634885,0.013936744814767131,137.79568669817752,62.006165240617214,0.007641928728690489,0.008184332966148683
