R,target,beta,gamma_over_eta,s_beta,s_eta,s_gamma,s_norm,W_bb,W_be,W_bg,W_ee,W_eg,W_gg,rank
0.9,B10,1.5,0.1,1.035881364327453,0.6904748516531602,3.095251483468398,3.336223533823787,1.0730502009609053,0.7152500313642713,3.2063133296318167,0.47675552076545363,2.1371933088770665,9.580581745913317,1
0.9,B10,1.5,0.25,0.7074302054138275,0.47154315441827854,2.113827382326886,2.278393434919774,0.5004574955318501,0.333583870591607,1.495385339288882,0.2223529464787405,0.9967608317581522,4.468266202274934,1
0.9,B10,1.5,0.5,0.46283950211534025,0.3085093019023459,1.3829813961953084,1.4906495014928804,0.21422040471837606,0.14279029169043295,0.6400984208498146,0.09517798936027279,0.4266626250841462,1.9126375422223245,1
0.9,B10,1.5,0.75,0.343927996810448,0.229247904977268,1.0276694600303093,1.1076757594194708,0.11828646699004752,0.0788447727318237,0.3534442987714991,0.052554601936466494,0.23559107072106866,1.0561045190789875,1
0.9,B10,1.5,1.0,0.2736281687128848,0.18238900293647067,0.8176109970635294,0.8812637888989571,0.07487237471316696,0.049906768866875444,0.2237213998460094,0.033265748392159906,0.14912325454431077,0.6684877425192186,1
0.9,B10,2.0,0.1,0.860180690967466,0.7644802522037655,2.3551974779623457,2.621315707297195,0.7399108211132672,0.6575911515716176,2.025895393958484,0.5844300560095329,1.8005019619423264,5.546955160200194,1
0.9,B10,2.0,0.25,0.6356267227984197,0.5649093062131612,1.7403627751473556,1.9370096654638302,0.4040213307354591,0.3590714509866006,1.1062210872472766,0.31912252424623505,0.9831471278677044,3.028862589118605,1
0.9,B10,2.0,0.5,0.44291745849257974,0.39364014320412694,1.2127197135917462,1.3497472137823951,0.1961758750375261,0.17435009178862704,0.5371347334079054,0.15495256234176555,0.4773751617247228,1.470689103734047,1
0.9,B10,2.0,0.75,0.3398743710218742,0.3020612385336906,0.9305850152884126,1.0357335808890995,0.11551458807751458,0.1026628734567264,0.3162819967535304,0.09124099182450714,0.2810936622789113,0.8659884706793352,1
0.9,B10,2.0,1.0,0.2757274197427004,0.24505103357681107,0.754948966423189,0.840252081793596,0.07602560999796727,0.06756728919341595,0.20816013054928445,0.06005000905706339,0.1850010245197477,0.5699479419034413,1
