track,method,mean_J1,sd_J1_across_models,n_models
main_holdout,Direct-MLP,0.424116464823932,0.035650741922672445,15
main_holdout,MDM-Vector-MLP,0.5467783073886406,0.010811773245486019,15
param_interp,Direct-MLP,0.33049647653368114,0.003002380884875247,15
param_interp,MDM-Vector-MLP,0.546101708199203,0.004208736304257697,15
n_interp,Direct-MLP,0.36567670168783045,0.0024633273483077125,15
n_interp,MDM-Vector-MLP,0.45354838707150635,0.00500278768358599,15
extrap_diag,Direct-MLP,0.3943589944171004,0.018646166606003076,15
extrap_diag,MDM-Vector-MLP,0.5262808529661911,0.0077233774734639824,15
