method,parameter,bias,sd,rmse,n_predictions
Direct-MLP,beta,-0.06192486348411648,0.2818872408185991,0.28860789431020645,135000
Direct-MLP,eta,-0.03157525302832401,0.23761714667362063,0.23970499944881657,135000
Direct-MLP,gamma,0.017843518897988412,0.19997480110534857,0.2007685633313866,135000
MDM-Vector-MLP,beta,-0.1580937987270413,0.3280456679902369,0.3641521829436979,135000
MDM-Vector-MLP,eta,-0.15797343750213083,0.2630036435360107,0.30679962694289126,135000
MDM-Vector-MLP,gamma,0.1454255032611247,0.22626223214296615,0.2689661604622907,135000
