route,fold,seed,pooled_J1,J1_n7,J1_n10,J1_n20,failure_rate,endpoint_rate,n_samples
dimensional,combo_fold_1,42,0.5277396374354582,0.6159893583556825,0.5576065179293836,0.3809979741635758,0.0,0.555,9000
dimensional,combo_fold_1,2026,0.5350531766484917,0.6209307839225577,0.5696419968564608,0.3857442968076496,0.0,0.21966666666666668,9000
dimensional,combo_fold_1,3407,0.5271725491708352,0.6151243026744682,0.5554719300841683,0.3831523416940684,0.0,0.5863333333333334,9000
dimensional,combo_fold_2,42,0.5430521395813618,0.6672221828449635,0.5198716486263716,0.41141816511401735,0.0,0.33266666666666667,9000
dimensional,combo_fold_2,2026,0.5431953395197239,0.6701259189723893,0.5167686946777106,0.4111750230137405,0.0,0.5463333333333333,9000
dimensional,combo_fold_2,3407,0.5495261128537824,0.6885386083741416,0.5175139097163768,0.40500714086647166,0.0,0.5551111111111111,9000
dimensional,combo_fold_3,42,0.559705634364271,0.6972966952875579,0.5499842646781262,0.388723319039191,0.0,0.6235555555555555,9000
dimensional,combo_fold_3,2026,0.5554818652654958,0.6987561921570606,0.5436984633100036,0.3765794376131137,0.0,0.5498888888888889,9000
dimensional,combo_fold_3,3407,0.5528073888184274,0.6896155013212714,0.5462413961045417,0.37794023987386793,0.0,0.4351111111111111,9000
dimensional,combo_fold_4,42,0.5616428757203288,0.6457396666972708,0.5966489487255321,0.4163633922196057,0.0,0.3982222222222222,9000
dimensional,combo_fold_4,2026,0.553434378512733,0.6357137651596763,0.5909370489456748,0.40685408555059405,0.0,0.6061111111111112,9000
dimensional,combo_fold_4,3407,0.561227373505159,0.6448609811614292,0.5970450216283271,0.4154756929579002,0.0,0.46644444444444444,9000
dimensional,combo_fold_5,42,0.5504470720571795,0.6528103802403463,0.5318756559248821,0.44712731016333185,0.0,0.40166666666666667,9000
dimensional,combo_fold_5,2026,0.5473719314284504,0.6523911439259149,0.5317854026123348,0.43639222591908033,0.0,0.4483333333333333,9000
dimensional,combo_fold_5,3407,0.5425093254857312,0.6435202856289687,0.5310800245452396,0.43218601808710466,0.0,0.5704444444444444,9000
dimensionless,combo_fold_1,42,0.5411817364335508,0.6207649374596645,0.5705162972128653,0.409627956300495,0.0,0.4026666666666667,9000
dimensionless,combo_fold_1,2026,0.5419631252944938,0.6200861701201542,0.5709244510673973,0.413171272399275,0.0,0.4928888888888889,9000
dimensionless,combo_fold_1,3407,0.538505943369118,0.6204070150829354,0.5685636666488769,0.40223928914796253,0.0,0.5076666666666667,9000
dimensionless,combo_fold_2,42,0.5814120333494252,0.7224625833435474,0.539826201715271,0.44805730122471,0.0,0.46644444444444444,9000
dimensionless,combo_fold_2,2026,0.5797001811893934,0.7220382366496882,0.5427993179995897,0.4383909047962053,0.0,0.4023333333333333,9000
dimensionless,combo_fold_2,3407,0.5808817169282392,0.7210693171101132,0.5446929129329493,0.4423114035467213,0.0,0.6125555555555555,9000
dimensionless,combo_fold_3,42,0.6010799812090635,0.7152527044814325,0.628765310535799,0.42066516902363216,0.0,0.42377777777777775,9000
dimensionless,combo_fold_3,2026,0.5984483860138186,0.710621360710592,0.6291545844756441,0.4166571764685438,0.0,0.4221111111111111,9000
dimensionless,combo_fold_3,3407,0.5987769320897223,0.7165512452684866,0.6239758507940292,0.4157040939639498,0.0,0.46955555555555556,9000
dimensionless,combo_fold_4,42,0.5898436825186717,0.6338566357855384,0.6319459614544138,0.4925614443840061,0.0,0.4831111111111111,9000
dimensionless,combo_fold_4,2026,0.5913096368808928,0.6362342130349415,0.6328814084509693,0.4935670258491401,0.0,0.4341111111111111,9000
dimensionless,combo_fold_4,3407,0.5940272771356512,0.6373053152775273,0.6349094792058336,0.49933666626553275,0.0,0.45844444444444443,9000
dimensionless,combo_fold_5,42,0.56503594507269,0.6550289910229076,0.5345343418887444,0.4929573165433722,0.0,0.4131111111111111,9000
dimensionless,combo_fold_5,2026,0.5693116631918724,0.6572465517306411,0.5388279209945446,0.5000387498322172,0.0,0.3431111111111111,9000
dimensionless,combo_fold_5,3407,0.5659121457630223,0.6507557281450602,0.5373787264637413,0.4985085323210874,0.0,0.5165555555555555,9000
