beta,gamma_over_eta,n,repeat_id,max_feature_rel_diff,max_curve_rel_diff,delta_consistent,selected_delta_0.001,selected_delta_1,selected_delta_1000
2.5,0.1,7,843,2.4885784326662633e-15,0.0,True,0.06,0.06,0.06
5.0,0.1,7,811,1.3098661521894286e-14,0.0,True,0.0,0.0,0.0
2.5,1.0,7,655,2.1497248779203294e-13,0.0,True,0.02,0.02,0.02
2.0,0.5,20,763,1.2987589431763262e-15,0.0,True,0.32,0.32,0.32
2.5,0.1,20,996,6.301487767058513e-15,0.0,True,0.06,0.06,0.06
2.0,0.5,20,506,3.768996964649201e-15,0.0,True,0.32,0.32,0.32
1.5,0.5,7,997,2.479147340869288e-15,0.0,True,0.0,0.0,0.0
4.0,1.0,7,161,1.515122562292576e-14,0.0,True,0.04,0.04,0.04
4.0,0.1,20,190,3.747641757238244e-14,0.0,True,0.32,0.32,0.32
2.5,0.1,10,394,5.748426991445639e-15,0.0,True,0.04,0.04,0.04
1.5,0.5,10,451,2.6892592820591664e-15,0.0,True,0.46,0.46,0.46
2.5,1.0,10,692,3.9107931930460554e-15,0.0,True,0.0,0.0,0.0
4.0,1.0,20,469,5.875878582561652e-15,0.0,True,0.0,0.0,0.0
1.5,1.0,10,288,1.5499990422286692e-14,0.0,True,0.16,0.16,0.16
2.0,0.5,20,62,1.775329224089354e-15,0.0,True,0.0,0.0,0.0
1.5,0.1,7,899,2.24099570190495e-15,0.0,True,0.0,0.0,0.0
4.0,0.1,20,49,8.225861918844892e-15,0.0,True,0.32,0.32,0.32
2.0,0.1,20,285,1.134458096770005e-13,0.0,True,0.06,0.06,0.06
2.5,1.0,10,523,6.664785951462427e-15,0.0,True,0.0,0.0,0.0
2.5,0.1,7,562,5.286436149686029e-15,0.0,True,0.14,0.14,0.14
4.0,0.1,7,520,1.722147955571864e-15,0.0,True,0.16,0.16,0.16
5.0,0.1,10,994,1.022391507559631e-14,0.0,True,0.0,0.0,0.0
1.5,1.0,7,826,8.252268069191596e-15,0.0,True,0.04,0.04,0.04
2.0,0.5,20,100,1.1641558941830007e-15,0.0,True,0.32,0.32,0.32
5.0,0.1,20,731,4.544304984240566e-15,0.0,True,0.12,0.12,0.12
4.0,0.5,20,334,5.826605381835016e-16,0.0,True,0.12,0.12,0.12
5.0,1.0,10,989,5.844613735650145e-15,0.0,True,0.04,0.04,0.04
4.0,0.5,10,537,3.948062115461316e-15,0.0,True,0.2,0.2,0.2
4.0,0.5,7,324,4.844837207619325e-15,0.0,True,0.0,0.0,0.0
5.0,1.0,10,963,1.0695058461978901e-13,0.0,True,0.02,0.02,0.02
5.0,0.5,7,285,6.4353936954484524e-15,0.0,True,0.0,0.0,0.0
2.5,0.1,20,143,9.56535443647842e-15,0.0,True,0.32,0.32,0.32
1.5,0.1,7,271,4.7824708148374377e-14,0.0,True,0.32,0.32,0.32
4.0,1.0,10,950,3.021648931107999e-15,0.0,True,0.12,0.12,0.12
2.5,0.5,20,341,3.022790908261466e-15,0.0,True,0.06,0.06,0.06
1.5,1.0,7,471,3.9101159868665045e-16,0.0,True,0.0,0.0,0.0
4.0,0.5,10,848,1.2116666871262143e-14,0.0,True,0.02,0.02,0.02
2.0,0.5,20,555,8.320448515571151e-15,0.0,True,0.32,0.32,0.32
2.0,1.0,7,509,5.558946043982423e-15,0.0,True,0.14,0.14,0.14
1.5,0.1,7,832,6.406898805507268e-14,0.0,True,0.3,0.3,0.3
2.0,0.5,20,78,8.835121815843241e-16,0.0,True,0.3,0.3,0.3
4.0,0.5,20,927,6.846061552653799e-15,0.0,True,0.0,0.0,0.0
4.0,0.5,10,689,2.9180748888470946e-14,0.0,True,0.0,0.0,0.0
4.0,0.5,20,557,1.8964787834957154e-14,0.0,True,0.12,0.12,0.12
2.0,0.5,7,444,2.451853987427585e-15,0.0,True,0.02,0.02,0.02
4.0,0.5,20,541,1.608018732091072e-14,0.0,True,0.08,0.08,0.08
2.0,1.0,10,472,7.46619345218369e-15,0.0,True,0.04,0.04,0.04
5.0,0.5,20,762,2.942084977728951e-15,0.0,True,0.04,0.04,0.04
2.0,0.1,20,679,4.963043335550779e-15,0.0,True,0.5,0.5,0.5
5.0,1.0,20,133,1.9781910559451567e-14,0.0,True,0.02,0.02,0.02
5.0,1.0,20,588,3.929936502763281e-15,0.0,True,0.06,0.06,0.06
4.0,0.5,10,681,8.27439840404268e-14,0.0,True,0.14,0.14,0.14
2.0,1.0,20,219,1.0546877233271833e-14,0.0,True,0.32,0.32,0.32
2.0,0.1,7,843,4.596393948901782e-15,0.0,True,0.2,0.2,0.2
4.0,0.5,20,417,4.591453978826066e-14,0.0,True,0.08,0.08,0.08
4.0,0.5,20,838,7.525571658263237e-15,0.0,True,0.0,0.0,0.0
2.0,0.1,10,427,3.933495903732727e-15,0.0,True,0.46,0.46,0.46
4.0,0.1,7,658,1.072843811694734e-14,0.0,True,0.0,0.0,0.0
1.5,0.5,10,374,7.481211428011515e-15,0.0,True,0.02,0.02,0.02
2.0,0.1,7,252,7.348743625819239e-16,0.0,True,0.08,0.08,0.08
4.0,0.5,10,868,4.093120835732442e-15,0.0,True,0.02,0.02,0.02
1.5,0.1,7,700,6.132591103808287e-15,0.0,True,0.32,0.32,0.32
2.0,0.5,7,980,1.1498513343999065e-15,0.0,True,0.12,0.12,0.12
1.5,0.1,20,988,4.506065360487924e-15,0.0,True,0.42,0.42,0.42
5.0,0.1,10,696,9.969591909061102e-15,0.0,True,0.18,0.18,0.18
1.5,0.1,10,480,9.078702419202023e-16,0.0,True,0.0,0.0,0.0
4.0,1.0,7,7,3.486124352234229e-15,0.0,True,0.0,0.0,0.0
5.0,1.0,10,960,8.740373193770355e-14,0.0,True,0.02,0.02,0.02
5.0,1.0,7,63,9.673787394707031e-15,0.0,True,0.0,0.0,0.0
2.0,0.1,20,271,1.3749672431797475e-14,0.0,True,0.5,0.5,0.5
4.0,0.5,7,646,2.0393262885458326e-14,0.0,True,0.02,0.02,0.02
1.5,0.5,20,745,3.6194810103727676e-15,0.0,True,0.32,0.32,0.32
1.5,0.5,7,689,8.82300044194283e-15,0.0,True,0.16,0.16,0.16
2.0,0.5,7,450,8.257479465486184e-15,0.0,True,0.12,0.12,0.12
2.5,1.0,10,276,5.415184854475217e-14,0.0,True,0.0,0.0,0.0
2.0,1.0,10,311,9.574069123709724e-15,0.0,True,0.04,0.04,0.04
2.0,0.1,10,290,5.8564444314781196e-15,0.0,True,0.32,0.32,0.32
5.0,1.0,7,533,1.8522321436276906e-14,0.0,True,0.02,0.02,0.02
2.0,0.5,20,651,3.378119465011245e-15,0.0,True,0.0,0.0,0.0
5.0,0.5,7,529,3.2695634116907518e-15,0.0,True,0.2,0.2,0.2
2.5,1.0,10,840,7.358274061865154e-15,0.0,True,0.18,0.18,0.18
2.5,1.0,7,212,1.2277062160418083e-14,0.0,True,0.14,0.14,0.14
2.0,1.0,10,93,4.439307617401993e-15,0.0,True,0.12,0.12,0.12
2.5,0.5,20,303,1.6016908502926818e-14,0.0,True,0.16,0.16,0.16
5.0,1.0,20,227,1.3742985581876682e-14,0.0,True,0.04,0.04,0.04
2.5,0.5,20,795,2.845632196808285e-14,0.0,True,0.08,0.08,0.08
2.5,0.5,10,223,9.237910809178079e-15,0.0,True,0.04,0.04,0.04
2.0,0.1,20,876,6.351101522681223e-15,0.0,True,0.5,0.5,0.5
5.0,1.0,20,617,1.1726621485200053e-13,0.0,True,0.02,0.02,0.02
1.5,0.1,20,672,2.610628952129417e-15,0.0,True,0.0,0.0,0.0
2.5,0.1,7,163,6.624619673697289e-15,0.0,True,0.0,0.0,0.0
2.0,1.0,20,620,5.489488291848851e-15,0.0,True,0.04,0.04,0.04
2.0,0.1,20,162,1.8997708795786574e-14,0.0,True,0.2,0.2,0.2
5.0,1.0,10,248,8.705024529545134e-15,0.0,True,0.0,0.0,0.0
2.0,0.1,10,902,2.8135972747286964e-15,0.0,True,0.04,0.04,0.04
2.5,0.1,10,209,2.062300894352127e-15,0.0,True,0.0,0.0,0.0
4.0,1.0,7,978,7.495132694849327e-15,0.0,True,0.0,0.0,0.0
1.5,1.0,10,7,4.561913914738777e-15,0.0,True,0.12,0.12,0.12
4.0,0.1,10,267,1.2691318896728985e-14,0.0,True,0.08,0.08,0.08
4.0,0.5,10,430,1.492571741259276e-14,0.0,True,0.0,0.0,0.0
2.5,0.5,10,58,1.5644353244692269e-15,0.0,True,0.04,0.04,0.04
1.5,0.1,20,251,3.2586425052170282e-15,0.0,True,0.0,0.0,0.0
2.0,1.0,20,565,3.784851598170873e-15,0.0,True,0.32,0.32,0.32
