route,pooled_J1,failure_rate,n_samples,J1_n7,J1_n10,J1_n20,endpoint_rate
dimensional,0.5474612350836263,0.0,135000,0.6564865687975554,0.55105754540969,0.4055889278485407,0.4863259259259259
dimensionless,0.5762028931382244,0.0,135000,0.6705844876710375,0.5834273558037454,0.4538262746662012,0.4565629629629629
Default,0.6332189473722903,0.0,45000,0.7392855016503718,0.6445203563841531,0.490865728269775,0.0
L1,0.632913084302716,0.0,45000,0.7397329656280063,0.6451038118222846,0.4882347062430979,0.0
L2,0.6325405576256965,0.0,45000,0.7392855016503718,0.6445203563841531,0.4882347062430979,0.0
L6-hindsight,0.4945297307934268,0.0,45000,0.5911154523322775,0.5035816867208588,0.3614788662276667,0.6474222222222222
