track,method,R,fold,seed,bias,rmse,mae,p95_abs,n
extrap_diag,Direct-MLP,0.9,combo_fold_1,42,0.031165694844551898,0.20657654731319394,0.12266729864909134,0.4543666186084973,7000
extrap_diag,Direct-MLP,0.9,combo_fold_1,2026,0.04073618387462061,0.2126729352514448,0.1272216940840403,0.4806673491801396,7000
extrap_diag,Direct-MLP,0.9,combo_fold_1,3407,0.0022885322540753413,0.20227596620662458,0.12436210152794401,0.4126765246328309,7000
extrap_diag,Direct-MLP,0.9,combo_fold_2,42,-0.018634314652501028,0.19229948401110594,0.12094376667427814,0.4010098710932499,7000
extrap_diag,Direct-MLP,0.9,combo_fold_2,2026,-0.047316861673635253,0.2491159966097981,0.148734012215048,0.6611997426264051,7000
extrap_diag,Direct-MLP,0.9,combo_fold_2,3407,-0.01888224947907142,0.21696426152469311,0.13278197885103518,0.5150470361956556,7000
extrap_diag,Direct-MLP,0.9,combo_fold_3,42,0.017220049263712612,0.22143111357154388,0.14230871160448016,0.5068947869381498,7000
extrap_diag,Direct-MLP,0.9,combo_fold_3,2026,0.013495909230030597,0.20945055450076255,0.13790794490880717,0.4477575919937656,7000
extrap_diag,Direct-MLP,0.9,combo_fold_3,3407,0.022107799460097104,0.22684994116323615,0.14429535658905496,0.5325448898351596,7000
extrap_diag,Direct-MLP,0.9,combo_fold_4,42,-0.0008316077922902986,0.1956296941633612,0.11837488260936842,0.39333396670995496,7000
extrap_diag,Direct-MLP,0.9,combo_fold_4,2026,-0.004553659283303224,0.19588728081007303,0.11806901218977932,0.38785657415073843,7000
extrap_diag,Direct-MLP,0.9,combo_fold_4,3407,0.014777396968827143,0.19369726618190555,0.117163496181072,0.38255071704199445,7000
extrap_diag,Direct-MLP,0.9,combo_fold_5,42,-0.000818014380390936,0.19253628694706504,0.11938258654450694,0.4018057534695951,7000
extrap_diag,Direct-MLP,0.9,combo_fold_5,2026,-0.03293981665411733,0.20839253037807656,0.1321713894454939,0.4708467737036632,7000
extrap_diag,Direct-MLP,0.9,combo_fold_5,3407,-0.0037111100972627023,0.1919172592070911,0.11826203229814847,0.39299436067849475,7000
extrap_diag,Direct-MLP,0.95,combo_fold_1,42,0.0477780966905644,0.2655506317993077,0.15098584883492316,0.5763852109187975,7000
extrap_diag,Direct-MLP,0.95,combo_fold_1,2026,0.059291822017994766,0.2715834527751966,0.15494784931900313,0.6180132239327614,7000
