target,n,J1,default_J1,relative_improvement_vs_default,improved_rate,harmed_rate
absolute,7,0.6971754731542591,0.7633086673112073,0.08664017191093298,0.6858333333333333,0.24375
absolute,10,0.60178480390479,0.6571370100580289,0.08423236753679564,0.6741666666666667,0.26808333333333334
absolute,15,0.5222863143373775,0.5650868178686961,0.07574146516591318,0.6329166666666667,0.31716666666666665
absolute,20,0.46721422678883945,0.505836687210487,0.07635361648961636,0.6120833333333333,0.3025833333333333
oracle_regret,7,0.692414746693977,0.7633086673112073,0.09287713300434242,0.65625,0.252
oracle_regret,10,0.602857841002052,0.6571370100580289,0.08259947046839411,0.69975,0.24225
oracle_regret,15,0.5194939073067593,0.5650868178686961,0.08068301917552567,0.6499166666666667,0.29175
oracle_regret,20,0.4688781754903349,0.505836687210487,0.0730641186268347,0.6108333333333333,0.3055
