target,aggregation,n_rows,J1,default_J1,oracle_J1,relative_improvement_vs_default,improved_rate,harmed_rate,exact_oracle_rate,within_0.02_oracle_rate,spearman_predicted_vs_actual_gain
absolute,model_first_rows,144000,0.5829033927394931,0.6304091999323667,0.4922971152637207,0.07535709694270043,0.6338194444444445,0.295375,0.23545833333333333,0.48678472222222224,0.43860450859120453
absolute,three_seed_curve_ensemble,48000,0.5786343228751226,0.6304091999323665,0.4922971152637207,0.08212899980330013,0.65125,0.28289583333333335,0.23247916666666665,0.5026875,0.49545950362557883
oracle_regret,model_first_rows,144000,0.5811291058845649,0.6304091999323667,0.4922971152637207,0.07817159719922995,0.6432361111111111,0.28199305555555554,0.24704861111111112,0.4973611111111111,0.441465534283104
oracle_regret,three_seed_curve_ensemble,48000,0.5771907009552668,0.6304091999323665,0.4922971152637207,0.08441897577447999,0.6541875,0.272875,0.24589583333333334,0.5089166666666667,0.47854732380154424
