method,n,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
LSE,7,31500,31500,0.0,1.067767601465418,1.912884932170275,2.571105788930245,-0.02134074473653772,0.7723075279999186,0.7725900659389268,-0.06084703396195543,0.5542577854250623,0.5575789646422942,0.06416833473172824,0.4777317333805695,0.482014459264578,0.09407659462318456,0.2985966468983732,0.31306154781449,-0.1760636844954586,2.7950475810790887,2.800543053098221,-60.847033961955425,554.2577854250624,557.5789646422942,64.16833473172825,477.73173338056955,482.014459264578
LSE,10,31500,31500,0.0,0.9060347034757943,1.6966704765001028,2.1350664941242776,-0.020570672107969055,0.6290386117792172,0.629364891049926,-0.0446697650763655,0.4878152723451303,0.48984852091303593,0.04403671836658866,0.4276841341407409,0.42993853557862916,0.06598349408967472,0.23386995115771697,0.2429963769126982,-0.1441089991536413,2.3554819459592857,2.3598488224930265,-44.669765076365486,487.8152723451303,489.84852091303594,44.03671836658867,427.6841341407409,429.93853557862917
LSE,15,31500,31500,0.0,0.785457376175411,1.5497638849757074,1.9315670749647533,-0.002371276042709325,0.5333139365483028,0.5333107429455787,-0.02074765831078469,0.42937926017286643,0.42987342495862624,0.021108006951106657,0.3837849758731058,0.38435892049168885,0.04391657351600158,0.17299408911925535,0.1784787669094782,-0.05579649710786948,2.068154435967158,2.0688741464817113,-20.747658310784686,429.3792601728665,429.87342495862623,21.10800695110666,383.78497587310574,384.3589204916888
LSE,20,31500,31500,0.0,0.707661209495632,1.4201846543808525,1.8104488720264562,0.010503869101654502,0.4770799519091201,0.4771879988172924,-0.006509014311932387,0.3879639528079577,0.3880123936926028,0.00711477901327662,0.34996521482287435,0.35003197504014544,0.03249695726686196,0.1414873357981393,0.14516915274825867,0.012177907563567859,1.9176404606626543,1.9176486895920255,-6.509014311932384,387.9639528079577,388.01239369260287,7.114779013276622,349.9652148228743,350.0319750401454
WMLE,7,31500,27192,0.13676190476190475,0.9793282185188208,1.634146104643533,1.6501254587345033,-0.3194058345871739,0.41243615081714763,0.5216487419914521,-0.33372462700675876,0.3530064698014607,0.48577887115791907,0.30721903007934814,0.2923653679676061,0.4240965660668815,0.11635321477112695,0.2724786897162724,0.2962768579416885,-1.3951585490329386,1.5074814944522752,2.0539922737597522,-333.7246270067588,353.00646980146064,485.77887115791907,307.21903007934804,292.3653679676061,424.09656606688145
WMLE,10,31500,28438,0.09720634920634919,0.8588432352247275,1.634146104643533,1.6473857565015402,-0.2584757516636811,0.3797205161819968,0.45933899721350835,-0.27516259037203145,0.3242860444734704,0.4252907145246166,0.25195804238238306,0.2723133359903636,0.3709916447746224,0.09046929516932829,0.21726660322920707,0.2353461500177562,-1.1351316395435247,1.414225955241617,1.8134190254614226,-275.16259037203145,324.28604447347044,425.29071452461653,251.9580423823831,272.3133359903636,370.9916447746224
WMLE,15,31500,29032,0.07834920634920639,0.753075078684934,1.634146104643533,1.6416051765747057,-0.19999077956986824,0.3404344269094338,0.3948264415450311,-0.2142142268939445,0.2919912014295492,0.36213762576652003,0.19669664612058171,0.25020256788881773,0.3182589186279254,0.06444412121256932,0.16370935116968152,0.1759342868063274,-0.8887285777813475,1.2850117839655895,1.5623818012314354,-214.21422689394453,291.9912014295492,362.13762576652005,196.6966461205817,250.2025678888177,318.2589186279254
WMLE,20,31500,29223,0.07228571428571429,0.6861405904841841,1.634146104643533,1.6358432093902844,-0.16602206049351548,0.3040296627106081,0.3464017859664074,-0.17717313643544677,0.26433694047875544,0.31821682437229537,0.1636881071748085,0.2266023993971344,0.27953655702202784,0.05077393538494214,0.13606878134107755,0.1452310992991511,-0.7402076929743183,1.173988935105494,1.387843753919887,-177.17313643544676,264.3369404787554,318.2168243722953,163.6881071748085,226.60239939713438,279.5365570220278
