method,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
LSE,126000,126000,0.0,0.8773189573716709,1.6594641725425479,2.141262176568613,-0.008444705946390397,0.6133618430131706,0.6134175394521699,-0.033193367915259495,0.46951849112673155,0.47068849954003145,0.03410695976567505,0.41315600164774413,0.4145597805587456,0.05911840487393072,0.22136233728711321,0.22911979675481856,-0.09094781829835039,2.3095793937239226,2.3113602373901427,-33.1933679152595,469.5184911267315,470.6884995400315,34.10695976567505,413.1560016477441,414.55978055874556
WMLE,126000,113885,0.0961507936507936,0.8268322753625472,1.634146104643533,1.64506568674948,-0.23439093705211936,0.3650361794778754,0.4338079686308451,-0.2484639048496788,0.31494745510731237,0.4011550080813129,0.22841495597602843,0.26648038958160136,0.3509765898255535,0.07982922134503506,0.20425545598250325,0.2193003181533417,-1.0330656566938492,1.3703303113587093,1.7161041124187073,-248.46390484967884,314.9474551073124,401.15500808131293,228.4149559760285,266.48038958160134,350.9765898255535
