method,beta,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
LSE,0.75,6000,6000,0.0,0.7024296930254191,1.3175016284080503,2.0638101477780753,0.05100897716616083,0.4796980400788284,0.4823626993304912,0.07065376625483,0.4912736039399134,0.4962877025024044,0.0053994542046259504,0.12002276070845244,0.12013415951872977,0.09811188916831846,0.34575415705792495,0.3593771773445815,0.03825673287462063,0.35977353005912127,0.3617720244978684,70.65376625483,491.2736039399134,496.28770250240433,5.39945420462595,120.02276070845245,120.13415951872977
LSE,1.0,6000,6000,0.0,0.6693978565541253,1.2283603098942129,1.9960068642191926,0.05630065957278,0.5122078392512306,0.5152503359665533,0.017455638346874178,0.3939741375916562,0.3943278472679862,0.007414868786788386,0.16451644653046507,0.16466976199231848,0.10977373315830857,0.33623062485688704,0.35366999271116517,0.05630065957278,0.5122078392512306,0.5152503359665533,17.455638346874178,393.9741375916562,394.3278472679862,7.414868786788386,164.51644653046503,164.6697619923185
LSE,1.25,6000,6000,0.0,0.694661718171,1.246323811848638,2.0864677031873535,0.0459737865011429,0.5537643548847091,0.5556234701900264,0.0008615444933113885,0.3604683868311928,0.36043937620716787,0.01265592289742477,0.2092081270760926,0.20957318088359086,0.11395424014726867,0.3481388891596628,0.3662868478098931,0.057467233126428624,0.6922054436058864,0.6945293377375331,0.8615444933113867,360.4683868311928,360.43937620716787,12.655922897424771,209.20812707609258,209.57318088359085
LSE,1.5,6000,6000,0.0,0.724381779755197,1.39121933371825,2.1715632861389245,0.046833170093524806,0.5702931468166436,0.5721655472106137,-0.0065460132412008135,0.36270839142268746,0.3627372344662907,0.013359680368261323,0.25614390886576316,0.2564707549765333,0.10755595440507396,0.3155264046670853,0.33332957047260287,0.07024975514028722,0.8554397202249653,0.8582483208159206,-6.5460132412008125,362.7083914226875,362.73723446629066,13.35968036826132,256.14390886576314,256.47075497653327
LSE,1.75,6000,6000,0.0,0.7413357484771935,1.4504084359961011,2.0947126706043813,0.03817507297550587,0.5724256112392295,0.5736495487251402,-0.01272236411373226,0.3722200815086763,0.3724064396983332,0.010503096864274563,0.28586996365103023,0.2860390373513646,0.0870117762576026,0.2775548732595123,0.290852054189632,0.06680637770713527,1.0017448196686516,1.0038867102689952,-12.722364113732263,372.22008150867634,372.4064396983332,10.503096864274564,285.86996365103016,286.0390373513646
LSE,2.0,6000,6000,0.0,0.7882309605868824,1.610512629086394,2.2019883506753333,0.03412882895441346,0.5998979645319531,0.6008180799715821,-0.016781570162971667,0.39154112149934145,0.3918679882057978,0.015229732574661824,0.3264214692206289,0.32674938688010063,0.08649710811466882,0.2677065837872216,0.28131231797782735,0.06825765790882692,1.1997959290639062,1.2016361599431642,-16.781570162971672,391.54112149934144,391.8679882057978,15.229732574661835,326.4214692206289,326.74938688010064
LSE,2.25,6000,6000,0.0,0.7936805505496966,1.5889529515220286,2.10665718095617,0.023714262371156845,0.587942276202977,0.5883713739636341,-0.01875870062304318,0.4054062007421466,0.40580621494088354,0.011510479578760863,0.3449008458892947,0.34506413684468606,0.06715687339950448,0.23588521663302037,0.24523989771561713,0.05335709033510289,1.3228701214566982,1.323835591418177,-18.758700623043183,405.40620074214667,405.80621494088354,11.51047957876086,344.9008458892947,345.06413684468606
LSE,2.5,6000,6000,0.0,0.8341163877925045,1.693040586760967,2.1780355594440954,0.020955632102498907,0.6088859193040825,0.6091957082086225,-0.02411475045839203,0.42686045524532445,0.42750555684560887,0.014121019580677498,0.3764225668241404,0.37665599205420397,0.06317860499565513,0.219148388410681,0.22805601929388292,0.05238908025624723,1.5222147982602061,1.5229892705215562,-24.114750458392038,426.8604552453245,427.50555684560885,14.12101958067752,376.42256682414035,376.655992054204
LSE,2.75,6000,6000,0.0,0.861664425663641,1.7140544366681554,2.190294442487769,0.009101423003249324,0.623014178680988,0.6230287406108088,-0.030816857415073274,0.4405551917761658,0.44159507193322295,0.023932293258664045,0.3984322610623759,0.3991172299856941,0.0620994951284877,0.207708439758965,0.2167762735548461,0.02502891325893569,1.713288991372717,1.7133290366797242,-30.81685741507327,440.55519177616577,441.5950719332229,23.932293258664053,398.4322610623759,399.11722998569405
LSE,3.0,6000,6000,0.0,0.8654847829691082,1.7079333149633122,2.114701192550496,-0.010367742171838282,0.604014621778503,0.6040532656888927,-0.03488611506231327,0.4570303993137686,0.458321954660034,0.02919641855182325,0.41629436734367176,0.4172823356413187,0.055535960985545973,0.19226596913085905,0.20011068141056895,-0.031103226515514847,1.8120438653355089,1.812159797066678,-34.88611506231328,457.03039931376867,458.32195466003407,29.196418551823236,416.2943673436718,417.28233564131875
LSE,3.25,6000,6000,0.0,0.9081512149676348,1.7238606906555636,2.2309529314441505,-0.0017911013241172877,0.6421916043617018,0.6421405840991189,-0.03245393014820133,0.47145891724752825,0.47253541946521566,0.023350886202630095,0.4342701287469263,0.4348613305996136,0.046305754027061614,0.1810133408449416,0.1868277052480915,-0.005821079303381187,2.08712271417553,2.086956898322136,-32.45393014820133,471.45891724752823,472.5354194652156,23.3508862026301,434.2701287469263,434.86133059961367
LSE,3.5,6000,6000,0.0,0.8885140374041091,1.65321997717645,2.0346326310934275,-0.04036792350962925,0.6036317487948849,0.6049298544902746,-0.05794047518501538,0.47199912176228936,0.47550303792988236,0.05208234012733631,0.44128654207012463,0.4443128703177286,0.04942959512016962,0.1702318194160075,0.17724933682068078,-0.1412877322837024,2.112711120782097,2.117254490715961,-57.94047518501537,471.9991217622894,475.5030379298824,52.082340127336316,441.28654207012454,444.3128703177286
LSE,3.75,6000,6000,0.0,0.9149814910081833,1.7010811607430851,2.0814353509683223,-0.03501122457881159,0.6199880983602086,0.6209242818152609,-0.05057541988202044,0.4863708470802148,0.48895301194043184,0.04404705974430349,0.4589815731189718,0.4610521849575605,0.042456140858810734,0.1601706988710005,0.1656891695253045,-0.1312920921705434,2.324955368850782,2.3284660568072284,-50.57541988202044,486.3708470802148,488.9530119404319,44.04705974430348,458.9815731189718,461.0521849575604
LSE,4.0,6000,6000,0.0,0.9374625154324271,1.7150639351929342,2.1191247355198546,-0.029119065039190227,0.6370989693891174,0.6377110376672437,-0.046676174929395284,0.4963732607763731,0.49852182993071953,0.04089812756278669,0.47116974507859194,0.4729023000163858,0.03744761234582808,0.153972170461531,0.15844810415030344,-0.11647626015676091,2.5483958775564695,2.5508441506689747,-46.67617492939529,496.3732607763731,498.5218299307195,40.898127562786705,471.1697450785919,472.90230001638577
LSE,4.25,6000,6000,0.0,0.964630283560739,1.7440597666014277,2.145931474021123,-0.03695457260314169,0.6485066848567409,0.6495047861666947,-0.049291463785888896,0.5148698999124592,0.5171812838863972,0.04347106042286165,0.4892124194501284,0.4910994159094935,0.03718084597034431,0.1455359742524504,0.15019855188620643,-0.15705693356335215,2.756153410641149,2.7603953412084525,-49.2914637858889,514.8698999124592,517.1812838863972,43.47106042286164,489.2124194501283,491.09941590949353
LSE,4.5,6000,6000,0.0,0.9768453785911927,1.7450344277845322,2.1655642513093576,-0.03814043765705411,0.6563728516227444,0.6574254399640973,-0.049693121909610075,0.5200485806678157,0.5223742504488749,0.04490704975832498,0.49716031483087725,0.4991430927409091,0.033272724365295554,0.13784477033908474,0.14179241176125154,-0.17163196945674353,2.95367783230235,2.958414479838438,-49.69312190961009,520.0485806678157,522.3742504488749,44.90704975832498,497.1603148308772,499.14309274090914
LSE,4.75,6000,6000,0.0,0.9795123924802521,1.745821955281553,2.1528089209175256,-0.06026900145736629,0.6547440211026085,0.6574577077024951,-0.07282783227984813,0.5198455528329539,0.5248792737906318,0.06576281930175938,0.4974053925135459,0.5016927720726968,0.032478241294181864,0.13179508733169026,0.13572724933295513,-0.2862777569224899,3.1100341002373906,3.122924111586852,-72.82783227984812,519.8455528329538,524.8792737906318,65.7628193017594,497.40539251354585,501.69277207269676
LSE,5.0,6000,6000,0.0,0.9860187600257494,1.693725329398469,2.0924856332517305,-0.05397034812878055,0.644753048555243,0.6469544092768962,-0.06349528237827005,0.5317944589564347,0.5355276493670835,0.05741937227661721,0.5134589369209005,0.5166169995298884,0.030924619423274905,0.12803840373810665,0.13170965269411666,-0.2698517406439028,3.223765242776215,3.234772046384481,-63.49528237827004,531.7944589564347,535.5276493670835,57.41937227661722,513.4589369209006,516.6169995298884
LSE,5.25,6000,6000,0.0,0.9974504123801209,1.7059630439103877,2.06983216686278,-0.06116578593098889,0.6496388289107229,0.6524580622249828,-0.06834303926527287,0.5392090110443124,0.5434783076454246,0.06311367381592059,0.5195178328228846,0.5232944976910792,0.02959906581991902,0.12146758287313736,0.12501207671330353,-0.32112037613769157,3.4106038517812944,3.42540482668116,-68.34303926527286,539.2090110443124,543.4783076454246,63.11367381592058,519.5178328228845,523.2944976910792
LSE,5.5,6000,6000,0.0,1.0081187146463546,1.7115548896636146,2.101268271248495,-0.07219494074884318,0.6540166102719808,0.6579350624190018,-0.07491318717718465,0.5438112288321859,0.5489019491447588,0.06914954805762383,0.5266839843381669,0.5311604716891186,0.026859755476926313,0.11556122639568944,0.11863227966078647,-0.3970721741186375,3.597091356495894,3.6186428433045097,-74.91318717718468,543.811228832186,548.9019491447588,69.1495480576238,526.6839843381669,531.1604716891186
LSE,5.75,6000,6000,0.0,1.0337939825677973,1.7407819324702938,2.1776309033049364,-0.06417849446486998,0.68502586201538,0.6879688224838051,-0.07519537729803144,0.5500553206994258,0.5551259080491888,0.06872125114304933,0.5315906429194095,0.5359702640037014,0.024656511890298424,0.1111860853208944,0.11387813116069946,-0.36902634317300226,3.938898706588435,3.9558207292818794,-75.1953772980314,550.0553206994258,555.1259080491889,68.72125114304933,531.5906429194096,535.9702640037013
WMLE,0.75,6000,2992,0.5013333333333334,1.2576788278207218,1.634146104643533,1.6494910322476883,0.23409040072942452,0.4197146749823888,0.48052039183305356,0.15512709323925228,0.4721492721319766,0.4969052658551373,-0.009583347303872745,0.09671280870933714,0.09717037505607413,0.10286942042862976,0.3700084986653025,0.383982615875137,0.17556780054706836,0.31478600623679154,0.3603902938747902,155.12709323925228,472.14927213197666,496.90526585513726,-9.583347303872747,96.71280870933714,97.17037505607412
WMLE,1.0,6000,4325,0.2791666666666667,0.9678851732739011,1.634146104643533,1.6467770590801867,0.11620440092031542,0.3512153042936284,0.3699015166578127,0.01446979460000653,0.3381267474224297,0.33839715966027295,0.008065843637769281,0.11829449724310065,0.11855551610908938,0.09920241749884558,0.322285793451547,0.3371724136774717,0.11620440092031542,0.3512153042936284,0.3699015166578127,14.469794600006527,338.1267474224297,338.39715966027296,8.065843637769282,118.29449724310062,118.55551610908938
WMLE,1.25,6000,5045,0.15916666666666668,0.7872466593005126,1.634146104643533,1.6585213533365126,0.026543813756458794,0.35167336549664735,0.3526389312669639,-0.040190249098048345,0.28637551828354574,0.28915383053004673,0.035406899881171745,0.14952742077511233,0.15364786467495473,0.11366370760139423,0.34063889294273453,0.35907004029800643,0.03317976719557349,0.4395917068708092,0.4407986640837048,-40.19024909804834,286.3755182835457,289.1538305300467,35.406899881171746,149.5274207751123,153.6478646749547
WMLE,1.5,6000,5308,0.11533333333333329,0.7191055888081056,1.634146104643533,1.6589101774330417,-0.029976495026276143,0.34937826730589944,0.35062910242379736,-0.08638354757081741,0.2680447170798691,0.2815964343806672,0.064137581018578,0.17332268443630694,0.1847937301837035,0.11698024789858169,0.30884772063204063,0.33023222515695894,-0.04496474253941422,0.5240674009588491,0.5259436536356961,-86.38354757081741,268.0447170798691,281.5964343806673,64.13758101857799,173.32268443630693,184.7937301837035
WMLE,1.75,6000,5392,0.10133333333333339,0.7098619413143421,1.634146104643533,1.6564235078331282,-0.0682151423951564,0.3579040716224517,0.36431425114129673,-0.11463343421769119,0.263796952958814,0.2876051993448158,0.08336783476511132,0.1929299407744091,0.21015531099110402,0.10231846124330307,0.2639109920092661,0.28302855352938366,-0.11937649919152372,0.6263321253392906,0.6375499394972693,-114.63343421769117,263.796952958814,287.60519934481584,83.36783476511131,192.9299407744091,210.15531099110402
WMLE,2.0,6000,5443,0.09283333333333332,0.720018792240644,1.634146104643533,1.648441704767758,-0.10992651151575768,0.36416416320544637,0.3803616848174925,-0.1452949845649571,0.26878199183154,0.3055177881718656,0.11476958812746993,0.2168539894728889,0.24533461119930092,0.10762315093286896,0.2547379135031677,0.27651803774849293,-0.21985302303151535,0.7283283264108927,0.760723369634985,-145.29498456495708,268.78199183154004,305.5177881718656,114.76958812746996,216.85398947288888,245.3346111993009
WMLE,2.25,6000,5449,0.09183333333333332,0.7303976536368811,1.634146104643533,1.635956840593769,-0.1467180173043766,0.35327566871756144,0.38250094215032293,-0.17269367500238048,0.2693355194792809,0.31992407631641745,0.13543682542413618,0.22450151326813864,0.26217325105074607,0.09345441864533265,0.22900614348946682,0.24732148640216164,-0.3301155389348474,0.7948702546145132,0.8606271198382266,-172.6936750023805,269.33551947928095,319.9240763164175,135.43682542413617,224.50151326813864,262.17325105074605
WMLE,2.5,6000,5565,0.07250000000000001,0.7265559785512244,1.634146104643533,1.634146104643533,-0.17491909002476444,0.3588149822428585,0.3991512798334151,-0.19973714513020566,0.2782929271945236,0.34253169733356165,0.16207810071399015,0.23978731611032664,0.2894079052664406,0.09332426545730296,0.21116501771847496,0.23085075380671438,-0.43729772506191106,0.8970374556071463,0.9978781995835377,-199.73714513020568,278.2929271945236,342.5316973335616,162.0781007139901,239.78731611032663,289.4079052664406
WMLE,2.75,6000,5574,0.07099999999999995,0.7455952462532589,1.634146104643533,1.634272792995857,-0.20465990845546658,0.35304981852546674,0.40805329404301943,-0.22159203143103776,0.2822267535607802,0.3588045135061783,0.18878485497170405,0.25185472230445083,0.31473662457735574,0.0924199676309743,0.19791515397208423,0.21841435677631396,-0.5628147482525331,0.9708870009450337,1.1221465586183035,-221.59203143103778,282.2267535607802,358.8045135061784,188.7848549717041,251.85472230445086,314.73662457735577
WMLE,3.0,6000,5548,0.07533333333333336,0.7697364048549414,1.634146104643533,1.634146104643533,-0.2267441741421621,0.34886451439152766,0.41604979619492877,-0.2361088183892666,0.2890376709521426,0.37319578128905806,0.20630392212974488,0.2613067650657812,0.3329117396498163,0.08467900747473611,0.18278317053538862,0.20143038451114606,-0.6802325224264864,1.046593543174583,1.2481493885847863,-236.10881838926656,289.0376709521426,373.19578128905806,206.30392212974485,261.3067650657812,332.9117396498163
