method,beta_group,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
Adaptive-MDM,far_ood,24000,23990,0.0004166666666666,0.6840452887625424,1.2595487750684955,1.522124882676792,-0.1446171212616377,0.4148988850262017,0.4393723034318191,-0.1441625802935272,0.4062872935145333,0.4310978237837291,0.1646036298339112,0.2470115248764771,0.2968273994052516,0.0499107243771669,0.2499248569509893,0.2548546857398054,-1.0918773139233653,1.4564354887111643,1.8202505270105405,-144.16258029352724,406.28729351453336,431.0978237837291,164.60362983391124,247.01152487647715,296.82739940525164
Adaptive-MDM,in_domain_unseen,42000,41986,0.0003333333333332,0.5647566369374007,1.079626470231197,1.2186911866516674,-0.204814405604181,0.2943759177055232,0.3586140790791206,-0.1830750192300834,0.2682326481057221,0.3247514473241521,0.1687673152818784,0.2358332620609039,0.2899972578113493,0.0501405493425591,0.1933214372593398,0.1997157045855561,-0.7717956238729652,1.0140948652106214,1.2743752928684244,-183.0750192300834,268.2326481057221,324.7514473241522,168.76731528187844,235.8332620609039,289.9972578113493
Adaptive-MDM,near_ood,12000,11998,0.0001666666666666,0.6188202108074704,1.1767166243124072,1.3332951675335645,-0.1619615414742793,0.3702920008690883,0.4041488322047832,-0.1633115391430992,0.3236276992850717,0.3624869890073727,0.1623691302647266,0.2479222323973897,0.2963512186689252,0.0593799475077638,0.2616932513519216,0.2683349177266442,-0.965201580780808,1.3360769143762337,1.6482010888886052,-163.31153914309925,323.6276992850718,362.4869890073728,162.36913026472666,247.9222323973897,296.35121866892524
Adaptive-MDM,seen_grid,48000,47990,0.0002083333333333,0.569588774177714,1.0836917045635577,1.2355278970947317,-0.2003329727516393,0.3028417537168335,0.3631040025633021,-0.18131439112938,0.2727183288923395,0.3274883899261581,0.1694785316584545,0.2369125451387689,0.2912891298513085,0.0536691432523168,0.2044955376595813,0.2114188507711449,-0.7906891206608625,1.0481719528160809,1.312947384547327,-181.31439112938003,272.7183288923395,327.4883899261581,169.47853165845456,236.91254513876896,291.2891298513086
Direct-P,far_ood,24000,23932,0.0028333333333333,0.758694269407975,1.4436170567218098,1.7580671726868922,0.1517340576979667,0.5587507723650164,0.578975478312886,0.1103995461217049,0.4284477177100018,0.4424339908036427,-0.0126716210830973,0.1963298664392848,0.1967342771722603,-0.0417621931672337,0.2920697710186046,0.2950343496222973,-0.6219626237809354,1.2352992066157618,1.383017668993002,110.39954612170492,428.44771771000194,442.4339908036428,-12.671621083097378,196.3298664392849,196.73427717226036
Direct-P,in_domain_unseen,42000,42000,0.0,0.353218591371404,0.5972285525427744,0.6959300051466941,-0.0710306326015406,0.2324374149121039,0.2430457081662588,-0.0421992676590245,0.1882288778864567,0.1928990541378931,0.0285682306182474,0.1663328797130043,0.1687664419991926,-0.001997077966068,0.1667752630758731,0.1667852345281525,-0.3563280391385755,0.7439642034563445,0.824887404037905,-42.19926765902456,188.2288778864568,192.8990541378932,28.568230618247448,166.33287971300436,168.7664419991927
Direct-P,near_ood,12000,12000,0.0,0.4872551145450922,0.8084553925375386,1.0427416927861215,0.0366171101360911,0.3761246548223871,0.3778872577550717,0.0012774581928081,0.2499881184244116,0.2499809661044867,0.0089524676272364,0.1790273942339852,0.1792436432964089,0.0079356322254576,0.2620820694272946,0.262191268841123,-0.520363177045237,1.065905161606301,1.186101585058846,1.2774581928081654,249.98811842441165,249.98096610448684,8.952467627236397,179.02739423398526,179.243643296409
Direct-P,seen_grid,48000,47999,2.0833333333358794e-05,0.3658085632203575,0.6137711757145129,0.7378559390058135,-0.0601582945490349,0.2496496293055886,0.2567930282391227,-0.038429885132726,0.1939828344686114,0.1977508841418261,0.0277310764317182,0.1671722337157891,0.169454967745261,0.0019521520873468,0.1798683329905572,0.1798770526878658,-0.3706294468507464,0.7827011679545143,0.8660107054675398,-38.42988513272603,193.9828344686115,197.75088414182616,27.73107643171824,167.1722337157892,169.45496774526103
MDM-0.1,far_ood,24000,23982,0.00075,0.7584749584205922,1.3044776384830137,1.605873758420009,-0.1870329909708146,0.4531623915166334,0.4902335462491202,-0.1772187501972448,0.4320603182068526,0.4669848177198761,0.1967548365447926,0.2767647009264651,0.3395702745746323,0.0512613574326251,0.2489735579950423,0.2541908231656187,-1.3490293987875688,1.6361846866522367,2.1205822356275683,-177.2187501972449,432.0603182068526,466.98481771987616,196.75483654479265,276.76470092646514,339.57027457463226
MDM-0.1,in_domain_unseen,42000,41975,0.000595238095238,0.620244543058819,1.1156182309102078,1.236805967454447,-0.239118034802142,0.3062510992869219,0.3885420645993522,-0.2016807584250103,0.296581795117404,0.3586555366403248,0.1868576939834436,0.262352894409801,0.322091911173295,0.0489448410721366,0.1968552639981363,0.2028464178024165,-0.9187162496286412,1.0713015586814667,1.4112757472614286,-201.68075842501037,296.5817951174041,358.6555366403248,186.8576939834436,262.35289440980097,322.09191117329505
