method,beta_group,n_total,n_valid,failure_rate,J1_primary,J1_valid,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,beta_mae,eta_bias,eta_sd,eta_rmse,eta_mae,gamma_bias,gamma_sd,gamma_rmse,gamma_mae,x0.90_bias,x0.90_sd,x0.90_rmse,x0.90_mae,x0.95_bias,x0.95_sd,x0.95_rmse,x0.95_mae,x0.99_bias,x0.99_sd,x0.99_rmse,x0.99_mae
MDM-0.1,near_ood,12000,11986,0.0011666666666666,0.6972066789420778,0.6953745639364186,1.2347104043472434,1.41077091748661,-0.1996752857668273,0.4098693046872629,0.4559046511226435,0.3822778192534697,-0.1915403503822041,0.3542954808404513,0.4027437409938942,0.3336235300897201,0.1898986913451778,0.2782789251292409,0.3368890208136028,0.2578255567741032,0.038559533190608,0.2065421034170128,0.2101021631527193,0.1200272934297607,0.0592797400479893,0.2602132119164467,0.2668695450384537,0.1453103969283556,0.1038663507361399,0.3982280191032269,0.4115343765897823,0.2300128202432578
MDM-0.1,seen_grid,48000,47976,0.0004999999999999,0.6285296615275883,0.6276235131920087,1.1265554939863145,1.2635728045799437,-0.2349991461119491,0.3190897444174698,0.3962836627855858,0.3349701721164633,-0.2009667338860283,0.3017284458418675,0.3625269445742551,0.2988889685591076,0.1885956530952369,0.2643442519319355,0.3247225698629133,0.2611430949793296,0.02299343235068,0.1587838677247265,0.1604384276335698,0.1095985207011012,0.0524971072942168,0.2070417788654928,0.2135915517416869,0.1425278116359816,0.1343946866080145,0.3509679978175645,0.3758163112177216,0.2460009580305244
LSE,far_ood,24000,24000,0.0,0.8698468694570106,0.8698468694570106,1.596790991681588,2.1261525290937073,-0.007265949618693076,0.5924912786375406,0.5925234867684768,0.4254542792144292,-0.01549978996837797,0.5025771537016612,0.5028056429547283,0.40405078406527645,0.03767128054802187,0.3890027751806817,0.39081450759250314,0.269831161329767,0.053698784313349124,0.2274275453197774,0.23367647008181108,0.11333645166604579,0.06485047242346294,0.2571307790567772,0.2651774245079334,0.12334779918289095,0.08050286482449973,0.3376265156346197,0.34708446472271937,0.18183988061075382
LSE,in_domain_unseen,42000,42000,0.0,0.884296246406871,0.884296246406871,1.6923561003767378,2.150594338221582,-0.009005020230503532,0.6227720399673298,0.6228297277340987,0.4700344523717678,-0.03820665260682964,0.46191036128457685,0.46348230833261334,0.38046015999216365,0.03179681362475058,0.42218519394159987,0.42337587498890666,0.3410143359456257,0.02825775390445098,0.15021617417827346,0.15284914910127,0.10718081242942754,0.05352701813371333,0.1982130951276268,0.2053110744980048,0.14132904768426446,0.11619855794510243,0.35563416527253633,0.3741319995033686,0.2526128188003002
LSE,near_ood,12000,12000,0.0,0.8594946852219504,0.8594946852219504,1.5989986581231046,2.122958569800228,-0.007595999714922979,0.6059557583803326,0.6059781198972397,0.44231979645592945,-0.03374074738598074,0.4599149879956703,0.4611318763660495,0.371967990788249,0.03788479835667267,0.39680837716779116,0.39859631800822315,0.2938322533371518,0.04807317470938492,0.20864423762660197,0.21410235944504152,0.1215763980432569,0.07177665298359387,0.26410407374359146,0.27367323051650544,0.14675758833121477,0.11189693038679968,0.41192563902451595,0.4268366372373279,0.23441605043023137
LSE,seen_grid,48000,48000,0.0,0.8793182102705239,0.8793182102705239,1.6765878815285915,2.1412826426523908,-0.0087559856695069,0.6171688783428276,0.6172245590682376,0.4656575845960009,-0.03751668791589607,0.4611163267739088,0.4626352115155982,0.37945215885492584,0.033401717600061116,0.4208218558014884,0.42214099500320335,0.33795600077230575,0.03233664889560698,0.15884763874705826,0.16210399599862851,0.10983886552311242,0.057980272469439,0.20898214285674774,0.2168740144952698,0.1437185426937263,0.11950398179231429,0.3680365239797636,0.38694865648291044,0.2542167204275094
WMLE,far_ood,24000,19031,0.20704166666666668,1.0064765060945287,0.7617330518315307,1.634146104643533,1.6477139450594576,-0.20938818872323092,0.4272679931816175,0.47580643008780393,0.3746558162977144,-0.23265699312101823,0.39971606195240944,0.4624865524823738,0.3834842028675583,0.24726822347748684,0.2807387382101463,0.3741011522471504,0.2805243254945356,0.05369136109957088,0.20529033730724192,0.2121901749607168,0.10576736490694022,0.06936058915061528,0.2283354450318079,0.2386319911462904,0.11795402332499433,0.11482739491443876,0.29015320124109273,0.31204132264387036,0.1797560143518819
WMLE,in_domain_unseen,42000,39185,0.06702380952380949,0.772055613170536,0.6686181685535642,1.634146104643533,1.6395680819335476,-0.2455102784871806,0.34488732659943705,0.42334327603154603,0.3612209270226747,-0.255614777088666,0.2884949753208338,0.3854427856906569,0.3248605315530344,0.2255962277702945,0.2614816854047925,0.34534704996253685,0.28361053805380043,0.037606097666398754,0.14443467251416076,0.14924831933501306,0.104227175366785,0.0805379216410363,0.1861886297162995,0.20285876361986355,0.13826244951251537,0.19719392601647762,0.32071693827724757,0.37648661860436294,0.2501862720046367
WMLE,near_ood,12000,10883,0.0930833333333333,0.821922005507468,0.6861539474006325,1.634146104643533,1.6551083817918062,-0.21155582353775645,0.37850441501504695,0.43359923258124705,0.3360199400292979,-0.23319422973931206,0.3267600327198078,0.40142478356237243,0.32976772242646135,0.2194823813005615,0.27109283526932715,0.3487937616705982,0.26105689781463703,0.049064105614091996,0.1963541475591439,0.20238254629938093,0.1139057668776415,0.08205800044854014,0.24719658165975159,0.26044970838149367,0.13875152640508284,0.15652623389795164,0.36945444118415466,0.4012287425214861,0.21822253620127272
WMLE,seen_grid,48000,44786,0.06695833333333334,0.7730704494782952,0.669990193958887,1.634146104643533,1.6422013993447835,-0.2408355949740372,0.34906863623001577,0.42408486876327206,0.3586481149283163,-0.25263472346821025,0.29215728163144733,0.38623603515394334,0.32493567595738476,0.22504043137268223,0.2630949620047831,0.34620890981554364,0.28212316484280486,0.040545563271280956,0.15234418309666772,0.157645724997465,0.10648113440224297,0.08311601443237815,0.1967211500491636,0.21355706178932324,0.14031908935037013,0.1966729941972396,0.3336446829851888,0.3872938878422695,0.2508743288886556
