parameter,default_normalized_rmse,adaptive_normalized_rmse,mse_contribution_reduction_pct,default_median_absolute_error,adaptive_median_absolute_error,default_p95_absolute_error,adaptive_p95_absolute_error
beta,0.4032024329105739,0.37488049848908905,13.555093367348547,0.3140133320627952,0.28253218475686526,0.6983096392347196,0.6825423229466914
eta,0.3614166460901773,0.33542134479857916,13.867889501125418,0.2659019023709814,0.24086897509435073,0.6739028722253995,0.6503621284198849
gamma,0.3228336497072265,0.29775756814426396,14.931646765111427,0.2225042137814729,0.20438158380730773,0.6254996326520367,0.5934878708722094
