n,seed,p_rrmse,q_rrmse,mean_diff
7,42,0.24568846821784973,0.26507240533828735,0.009900549779724007
7,2026,0.24936218559741974,0.26896581053733826,0.010161109267990229
7,3407,0.25452500581741333,0.2675219476222992,0.006785015949923002
10,42,0.209442600607872,0.2334470897912979,0.010631341645920361
10,2026,0.2177293598651886,0.22794154286384583,0.004551275101616947
10,3407,0.21493925154209137,0.23184308409690857,0.007552336845796667
15,42,0.17026031017303467,0.19942782819271088,0.01078288109046635
15,2026,0.17599472403526306,0.1902051419019699,0.005203851412256181
15,3407,0.1846725195646286,0.19698596000671387,0.004699523222495214
20,42,0.14472168684005737,0.16753818094730377,0.007124671434090406
20,2026,0.15370315313339233,0.16581471264362335,0.0038698619164536778
20,3407,0.1421954333782196,0.16600480675697327,0.007338052135924878
