layer,n,J1,n_selected_samples
Default,7,0.7392855016503718,15000
Default,10,0.6445203563841531,15000
Default,20,0.49086572826977504,15000
L1,7,0.7397329656280063,15000
L1,10,0.6451038118222847,15000
L1,20,0.488234706243098,15000
L2,7,0.7397763478746057,15000
L2,10,0.6445203563841531,15000
L2,20,0.488234706243098,15000
L3,7,0.6900093283848866,15000
L3,10,0.5921882107655605,15000
L3,20,0.44733903132341996,15000
L4,7,0.6859352395982693,15000
L4,10,0.5932004234552029,15000
L4,20,0.4425184237718238,15000
L5,7,0.6779112961971653,15000
L5,10,0.5802891885434424,15000
L5,20,0.4301055250670992,15000
