fold,layer,delta_star,mean_train_loss,group_id,n_train_repeats,n,beta,gamma_over_eta
0,L5,0.04,0.5474566149844611,beta=5.0|gamma_over_eta=0.5|n=10,800,10.0,5.0,0.5
0,L5,0.04,0.33070509632483847,beta=5.0|gamma_over_eta=0.5|n=20,800,20.0,5.0,0.5
0,L5,0.04,0.6973079475803597,beta=5.0|gamma_over_eta=1.0|n=7,800,7.0,5.0,1.0
0,L5,0.04,0.5714276850385483,beta=5.0|gamma_over_eta=1.0|n=10,800,10.0,5.0,1.0
0,L5,0.04,0.34595539957730564,beta=5.0|gamma_over_eta=1.0|n=20,800,20.0,5.0,1.0
1,L1,0.08,0.39971161662894134,all,800,,,
1,L2,0.1,0.5461609355772485,n=7,800,7.0,,
1,L2,0.1,0.4134040471233452,n=10,800,10.0,,
1,L2,0.08,0.2374288888195776,n=20,800,20.0,,
1,L3,0.36,0.22021362394996086,beta=1.5,800,,1.5,
1,L3,0.2,0.24867268350421168,beta=2.0,800,,2.0,
1,L3,0.12,0.2893904892663898,beta=2.5,800,,2.5,
1,L3,0.04,0.4354247822651326,beta=4.0,800,,4.0,
1,L3,0.04,0.5126151692708483,beta=5.0,800,,5.0,
1,L4,0.3,0.34735990718248855,beta=1.5|n=7,800,7.0,1.5,
1,L4,0.4,0.2054468470879219,beta=1.5|n=10,800,10.0,1.5,
1,L4,0.5,0.09454758984280907,beta=1.5|n=20,800,20.0,1.5,
1,L4,0.16,0.36440242739739054,beta=2.0|n=7,800,7.0,2.0,
1,L4,0.2,0.2500561916140038,beta=2.0|n=10,800,10.0,2.0,
1,L4,0.3,0.12088867828193531,beta=2.0|n=20,800,20.0,2.0,
1,L4,0.12,0.41090268273903763,beta=2.5|n=7,800,7.0,2.5,
1,L4,0.14,0.2953744520060997,beta=2.5|n=10,800,10.0,2.5,
1,L4,0.16,0.15822816572565862,beta=2.5|n=20,800,20.0,2.5,
1,L4,0.04,0.58038635926585,beta=4.0|n=7,800,7.0,4.0,
1,L4,0.04,0.44482642894530966,beta=4.0|n=10,800,10.0,4.0,
1,L4,0.06,0.2727918539783177,beta=4.0|n=20,800,20.0,4.0,
1,L4,0.02,0.6508330736707163,beta=5.0|n=7,800,7.0,5.0,
1,L4,0.04,0.5447975180901486,beta=5.0|n=10,800,10.0,5.0,
1,L4,0.04,0.32757778726091635,beta=5.0|n=20,800,20.0,5.0,
1,L5,0.16,0.28968196078501884,beta=1.5|gamma_over_eta=0.1|n=7,800,7.0,1.5,0.1
1,L5,0.24,0.19355912330106245,beta=1.5|gamma_over_eta=0.1|n=10,800,10.0,1.5,0.1
1,L5,0.5,0.09606511662680843,beta=1.5|gamma_over_eta=0.1|n=20,800,20.0,1.5,0.1
1,L5,0.3,0.34597026637367473,beta=1.5|gamma_over_eta=0.5|n=7,800,7.0,1.5,0.5
1,L5,0.42,0.21121515158465823,beta=1.5|gamma_over_eta=0.5|n=10,800,10.0,1.5,0.5
1,L5,0.5,0.0931838481574308,beta=1.5|gamma_over_eta=0.5|n=20,800,20.0,1.5,0.5
1,L5,0.3,0.38291069665520316,beta=1.5|gamma_over_eta=1.0|n=7,800,7.0,1.5,1.0
1,L5,0.4,0.2032022588494777,beta=1.5|gamma_over_eta=1.0|n=10,800,10.0,1.5,1.0
1,L5,0.5,0.09439380474418799,beta=1.5|gamma_over_eta=1.0|n=20,800,20.0,1.5,1.0
1,L5,0.08,0.2968481005311315,beta=2.0|gamma_over_eta=0.1|n=7,800,7.0,2.0,0.1
1,L5,0.1,0.23150898605511547,beta=2.0|gamma_over_eta=0.1|n=10,800,10.0,2.0,0.1
1,L5,0.08,0.11131329590622777,beta=2.0|gamma_over_eta=0.1|n=20,800,20.0,2.0,0.1
1,L5,0.2,0.37175132065942845,beta=2.0|gamma_over_eta=0.5|n=7,800,7.0,2.0,0.5
1,L5,0.2,0.2554170532373112,beta=2.0|gamma_over_eta=0.5|n=10,800,10.0,2.0,0.5
1,L5,0.32,0.11845953174072607,beta=2.0|gamma_over_eta=0.5|n=20,800,20.0,2.0,0.5
1,L5,0.16,0.4044329385791115,beta=2.0|gamma_over_eta=1.0|n=7,800,7.0,2.0,1.0
1,L5,0.26,0.25255847386183844,beta=2.0|gamma_over_eta=1.0|n=10,800,10.0,2.0,1.0
1,L5,0.32,0.12763709766729664,beta=2.0|gamma_over_eta=1.0|n=20,800,20.0,2.0,1.0
1,L5,0.04,0.3679266125094935,beta=2.5|gamma_over_eta=0.1|n=7,800,7.0,2.5,0.1
1,L5,0.04,0.25488485500800523,beta=2.5|gamma_over_eta=0.1|n=10,800,10.0,2.5,0.1
1,L5,0.04,0.13416845685245057,beta=2.5|gamma_over_eta=0.1|n=20,800,20.0,2.5,0.1
1,L5,0.12,0.41335846488931133,beta=2.5|gamma_over_eta=0.5|n=7,800,7.0,2.5,0.5
1,L5,0.16,0.31265334640993336,beta=2.5|gamma_over_eta=0.5|n=10,800,10.0,2.5,0.5
1,L5,0.16,0.16144831851215913,beta=2.5|gamma_over_eta=0.5|n=20,800,20.0,2.5,0.5
1,L5,0.12,0.422489068635107,beta=2.5|gamma_over_eta=1.0|n=7,800,7.0,2.5,1.0
1,L5,0.16,0.2982010766893399,beta=2.5|gamma_over_eta=1.0|n=10,800,10.0,2.5,1.0
1,L5,0.16,0.16496340520683092,beta=2.5|gamma_over_eta=1.0|n=20,800,20.0,2.5,1.0
1,L5,0.02,0.4973617137915459,beta=4.0|gamma_over_eta=0.1|n=7,800,7.0,4.0,0.1
1,L5,0.0,0.3421948257851684,beta=4.0|gamma_over_eta=0.1|n=10,800,10.0,4.0,0.1
1,L5,0.0,0.2090404958058464,beta=4.0|gamma_over_eta=0.1|n=20,800,20.0,4.0,0.1
1,L5,0.04,0.5875334920560349,beta=4.0|gamma_over_eta=0.5|n=7,800,7.0,4.0,0.5
1,L5,0.06,0.4642349951838414,beta=4.0|gamma_over_eta=0.5|n=10,800,10.0,4.0,0.5
1,L5,0.06,0.26841714592120636,beta=4.0|gamma_over_eta=0.5|n=20,800,20.0,4.0,0.5
1,L5,0.06,0.6061597081894871,beta=4.0|gamma_over_eta=1.0|n=7,800,7.0,4.0,1.0
1,L5,0.06,0.4640960909635983,beta=4.0|gamma_over_eta=1.0|n=10,800,10.0,4.0,1.0
1,L5,0.06,0.2811445120151679,beta=4.0|gamma_over_eta=1.0|n=20,800,20.0,4.0,1.0
1,L5,0.0,0.5652313122752652,beta=5.0|gamma_over_eta=0.1|n=7,800,7.0,5.0,0.1
1,L5,0.0,0.4092383865908247,beta=5.0|gamma_over_eta=0.1|n=10,800,10.0,5.0,0.1
1,L5,0.0,0.23491356517120876,beta=5.0|gamma_over_eta=0.1|n=20,800,20.0,5.0,0.1
1,L5,0.02,0.6385976685508151,beta=5.0|gamma_over_eta=0.5|n=7,800,7.0,5.0,0.5
1,L5,0.04,0.5447326518081778,beta=5.0|gamma_over_eta=0.5|n=10,800,10.0,5.0,0.5
1,L5,0.04,0.3254451576629161,beta=5.0|gamma_over_eta=0.5|n=20,800,20.0,5.0,0.5
1,L5,0.04,0.6722264024123225,beta=5.0|gamma_over_eta=1.0|n=7,800,7.0,5.0,1.0
1,L5,0.04,0.5801585844330609,beta=5.0|gamma_over_eta=1.0|n=10,800,10.0,5.0,1.0
1,L5,0.04,0.3369240163596101,beta=5.0|gamma_over_eta=1.0|n=20,800,20.0,5.0,1.0
2,L1,0.08,0.39904663195956697,all,800,,,
2,L2,0.1,0.5439576849805519,n=7,800,7.0,,
2,L2,0.1,0.4123531793089889,n=10,800,10.0,,
2,L2,0.08,0.23856242406950856,n=20,800,20.0,,
2,L3,0.36,0.21769280296000826,beta=1.5,800,,1.5,
2,L3,0.2,0.24675395576444759,beta=2.0,800,,2.0,
2,L3,0.12,0.2910813258642704,beta=2.5,800,,2.5,
2,L3,0.04,0.4367683562924982,beta=4.0,800,,4.0,
2,L3,0.04,0.514077462076956,beta=5.0,800,,5.0,
2,L4,0.3,0.34230751200961335,beta=1.5|n=7,800,7.0,1.5,
2,L4,0.4,0.20409952584907864,beta=1.5|n=10,800,10.0,1.5,
2,L4,0.5,0.09348401642362315,beta=1.5|n=20,800,20.0,1.5,
2,L4,0.16,0.35448692772523976,beta=2.0|n=7,800,7.0,2.0,
2,L4,0.2,0.2505296540239462,beta=2.0|n=10,800,10.0,2.0,
2,L4,0.28,0.12188858374147835,beta=2.0|n=20,800,20.0,2.0,
2,L4,0.12,0.42223352917041157,beta=2.5|n=7,800,7.0,2.5,
2,L4,0.14,0.2904546249146834,beta=2.5|n=10,800,10.0,2.5,
2,L4,0.16,0.15674610762675198,beta=2.5|n=20,800,20.0,2.5,
2,L4,0.04,0.573554581077422,beta=4.0|n=7,800,7.0,4.0,
2,L4,0.06,0.44771997147362147,beta=4.0|n=10,800,10.0,4.0,
2,L4,0.06,0.27676599377526645,beta=4.0|n=20,800,20.0,4.0,
2,L4,0.02,0.6452817949700345,beta=5.0|n=7,800,7.0,5.0,
2,L4,0.04,0.5471898688301101,beta=5.0|n=10,800,10.0,5.0,
2,L4,0.04,0.3333841813977415,beta=5.0|n=20,800,20.0,5.0,
2,L5,0.2,0.2839710047910514,beta=1.5|gamma_over_eta=0.1|n=7,800,7.0,1.5,0.1
2,L5,0.26,0.19800525864487312,beta=1.5|gamma_over_eta=0.1|n=10,800,10.0,1.5,0.1
2,L5,0.5,0.0915087987626761,beta=1.5|gamma_over_eta=0.1|n=20,800,20.0,1.5,0.1
2,L5,0.3,0.37662180938250933,beta=1.5|gamma_over_eta=0.5|n=7,800,7.0,1.5,0.5
2,L5,0.42,0.20417887894972161,beta=1.5|gamma_over_eta=0.5|n=10,800,10.0,1.5,0.5
2,L5,0.5,0.09530619196284393,beta=1.5|gamma_over_eta=0.5|n=20,800,20.0,1.5,0.5
2,L5,0.3,0.3513526532627387,beta=1.5|gamma_over_eta=1.0|n=7,800,7.0,1.5,1.0
2,L5,0.4,0.2041221292738591,beta=1.5|gamma_over_eta=1.0|n=10,800,10.0,1.5,1.0
2,L5,0.5,0.09363705854534941,beta=1.5|gamma_over_eta=1.0|n=20,800,20.0,1.5,1.0
2,L5,0.08,0.3173322734824081,beta=2.0|gamma_over_eta=0.1|n=7,800,7.0,2.0,0.1
2,L5,0.1,0.2307026179940127,beta=2.0|gamma_over_eta=0.1|n=10,800,10.0,2.0,0.1
2,L5,0.14,0.10967346169283308,beta=2.0|gamma_over_eta=0.1|n=20,800,20.0,2.0,0.1
2,L5,0.16,0.3704910689367204,beta=2.0|gamma_over_eta=0.5|n=7,800,7.0,2.0,0.5
2,L5,0.2,0.2584347626007963,beta=2.0|gamma_over_eta=0.5|n=10,800,10.0,2.0,0.5
2,L5,0.32,0.12496425674487402,beta=2.0|gamma_over_eta=0.5|n=20,800,20.0,2.0,0.5
2,L5,0.16,0.35702504140600005,beta=2.0|gamma_over_eta=1.0|n=7,800,7.0,2.0,1.0
2,L5,0.26,0.25470739019800204,beta=2.0|gamma_over_eta=1.0|n=10,800,10.0,2.0,1.0
2,L5,0.3,0.12696058544145783,beta=2.0|gamma_over_eta=1.0|n=20,800,20.0,2.0,1.0
2,L5,0.04,0.3754122888114699,beta=2.5|gamma_over_eta=0.1|n=7,800,7.0,2.5,0.1
2,L5,0.02,0.24692337694025213,beta=2.5|gamma_over_eta=0.1|n=10,800,10.0,2.5,0.1
2,L5,0.04,0.13758863647348163,beta=2.5|gamma_over_eta=0.1|n=20,800,20.0,2.5,0.1
