layer,J1,n_selected_samples,J1_n7,J1_n10,J1_n20
Default,0.6332189473722903,45000,0.7392855016503718,0.6445203563841531,0.49086572826977504
L1,0.6329130843027161,45000,0.7397329656280063,0.6451038118222847,0.488234706243098
L2,0.6327318186637289,45000,0.7397763478746057,0.6445203563841531,0.488234706243098
L3,0.5850675058410649,45000,0.6900093283848866,0.5921882107655605,0.44733903132341996
L4,0.5825851727966954,45000,0.6859352395982693,0.5932004234552029,0.4425184237718238
L5,0.5719236634800641,45000,0.6779112961971653,0.5802891885434424,0.4301055250670992
