layer,crossfit_J1,same_sample_J1,crossfit_minus_same_sample,relative_change_pct
Default,0.6332189473722903,0.6332189473722903,0.0,0.0
L1,0.6329130843027161,0.6329130843027161,0.0,0.0
L2,0.6327318186637289,0.6325405576256966,0.00019126103803224215,0.030236960417235434
L3,0.5850675058410649,0.5850675058410649,0.0,0.0
L4,0.5825851727966954,0.5820901089588821,0.000495063837813281,0.08504934720480734
L5,0.5719236634800641,0.5711703880260268,0.0007532754540372499,0.1318827918654153
