sample_size,group_id,gamma,gradient,sigma_min,best_beta,best_eta,source,virtual
7,1,1014.250998985749,2.3756416840947083,245.3732951385467,1.1083905017585083,478.1411517782719,trace_grid,False
7,1,1014.2509988938797,2.375642026953595,245.37329492029815,1.1083905006070585,478.14115207040516,trace_grid,False
7,1,1014.2509987936891,2.3756414558983785,245.37329468228108,1.1083904993511642,478.14115238900814,trace_grid,False
7,1,1014.2509986844233,2.375641584575095,245.3732944227048,1.1083904979817125,478.14115273645774,trace_grid,False
7,1,1014.2509985652605,2.3756417737352677,245.37329413961666,1.1083904964881368,478.14115311538353,trace_grid,False
7,1,1014.250998435304,2.375641665306156,245.37329383088672,1.1083904948597794,478.1411535286016,trace_grid,False
7,1,1014.2509982935763,2.375641986291545,245.37329349419247,1.1083904930831003,478.14115397929805,trace_grid,False
7,1,1014.2509981390111,2.3756416456992304,245.37329312700086,1.1083904911463627,478.14115447076574,trace_grid,False
7,1,1014.2509979704457,2.375641799519027,245.37329272654986,1.1083904890339542,478.1411550067642,trace_grid,False
7,1,1014.2509977866118,2.3756418353367748,245.3732922898264,1.108390486729645,478.1411555913466,trace_grid,False
7,1,1014.2509975861266,2.3756417414590874,245.37329181354525,1.1083904842170462,478.1411562288537,trace_grid,False
7,1,1014.2509973674818,2.3756417755753128,245.37329129412348,1.1083904814765841,478.14115692412145,trace_grid,False
7,1,1014.2509971290324,2.375641906257155,245.37329072765317,1.108390478488687,478.1411576823181,trace_grid,False
7,1,1014.2509968689847,2.375641859092771,245.37329010987284,1.1083904752293292,478.14115850924037,trace_grid,False
7,1,1014.2509965853822,2.3756419114364644,245.3732894361349,1.1083904716752573,478.1411594110332,trace_grid,False
7,1,1014.2509962760914,2.3756419388465804,245.3732887013709,1.1083904677991752,478.1411603945142,trace_grid,False
7,1,1014.2509959387856,2.375641897130235,245.37328790005319,1.1083904635720485,478.1411614670747,trace_grid,False
7,1,1014.2509955709273,2.3756419100461557,245.37328702615355,1.1083904589610545,478.1411626368448,trace_grid,False
7,1,1014.2509951697489,2.375641997152187,245.3732860730972,1.1083904539335607,478.1411639125016,trace_grid,False
7,1,1014.2509947322322,2.3756419526812707,245.3732850337143,1.1083904484496612,478.14116530376697,trace_grid,False
7,1,1014.2509942550861,2.375642080528414,245.37328390018584,1.1083904424710094,478.1411668209324,trace_grid,False
7,1,1014.2509937347209,2.375642084270112,245.37328266398438,1.1083904359485466,478.141168475657,trace_grid,False
7,1,1014.2509931672217,2.3756421464112703,245.37328131580963,1.1083904288366617,478.1411702801814,trace_grid,False
7,1,1014.2509925483193,2.3756421399941012,245.37327984551908,1.108390421079844,478.14117224820217,trace_grid,False
7,1,1014.2509918733579,2.375642190348154,245.3732782420522,1.1083904126209578,478.141174394451,trace_grid,False
7,1,1014.2509911372593,2.3756422073665764,245.37327649334557,1.1083904033957814,478.14117673510975,trace_grid,False
7,1,1014.2509903344862,2.375642284729683,245.3732745862439,1.1083903933348873,478.1411792877886,trace_grid,False
7,1,1014.2509894589991,2.3756423289637154,245.3732725063998,1.1083903823626615,478.14118207168724,trace_grid,False
7,1,1014.2509885042118,2.375642395378343,245.37327023816673,1.108390370396645,478.14118510774375,trace_grid,False
7,1,1014.2509874629415,2.3756424779378333,245.37326776448083,1.1083903573467195,478.14118841880406,trace_grid,False
7,1,1014.2509863273543,2.375642512954819,245.373265066732,1.10839034311479,478.14119202977326,trace_grid,False
7,1,1014.2509850889076,2.3756426037956455,245.37326212462534,1.1083903275938165,478.14119596781467,trace_grid,False
7,1,1014.2509837382843,2.375642692814696,245.37325891602734,1.108390310666994,478.14120026255665,trace_grid,False
7,1,1014.2509822653236,2.375642759833958,245.37325541679934,1.1083902922067947,478.1412049463205,trace_grid,False
7,1,1014.2509806589444,2.3756428657432194,245.3732516006164,1.108390272074407,478.14121005433816,trace_grid,False
7,1,1014.250978907062,2.375642991019856,245.37324743876974,1.1083902501190108,478.14121562499935,trace_grid,False
7,1,1014.2509769964968,2.375643089040689,245.37324289994936,1.1083902261747647,478.1412217002521,trace_grid,False
7,1,1014.2509749128756,2.3756432199621624,245.3732379500095,1.1083902000614516,478.1412283258067,trace_grid,False
7,1,1014.2509726405232,2.375643347979672,245.3732325517115,1.1083901715828655,478.1412355514922,trace_grid,False
7,1,1014.2509701623447,2.3756435008267767,245.37322666444405,1.108390140524965,478.1412434316557,trace_grid,False
7,1,1014.2509674596968,2.375643675845665,245.37322024391676,1.1083901066532895,478.141252025629,trace_grid,False
7,1,1014.2509645122472,2.3756438445403036,245.37321324182764,1.1083900697140288,478.14126139800425,trace_grid,False
7,1,1014.2509612978223,2.3756440419236426,245.37320560550017,1.108390029428811,478.1412716193189,trace_grid,False
7,1,1014.2509577922398,2.375644268017435,245.37319727748525,1.1083899854947665,478.14128276645704,trace_grid,False
7,1,1014.2509539691271,2.3756444931070972,245.37318819513106,1.1083899375805064,478.1412949233313,trace_grid,False
7,1,1014.2509497997229,2.3756447420704134,245.37317829011093,1.1083898853272018,478.1413081813007,trace_grid,False
7,1,1014.2509452526606,2.375645023496318,245.37316748790855,1.108389828341129,478.14132264014296,trace_grid,False
7,1,1014.2509402937326,2.375645322623677,245.37315570725858,1.1083897661924829,478.1413384086991,trace_grid,False
7,1,1014.2509348856327,2.3756456502628347,245.37314285953448,1.1083896984155674,478.1413556054857,trace_grid,False
7,1,1014.2509289876755,2.375646008591069,245.37312884808202,1.1083896244982152,478.141374360013,trace_grid,False
7,1,1014.2509225554905,2.3756464030195463,245.37311356749206,1.1083895438861593,478.14139481326356,trace_grid,False
7,1,1014.2509155406885,2.375646826307656,245.37309690280836,1.1083894559728977,478.14141711911185,trace_grid,False
7,1,1014.2509078904967,2.3756472857835753,245.3730787286608,1.1083893600962007,478.14144144541876,trace_grid,False
7,1,1014.2508995473625,2.3756477959438653,245.3730589083242,1.1083892555346395,478.1414679752023,trace_grid,False
