scale_factor,eta,n_samples,J1,x095_rmse,failure_rate
0.001,1.0,126000,0.47053670069704817,0.20600707098175605,0.0005476190476190467
0.01,10.0,126000,0.47053670069704817,0.20600707098175602,0.0005476190476190467
0.1,100.0,126000,0.47053670069704817,0.20600707098175605,0.0005476190476190467
1.0,1000.0,126000,0.47053670069704817,0.20600707098175605,0.0005476190476190467
10.0,10000.0,126000,0.47053670069704817,0.20600707098175605,0.0005476190476190467
1000.0,1000000.0,126000,0.47053670069704817,0.20600707098175605,0.0005476190476190467
