beta,eta,gamma,gamma_over_eta,n,repeat_id,delta,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status,loss
3.0,1000.0,500.0,0.5,10,258,0.0,5.903953484470891,1197.2430680082275,154.40121371330724,0.9653248633711644,True,110.89569999603556,success,1.0953373311790924
3.0,1000.0,500.0,0.5,10,258,0.02,4.041800184622397,864.5817815770212,482.350326083158,0.9663388354291476,True,104.8228000290692,success,0.1392437853901422
3.0,1000.0,500.0,0.5,10,258,0.04,3.551430682061409,777.1986422513619,567.6003263903434,0.964260551086567,True,108.0515999929048,success,0.08799644882257433
3.0,1000.0,500.0,0.5,10,258,0.06,3.269172603361334,726.7407461780734,616.46516287878,0.961580464980806,True,107.78189997654408,success,0.09628518623039885
3.0,1000.0,500.0,0.5,10,258,0.08,3.0741500376887574,691.6705122437145,650.192663643063,0.9585579607591516,True,110.4281999869272,success,0.11823582346438992
3.0,1000.0,500.0,0.5,10,258,0.1,2.9270145861962917,664.9935434489748,675.6697037194799,0.9552657254711772,True,109.5050000003539,success,0.14368104524999695
3.0,1000.0,500.0,0.5,10,258,0.12,2.810063186351091,643.5696540720817,695.9835364383352,0.951726002738585,True,106.33929999312386,success,0.16946058173973852
3.0,1000.0,500.0,0.5,10,258,0.14,2.713833577970299,625.7232033935477,712.779342624756,0.9479406994376378,True,108.9155999943614,success,0.19445719369217554
3.0,1000.0,500.0,0.5,10,258,0.16,2.6326864286790275,610.4561821451654,727.035610950012,0.943900809590651,True,107.18930000439286,success,0.2182805835213177
3.0,1000.0,500.0,0.5,10,258,0.18,2.562996062249865,597.1268101819104,739.3806136410403,0.9395900415184392,True,105.08099995786324,success,0.24082904544015504
3.0,1000.0,500.0,0.5,10,258,0.2,2.5022948578426294,585.2983657739377,750.2412733385074,0.9349865128612582,True,109.43539999425413,success,0.26212151903738756
3.0,1000.0,500.0,0.5,10,258,0.22,2.448826072902392,574.6604779764773,759.9206727243009,0.9300635975081192,True,109.18450000463054,success,0.2822272093171184
3.0,1000.0,500.0,0.5,10,258,0.24,2.401310730922558,564.9839394356352,768.6416364648669,0.924787936235675,True,105.01509997993708,success,0.3012327285590699
3.0,1000.0,500.0,0.5,10,258,0.26,2.358773483245332,556.0953442962434,776.5727633209021,0.91912158535156,True,105.21279997192325,success,0.31922955296524425
3.0,1000.0,500.0,0.5,10,258,0.28,2.3204634665293207,547.8597415617262,783.8447533498908,0.9130197395427442,True,105.81109998747706,success,0.3363064240072613
3.0,1000.0,500.0,0.5,10,258,0.3,2.28579542241209,540.169606566157,790.5610756305108,0.906429029521392,True,106.87620000680909,success,0.35254619369125173
3.0,1000.0,500.0,0.5,10,258,0.32,2.2542994735688127,532.9378995980514,796.805182199101,0.8992872833638568,True,110.73999997461216,success,0.36802579682542697
3.0,1000.0,500.0,0.5,10,258,0.34,2.2255975843867297,526.0926508229584,802.6455373075787,0.8915208170540856,True,131.92650000564754,success,0.3828157303348333
3.0,1000.0,500.0,0.5,10,258,0.36,2.1993823852815075,519.5732873246528,808.1392209178839,0.8830419424172772,True,156.52469999622554,success,0.3969805573863131
3.0,1000.0,500.0,0.5,10,258,0.38,2.175403087212683,513.3278516687349,813.3345790128981,0.8737453970573096,True,167.3395999823697,success,0.41057945709748944
3.0,1000.0,500.0,0.5,10,258,0.4,2.1534536255658017,507.3109591684242,818.2732254259389,0.8635040402408417,True,160.44300002977252,success,0.4236670885416449
3.0,1000.0,500.0,0.5,10,258,0.42,2.1333645240252386,501.4821492516019,822.9915985143191,0.8521628856242002,True,162.7913999836892,success,0.43629440336097064
3.0,1000.0,500.0,0.5,10,258,0.44,2.114999430657127,495.8043921007208,827.5222157234145,0.8395301523631793,True,155.6717000203207,success,0.4485091247880997
3.0,1000.0,500.0,0.5,10,258,0.46,2.0982502034920905,490.2429273088228,831.8947312231576,0.825365782054708,True,160.46909999568015,success,0.4603566852725986
3.0,1000.0,500.0,0.5,10,258,0.48,2.0830332367824367,484.7641795326267,836.1368830119477,0.8093652517371739,True,158.5942999809049,success,0.47188129312986343
3.0,1000.0,500.0,0.5,10,258,0.5,2.069293652482328,479.3343119529724,840.2754083076583,0.7911333262442201,True,156.847000005655,success,0.48312614613172644
3.0,1000.0,500.0,0.5,10,285,0.0,5.316747508248854,1350.825570013872,0.0,0.9522787939081973,True,95.36940004909412,success,0.9694473602396997
3.0,1000.0,500.0,0.5,10,285,0.02,5.316747508248854,1350.825570013872,0.0,0.9522787939081973,True,97.1929000224918,success,0.9694473602396997
3.0,1000.0,500.0,0.5,10,285,0.04,4.75333405476463,1230.9962600688625,118.7386574640939,0.9474273103439028,True,103.03870000643656,success,0.5402950732111251
3.0,1000.0,500.0,0.5,10,285,0.06,4.116130838666171,1095.317145937304,252.71400646002735,0.9389455126538404,True,107.505299965851,success,0.20865217080197923
3.0,1000.0,500.0,0.5,10,285,0.08,3.728568487419343,1012.3789831033243,334.18543218491635,0.9308932667685804,True,112.69769998034462,success,0.0866268257735431
3.0,1000.0,500.0,0.5,10,285,0.1,3.460923710972896,954.5974766943324,390.6165481054165,0.9229747410029528,True,108.87939995154738,success,0.03763175837501032
3.0,1000.0,500.0,0.5,10,285,0.12,3.26204090697456,911.1229246619984,432.7987296190981,0.9150086132621372,True,107.57709998870268,success,0.02004463825344947
3.0,1000.0,500.0,0.5,10,285,0.14,3.107035479485486,876.6888221920741,465.9652717414761,0.906859800488551,True,114.8055999656208,success,0.017636964174308142
3.0,1000.0,500.0,0.5,10,285,0.16,2.982129559412311,848.3828184478876,493.00723383641713,0.898412466936086,True,128.32720001460984,success,0.023072152147846758
3.0,1000.0,500.0,0.5,10,285,0.18,2.8789941639528367,824.4426242949646,515.6716018217711,0.8895557396506577,True,129.84300003154203,success,0.032692925974484977
3.0,1000.0,500.0,0.5,10,285,0.2,2.7922535092235146,803.7288459305463,535.086128152441,0.8801759910217825,True,115.54379999870434,success,0.04454880280070078
3.0,1000.0,500.0,0.5,10,285,0.22,2.718264430903821,785.4656732657312,552.0170383685474,0.8701500535976014,True,131.12350000301376,success,0.057550186393955136
3.0,1000.0,500.0,0.5,10,285,0.24,2.6544735204626404,769.101469183436,567.006888631273,0.85933677243112,True,114.78880001232028,success,0.07106944888634505
3.0,1000.0,500.0,0.5,10,285,0.26,2.5990209066094163,754.2304274958692,580.453439933685,0.8475730858531205,True,137.7519000088796,success,0.08474035358117453
3.0,1000.0,500.0,0.5,10,285,0.28,2.5505377090026835,740.5431909516373,592.6573496738976,0.8346611081591163,True,117.93350003426896,success,0.09834948143554467
3.0,1000.0,500.0,0.5,10,285,0.3,2.5079932655644117,727.7967958466495,603.8524084914678,0.8203576628913056,True,128.6782000097446,success,0.11177664340415946
3.0,1000.0,500.0,0.5,10,285,0.32,2.4706079843133315,715.7939652272544,614.2255834324875,0.8043562743982133,True,124.38039999688044,success,0.1249600992531608
3.0,1000.0,500.0,0.5,10,285,0.34,2.437795725790853,704.3685365394738,623.9309397781403,0.7862613375055285,True,126.73300004098564,success,0.13787613401533144
3.0,1000.0,500.0,0.5,10,285,0.36,2.409123764619012,693.3745854410472,633.099889383726,0.7655503156600159,True,128.9227000088431,success,0.15052747268941077
3.0,1000.0,500.0,0.5,10,285,0.38,2.384292255587848,682.6770674399111,641.8493899068037,0.7415129878447402,True,105.91600002953784,success,0.16293687367092274
3.0,1000.0,500.0,0.5,10,285,0.4,2.363132851195429,672.1423590644997,650.2893861691794,0.7131489632384133,True,107.56009997567162,success,0.17514417289561834
3.0,1000.0,500.0,0.5,10,285,0.42,2.345607220567504,661.6280012959237,658.5308787147343,0.6789968911161521,True,105.68200005218388,success,0.18720875009898913
3.0,1000.0,500.0,0.5,10,285,0.44,2.3318551327793173,650.9662216382396,666.6967450274883,0.6368006016487278,True,102.90019999956712,success,0.19921433475061742
3.0,1000.0,500.0,0.5,10,285,0.46,2.322264534121657,639.937199377078,674.9397049437866,0.5828408203434305,True,104.3428999837488,success,0.21128527205927844
3.0,1000.0,500.0,0.5,10,285,0.48,2.317671456077143,628.2118097182183,683.4788606389365,0.5103630013083916,True,111.41529999440536,success,0.22362119982901857
3.0,1000.0,500.0,0.5,10,285,0.5,2.319881941507186,615.2059752174457,692.6926314767416,0.4051598324934932,True,109.55250001279636,success,0.23659251101023665
3.0,1000.0,500.0,0.5,10,287,0.0,0.9888051534313558,339.8878144944475,920.8119366257946,0.9825178014440742,True,134.29150002775714,success,1.0622646402223657
3.0,1000.0,500.0,0.5,10,287,0.02,0.986924229845678,339.5868471745635,921.012719802517,0.9825715591338892,True,131.53280003461987,success,1.063672137813948
3.0,1000.0,500.0,0.5,10,287,0.04,0.9850965612364156,339.2934649420779,921.2077358901598,0.9826209141046974,True,131.44730002386495,success,1.0650419564132174
