beta,eta,gamma,gamma_over_eta,n,repeat_id,delta,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status,loss
3.0,1000.0,500.0,0.5,10,287,0.06,0.9833189464267996,339.00718565013403,921.3973431073706,0.9826661159849646,True,131.38139998773113,success,1.0663763849380088
3.0,1000.0,500.0,0.5,10,287,0.08,0.9815884738687848,338.72757097861177,921.5818669174672,0.9827073905446646,True,133.20380001096055,success,1.0676775057662797
3.0,1000.0,500.0,0.5,10,287,0.1,0.9799024911689052,338.4542204870288,921.7616039495348,0.9827449423800128,True,131.0195000260137,success,1.0689472184225752
3.0,1000.0,500.0,0.5,10,287,0.12,0.9782585587069555,338.1867702237785,921.9368253452584,0.9827789582011291,True,129.94690000778064,success,1.0701872640716772
3.0,1000.0,500.0,0.5,10,287,0.14,0.9766544524437606,337.9248838122038,922.1077796295924,0.9828096075581216,True,130.41740003973246,success,1.0713992376339816
3.0,1000.0,500.0,0.5,10,287,0.16,0.9750881220808608,337.6682527753669,922.274695185592,0.9828370456324408,True,130.24120003683493,success,1.0725846075021659
3.0,1000.0,500.0,0.5,10,287,0.18,0.9735576750236838,337.4165931656437,922.4377823969024,0.9828614146668546,True,133.08979995781556,success,1.0737447283925703
3.0,1000.0,500.0,0.5,10,287,0.2,0.9720613647371662,337.1696422037087,922.5972355106748,0.9828828450852248,True,130.1450000028126,success,1.0748808520544781
3.0,1000.0,500.0,0.5,10,287,0.22,0.9705975734131024,336.9271566478085,922.7532342638156,0.9829014568254806,True,133.62650002818555,success,1.0759941381202083
3.0,1000.0,500.0,0.5,10,287,0.24,0.9691647994820326,336.6889108719153,922.9059453079384,0.9829173603721048,True,129.69600001815706,success,1.0770856630551815
3.0,1000.0,500.0,0.5,10,287,0.26,0.9677613192052636,336.4547555935761,923.055523443187,0.9829306747131946,True,131.38899998739362,success,1.0781564957033176
3.0,1000.0,500.0,0.5,10,287,0.28,0.9663861336601876,336.2244400736104,923.2021127806704,0.9829414786004133,True,137.10540003376082,success,1.0792075063697886
3.0,1000.0,500.0,0.5,10,287,0.3,0.9650380570806488,335.9977769811668,923.3458476649752,0.9829498577398286,True,128.17959999665618,success,1.0802395599235843
3.0,1000.0,500.0,0.5,10,287,0.32,0.9637159573547311,335.77459564319844,923.4868535607116,0.9829558927417044,True,129.5222999760881,success,1.0812534698574594
3.0,1000.0,500.0,0.5,10,287,0.34,0.9624221204227186,335.5541145327315,923.6252480160696,0.9829594783699244,True,128.332499996759,success,1.08224930939802
3.0,1000.0,500.0,0.5,10,287,0.36,0.9611469878739825,335.33777482005763,923.7611405873998,0.982961144067402,True,130.6841000332497,success,1.0832295561925682
3.0,1000.0,500.0,0.5,10,287,0.38,0.9598974830613388,335.12397693112746,923.8946345595588,0.9829605317763578,True,147.39170001121238,success,1.0841932627735351
3.0,1000.0,500.0,0.5,10,287,0.4,0.95867014324766,334.91306883584764,924.0258268018184,0.9829578404277768,True,130.66109997453168,success,1.0851415926968189
3.0,1000.0,500.0,0.5,10,287,0.42,0.9574634601227274,334.705052222634,924.1548089009568,0.9829531634935728,True,133.91609996324405,success,1.0860752824223199
3.0,1000.0,500.0,0.5,10,287,0.44,0.9562773449632624,334.4996822928073,924.2816664408404,0.9829465152938656,True,151.41960000619292,success,1.086994748758459
3.0,1000.0,500.0,0.5,10,287,0.46,0.9551112474945416,334.2968155996901,924.4064798745524,0.9829379340475076,True,138.23809998575598,success,1.0879004798939251
3.0,1000.0,500.0,0.5,10,287,0.48,0.9539642176347308,334.09639316506207,924.529326346298,0.9829274787661012,True,157.63079997850582,success,1.0887930317148278
3.0,1000.0,500.0,0.5,10,287,0.5,0.9528356033396334,333.8983160856721,924.6502778963012,0.9829151914493928,True,152.5874999933876,success,1.089672874825776
