beta,eta,gamma,gamma_over_eta,n,delta,count,beta_bias,beta_bias_sq,beta_var,eta_bias,eta_bias_sq,eta_var,gamma_bias,gamma_bias_sq,gamma_var,bias_sq_sum,var_sum,risk
1.5,1000.0,100.0,0.1,7,0.0,300,-0.00507627278661493,2.5768545404127305e-05,0.18248548651873148,-0.06798218090084343,0.004621576920035001,0.1286609302403696,0.05658445017822158,0.0032018000019716397,0.043395675742066826,0.007849145467410768,0.35454209250116786,0.36239123796857875
1.5,1000.0,100.0,0.1,7,0.02,300,-0.027576018399982458,0.000760436790796171,0.16847796322385353,-0.07834292450331909,0.006137613819732755,0.12969068323341587,0.06523014217795688,0.004254971448556469,0.044248800324692736,0.011153022059085395,0.3424174467819621,0.3535704688410474
1.5,1000.0,100.0,0.1,7,0.04,300,-0.04178624521856388,0.0017460902894659528,0.15700268193200745,-0.08511727197670199,0.007244949988755858,0.12953633206899412,0.07119401315211758,0.005068587508703892,0.04395952492441487,0.014059627786925703,0.3304985389254164,0.34455816671234213
1.5,1000.0,100.0,0.1,7,0.06,300,-0.05407731866186388,0.0029243563936567716,0.14855116074009858,-0.09129286079663422,0.008334386432433633,0.1290764084488064,0.0765726274451463,0.005863367273853172,0.04373644598307021,0.017122110099943577,0.32136401517197516,0.3384861252719188
1.5,1000.0,100.0,0.1,7,0.08,300,-0.06600479693943798,0.004356633219016441,0.13997249693925287,-0.09769626826443543,0.009544560832796534,0.1272929253914213,0.08218465794850485,0.006754318002112742,0.04333963703171974,0.020655512053925715,0.3106050593623939,0.33126057141631954
1.5,1000.0,100.0,0.1,7,0.1,300,-0.07629299842999931,0.005820621609439878,0.13356725207929743,-0.10334291846127991,0.010679758796094748,0.12569722060784916,0.08709574762149086,0.007585669253746431,0.04314382508226457,0.024086049659281055,0.30240829776941114,0.32649434742869216
1.5,1000.0,100.0,0.1,7,0.12,300,-0.0854657956566261,0.007304402227220169,0.1284760828996914,-0.10843954829265269,0.011759135633914555,0.12433656864985752,0.09149649075130235,0.008371607819803157,0.043031313431484364,0.027435145680937884,0.29584396498103327,0.3232791106619712
1.5,1000.0,100.0,0.1,7,0.14,300,-0.0938029588727127,0.00879899509327583,0.12427637815800861,-0.11309629600963717,0.012790772171099472,0.12316260326946171,0.09549535470358037,0.009119362769962629,0.04296532365814861,0.03070913003433793,0.29040430508561893,0.32111343511995694
1.5,1000.0,100.0,0.1,7,0.16,300,-0.10182299871439725,0.010367923067192144,0.12019691709425041,-0.11764350055478535,0.013839993222783783,0.1220413191467956,0.09938879691081354,0.009878132951378939,0.042840150260201694,0.03408604924135487,0.2850783865012477,0.3191644357426026
1.5,1000.0,100.0,0.1,7,0.18,300,-0.1047346836097891,0.010969353950842626,0.14017113725897973,-0.12305780194382604,0.015143222619245916,0.12134013742777024,0.10397535819491872,0.010810875111761653,0.04259135272174543,0.0369234516818502,0.30410262740849536,0.34102607909034566
1.5,1000.0,100.0,0.1,7,0.2,300,-0.10464282750311117,0.010950121347845879,0.17920563551637322,-0.12798818304671264,0.01638097499959882,0.12042148910016495,0.10811256125509554,0.011688325901136784,0.04231989428771609,0.03901942224858148,0.3419470189042543,0.3809664411528357
1.5,1000.0,100.0,0.1,7,0.22,300,-0.11123203699880117,0.012372566054902672,0.17694565747245306,-0.1318371565612784,0.01738103585016303,0.11942480211612592,0.11134569705654591,0.012397864253008097,0.04220547532039446,0.042151466158073796,0.3385759349089735,0.3807274010670474
1.5,1000.0,100.0,0.1,7,0.24,300,-0.11764834714774106,0.01384113358659539,0.1747592018019676,-0.13563660321087356,0.018397288130583958,0.11833167496734769,0.11453187798906879,0.01311755107570294,0.04204464776790595,0.04535597279288229,0.33513552453722123,0.3804914973301038
1.5,1000.0,100.0,0.1,7,0.26,300,-0.12363381272306635,0.015285319648442243,0.17284364558638657,-0.1392283093676806,0.01938452212938258,0.11725517660479487,0.11752557598370285,0.013812261010301112,0.041905762889053184,0.04848210278812594,0.3320045850802346,0.38048668786836054
1.5,1000.0,100.0,0.1,7,0.28,300,-0.12928368637075355,0.016714271561611368,0.17119746419741352,-0.14280203348011195,0.020392420766055012,0.11615525917049896,0.120483545302201,0.01451628468858752,0.0417297940177825,0.051622977016253895,0.329082517385695,0.3807054944019488
1.5,1000.0,100.0,0.1,7,0.3,300,-0.1331982105089776,0.01774176328279391,0.17378744376416314,-0.1468798861704579,0.021573700961446673,0.11516895338286809,0.1238034863839507,0.015327303240821065,0.041456718147289,0.054642767485061645,0.33041311529432027,0.385055882779382
1.5,1000.0,100.0,0.1,7,0.32,300,-0.13852659165224393,0.01918961659478754,0.172215186255169,-0.15030166889412205,0.022590591672358298,0.11402545975542812,0.12660418570791834,0.016028619838765076,0.0412499835794454,0.05780882810591091,0.3274906295900425,0.3852994576959533
1.5,1000.0,100.0,0.1,7,0.34,300,-0.14373672282738292,0.020660245489155904,0.17074500033502943,-0.1537128852420986,0.02362765108945058,0.11289887013929861,0.1293812057403405,0.01673949639882432,0.04101714665467293,0.0610273929774308,0.324661017129001,0.38568841010643173
