delta,bias_sq_sum,var_sum,risk,J1
0.0,0.12687282105282732,0.772113694984877,0.8989865160377043,0.9481489946404543
0.02,0.04344956907693741,0.4529734704324917,0.4964230395094291,0.7045729483236134
0.04,0.08045961123123072,0.3312641001299569,0.41172371136118757,0.6416570044511223
0.06,0.12192440181950895,0.268098691086827,0.3900230929063359,0.6245182886884386
0.08,0.15885288146478377,0.2313551600000964,0.3902080414648802,0.6246663441109023
0.1,0.19116793019059425,0.2062478291687723,0.3974157593593665,0.6304091999323665
0.12,0.21958824759694484,0.18841945395855217,0.408007701555497,0.6387548055048173
0.14,0.24475898956918404,0.17478793922224778,0.41954692879143185,0.6477244234946153
0.16,0.2672434250953003,0.1639439409666071,0.43118736606190744,0.6566485864310586
0.18,0.28743385675692046,0.1559099935397401,0.4433438502966605,0.6658407094017762
0.2,0.30580678683603235,0.149321518795216,0.45512830563124834,0.6746319779192567
0.22,0.32253802790760777,0.14389022874797813,0.4664282566555859,0.6829555305110179
0.24,0.33790658266168316,0.13930857920431008,0.4772151618659932,0.690807615668786
0.26,0.3520483099093803,0.13567013041895593,0.4877184403283362,0.6983684130373712
0.28,0.36518180170587156,0.13247180629282068,0.49765360799869224,0.7054456804026036
0.3,0.37734072141548447,0.12992708851793638,0.5072678099334208,0.7122273583157424
0.32,0.3886561513575538,0.12752209480816784,0.5161782461657217,0.7184554587208045
0.34,0.3991716018487167,0.12564031198520534,0.524811913833922,0.7244390338972093
0.36,0.40904096109697646,0.12397386851268814,0.5330148296096646,0.7300786461811252
0.38,0.4181994500472534,0.1225180522511237,0.5407175022983771,0.7353349592521609
0.4,0.42681832241607165,0.12134245920996378,0.5481607816260354,0.7403788095468666
0.42,0.43489557668912016,0.12029231966667424,0.5551878963557944,0.7451093183928076
0.44,0.44255020947899837,0.11942772464546639,0.5619779341244647,0.7496518752891003
0.46,0.4497618900147112,0.11872739963582793,0.5684892896505391,0.7539822873586217
0.48,0.45650171867657197,0.11816603176550318,0.5746677504420752,0.7580684338778889
0.5,0.46284469881449847,0.117624121834048,0.5804688206485464,0.7618850442478488
