model_id,representation,n,fold,seed,max_abs_representation_diff,max_abs_prediction_curve_diff,delta_indices,selected_deltas,delta_consistent,curve_consistent_at_1e-10
rms_n15_fold5_seed2026,rms,15,5,2026,2.220446049250313e-16,4.440892098500626e-16,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
rms_n15_fold5_seed3407,rms,15,5,3407,2.220446049250313e-16,5.551115123125783e-16,"[5, 5, 5]","[0.1, 0.1, 0.1]",True,True
rms_n20_fold1_seed42,rms,20,1,42,2.220446049250313e-16,2.220446049250313e-16,"[21, 21, 21]","[0.42, 0.42, 0.42]",True,True
rms_n20_fold1_seed2026,rms,20,1,2026,2.220446049250313e-16,6.661338147750939e-16,"[1, 1, 1]","[0.02, 0.02, 0.02]",True,True
rms_n20_fold1_seed3407,rms,20,1,3407,2.220446049250313e-16,4.440892098500626e-16,"[2, 2, 2]","[0.04, 0.04, 0.04]",True,True
rms_n20_fold2_seed42,rms,20,2,42,4.440892098500626e-16,9.43689570931383e-16,"[8, 8, 8]","[0.16, 0.16, 0.16]",True,True
rms_n20_fold2_seed2026,rms,20,2,2026,4.440892098500626e-16,9.43689570931383e-16,"[10, 10, 10]","[0.2, 0.2, 0.2]",True,True
rms_n20_fold2_seed3407,rms,20,2,3407,4.440892098500626e-16,6.38378239159465e-16,"[9, 9, 9]","[0.18, 0.18, 0.18]",True,True
rms_n20_fold3_seed42,rms,20,3,42,2.220446049250313e-16,4.440892098500626e-16,"[5, 5, 5]","[0.1, 0.1, 0.1]",True,True
rms_n20_fold3_seed2026,rms,20,3,2026,2.220446049250313e-16,5.551115123125783e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
rms_n20_fold3_seed3407,rms,20,3,3407,2.220446049250313e-16,2.7755575615628914e-16,"[10, 10, 10]","[0.2, 0.2, 0.2]",True,True
rms_n20_fold4_seed42,rms,20,4,42,4.440892098500626e-16,3.3306690738754696e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
rms_n20_fold4_seed2026,rms,20,4,2026,4.440892098500626e-16,3.885780586188048e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
rms_n20_fold4_seed3407,rms,20,4,3407,4.440892098500626e-16,3.3306690738754696e-16,"[2, 2, 2]","[0.04, 0.04, 0.04]",True,True
rms_n20_fold5_seed42,rms,20,5,42,2.220446049250313e-16,4.996003610813204e-16,"[10, 10, 10]","[0.2, 0.2, 0.2]",True,True
rms_n20_fold5_seed2026,rms,20,5,2026,2.220446049250313e-16,6.661338147750939e-16,"[1, 1, 1]","[0.02, 0.02, 0.02]",True,True
rms_n20_fold5_seed3407,rms,20,5,3407,2.220446049250313e-16,5.551115123125783e-16,"[2, 2, 2]","[0.04, 0.04, 0.04]",True,True
