model_id,representation,n,fold,seed,max_abs_representation_diff,max_abs_prediction_curve_diff,delta_indices,selected_deltas,delta_consistent,curve_consistent_at_1e-10
mean_n15_fold2_seed3407,mean,15,2,3407,2.220446049250313e-16,1.1657341758564144e-15,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
mean_n15_fold3_seed42,mean,15,3,42,2.220446049250313e-16,1.4432899320127035e-15,"[22, 22, 22]","[0.44, 0.44, 0.44]",True,True
mean_n15_fold3_seed2026,mean,15,3,2026,2.220446049250313e-16,3.3306690738754696e-16,"[21, 21, 21]","[0.42, 0.42, 0.42]",True,True
mean_n15_fold3_seed3407,mean,15,3,3407,2.220446049250313e-16,8.881784197001252e-16,"[10, 10, 10]","[0.2, 0.2, 0.2]",True,True
mean_n15_fold4_seed42,mean,15,4,42,4.440892098500626e-16,8.604228440844963e-16,"[3, 3, 3]","[0.06, 0.06, 0.06]",True,True
mean_n15_fold4_seed2026,mean,15,4,2026,4.440892098500626e-16,7.216449660063518e-16,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
mean_n15_fold4_seed3407,mean,15,4,3407,4.440892098500626e-16,6.661338147750939e-16,"[1, 1, 1]","[0.02, 0.02, 0.02]",True,True
mean_n15_fold5_seed42,mean,15,5,42,2.220446049250313e-16,6.661338147750939e-16,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
mean_n15_fold5_seed2026,mean,15,5,2026,2.220446049250313e-16,3.3306690738754696e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
mean_n15_fold5_seed3407,mean,15,5,3407,2.220446049250313e-16,9.43689570931383e-16,"[5, 5, 5]","[0.1, 0.1, 0.1]",True,True
mean_n20_fold1_seed42,mean,20,1,42,4.440892098500626e-16,1.6653345369377348e-15,"[5, 5, 5]","[0.1, 0.1, 0.1]",True,True
mean_n20_fold1_seed2026,mean,20,1,2026,4.440892098500626e-16,5.551115123125783e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
mean_n20_fold1_seed3407,mean,20,1,3407,4.440892098500626e-16,5.551115123125783e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
mean_n20_fold2_seed42,mean,20,2,42,4.440892098500626e-16,7.216449660063518e-16,"[15, 15, 15]","[0.3, 0.3, 0.3]",True,True
mean_n20_fold2_seed2026,mean,20,2,2026,4.440892098500626e-16,1.27675647831893e-15,"[14, 14, 14]","[0.28, 0.28, 0.28]",True,True
mean_n20_fold2_seed3407,mean,20,2,3407,4.440892098500626e-16,5.551115123125783e-16,"[14, 14, 14]","[0.28, 0.28, 0.28]",True,True
mean_n20_fold3_seed42,mean,20,3,42,2.220446049250313e-16,4.440892098500626e-16,"[11, 11, 11]","[0.22, 0.22, 0.22]",True,True
mean_n20_fold3_seed2026,mean,20,3,2026,2.220446049250313e-16,5.551115123125783e-16,"[15, 15, 15]","[0.3, 0.3, 0.3]",True,True
mean_n20_fold3_seed3407,mean,20,3,3407,2.220446049250313e-16,3.3306690738754696e-16,"[14, 14, 14]","[0.28, 0.28, 0.28]",True,True
mean_n20_fold4_seed42,mean,20,4,42,6.661338147750939e-16,5.273559366969494e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
mean_n20_fold4_seed2026,mean,20,4,2026,6.661338147750939e-16,7.216449660063518e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
mean_n20_fold4_seed3407,mean,20,4,3407,6.661338147750939e-16,5.551115123125783e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
mean_n20_fold5_seed42,mean,20,5,42,6.661338147750939e-16,1.8318679906315083e-15,"[10, 10, 10]","[0.2, 0.2, 0.2]",True,True
mean_n20_fold5_seed2026,mean,20,5,2026,6.661338147750939e-16,1.9984014443252818e-15,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
mean_n20_fold5_seed3407,mean,20,5,3407,6.661338147750939e-16,2.275957200481571e-15,"[3, 3, 3]","[0.06, 0.06, 0.06]",True,True
sample_sd_n7_fold1_seed42,sample_sd,7,1,42,8.881784197001252e-16,1.1102230246251565e-15,"[25, 25, 25]","[0.5, 0.5, 0.5]",True,True
sample_sd_n7_fold1_seed2026,sample_sd,7,1,2026,8.881784197001252e-16,6.661338147750939e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
sample_sd_n7_fold1_seed3407,sample_sd,7,1,3407,8.881784197001252e-16,1.6653345369377348e-15,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
sample_sd_n7_fold2_seed42,sample_sd,7,2,42,4.440892098500626e-16,5.551115123125783e-16,"[15, 15, 15]","[0.3, 0.3, 0.3]",True,True
sample_sd_n7_fold2_seed2026,sample_sd,7,2,2026,4.440892098500626e-16,2.7755575615628914e-16,"[14, 14, 14]","[0.28, 0.28, 0.28]",True,True
sample_sd_n7_fold2_seed3407,sample_sd,7,2,3407,4.440892098500626e-16,4.440892098500626e-16,"[2, 2, 2]","[0.04, 0.04, 0.04]",True,True
sample_sd_n7_fold3_seed42,sample_sd,7,3,42,8.881784197001252e-16,6.661338147750939e-16,"[8, 8, 8]","[0.16, 0.16, 0.16]",True,True
sample_sd_n7_fold3_seed2026,sample_sd,7,3,2026,8.881784197001252e-16,6.661338147750939e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
