representation,seed,pooled_J1,failure_rate,n_samples
mean,42,0.5845531935428129,0.0,48000
mean,2026,0.5849135438096444,0.0,48000
mean,3407,0.5855203298807452,0.0,48000
sample_sd,42,0.58908135829401,0.0,48000
sample_sd,2026,0.590125910930452,0.0,48000
sample_sd,3407,0.5889705831764349,0.0,48000
rms,42,0.5855618230243764,0.0,48000
rms,2026,0.5859600426181149,0.0,48000
rms,3407,0.5845715233473334,0.0,48000
