reliability,route,rmsre,mae,signed_relative_bias,relative_error_sd,within_10pct
0.5,P,0.06612113550669808,0.0477904304623081,-0.002661571905808783,0.06606754570653688,0.8907291666666667
0.5,Q,0.41945087819777904,0.3985320668245212,-0.39852645806307674,0.13082699050496713,0.00044375
0.5,QCP,0.0671299437918102,0.04927847694126082,-0.0096532477895887,0.06643225241254731,0.8801354166666666
0.51,P,0.06684712827623222,0.048299430013409146,-0.0029291744039890875,0.06678292069152157,0.8880770833333334
0.51,Q,0.41581458588740733,0.3948127609046153,-0.39480526585798315,0.13050123327970245,0.0005208333333333333
0.51,QCP,0.06783011772351089,0.04978104539131668,-0.009947450001336145,0.0670967443983407,0.8769479166666667
0.52,P,0.06761003790697266,0.04883440427575819,-0.003195661794024901,0.06753447246762566,0.8853479166666667
0.52,Q,0.41213192266977033,0.391044699427168,-0.3910347901877037,0.13017109720033868,0.0006479166666666666
0.52,QCP,0.068564908441074,0.050309113474780766,-0.01024084865366536,0.06779580878185304,0.8737041666666666
0.53,P,0.0684097851171556,0.04939504480694342,-0.00346116342521452,0.06832217098072456,0.882375
0.53,Q,0.4084000139008293,0.3872253684865751,-0.3872118711611984,0.1298365826184638,0.0008
0.53,QCP,0.06933424118517928,0.050862757525905876,-0.010533595980382528,0.06852941234569782,0.8701666666666666
0.54,P,0.06924635827409314,0.049981137548030734,-0.003725805794723189,0.06914605198710967,0.8792270833333333
0.54,Q,0.4046158627472922,0.3833507881079244,-0.3833331973068662,0.12949770742847436,0.0009916666666666667
0.54,QCP,0.07013810382713775,0.05144132846871372,-0.010825842431052586,0.06929758108422239,0.8667375
0.55,P,0.07011981727735273,0.05059231025898104,-0.003989712982275433,0.07000622090449103,0.87564375
0.55,Q,0.40077633717926997,0.3794174695274253,-0.37939528846759857,0.12915451030227165,0.00116875
0.55,QCP,0.07097655008874847,0.05204551876599063,-0.011117737235828543,0.07010040357412853,0.8629833333333333
0.56,P,0.07103029778847163,0.05122832720938407,-0.004253007062350652,0.07090285702880071,0.8721291666666666
