reliability,n,beta,gamma_over_eta,p_rmsre,q_rmsre,qcp_rmsre,qcp_vs_q_relative_rmsre_improvement
0.9,7,1.5,0.1,0.4880273617656121,0.3281495527108422,0.4218109041902449,-0.28542276137714245
0.9,7,1.5,0.25,0.3227472086762971,0.2772472715101285,0.2667330117920269,0.03792376264275514
0.9,7,1.5,0.5,0.2158252052562161,0.29908532671268445,0.23468895764595696,0.2153110277074532
0.9,7,1.5,0.75,0.15214050497747666,0.21845866615784748,0.179956444079927,0.17624488309427225
0.9,7,1.5,1.0,0.10164328217575194,0.16356766568788206,0.12428394691445917,0.24016799780210615
0.9,7,2.0,0.1,0.3381956289011945,0.29231406872792787,0.30298770356032906,-0.036514270007085105
0.9,7,2.0,0.25,0.2346489512520218,0.266864942924245,0.21416853062805652,0.1974647239864227
0.9,7,2.0,0.5,0.18220475153169569,0.2833131818476577,0.21479240200332433,0.24185524795375793
0.9,7,2.0,0.75,0.13768835215756606,0.201294274932014,0.1651774484949056,0.17942301860947935
0.9,7,2.0,1.0,0.09669352575511801,0.15236391143335906,0.10940498833133547,0.28194946360912354
0.9,7,2.5,0.1,0.2415612769575054,0.2513925614646756,0.22130427506951134,0.11968646255824919
0.9,7,2.5,0.25,0.19684207447994445,0.27164225068091985,0.1960222036231658,0.2783810208765348
0.9,7,2.5,0.5,0.18092281911473146,0.2644154840159541,0.21089426290610788,0.20241333940419654
0.9,7,2.5,0.75,0.11919034830678336,0.1738370773280656,0.13617264448663646,0.21666512932881843
0.9,7,2.5,1.0,0.09127391712337424,0.141315592335782,0.09768017582364596,0.3087799144517139
0.9,7,3.0,0.1,0.19771235160306835,0.23196927275876503,0.17960666159104097,0.22573080712365826
0.9,7,3.0,0.25,0.16677670094575922,0.23734957957140942,0.16790294574381617,0.29259219229709826
0.9,7,3.0,0.5,0.14481473881236734,0.22526843094422772,0.16757695975849943,0.25610100334037317
0.9,7,3.0,0.75,0.11395024062902331,0.16325180749370008,0.12449470018039376,0.23740691088398497
0.9,7,3.0,1.0,0.08428410028554727,0.138888190717849,0.08688726738960922,0.3744085300519143
0.9,7,3.5,0.1,0.14607601103219764,0.22149974689740257,0.13122011998582198,0.40758343147632403
0.9,7,3.5,0.25,0.14584852368209125,0.2453133806978403,0.15151081530149366,0.3823785116388984
0.9,7,3.5,0.5,0.12762135303162667,0.20367721263644745,0.1452115895583689,0.28705038880533207
0.9,7,3.5,0.75,0.10043081089928947,0.15178715699433554,0.10598103460352411,0.30177864384482045
0.9,7,3.5,1.0,0.07867428907441529,0.13309654742309876,0.07930111140138932,0.4041835574494647
0.9,7,4.0,0.1,0.12324434859151558,0.21154373602908666,0.10830777127486223,0.4880123925769647
0.9,7,4.0,0.25,0.1305218428998816,0.23392047493229934,0.13807053400901578,0.4097543874730256
0.9,7,4.0,0.5,0.1238202513127896,0.20329817303682854,0.13794111655936755,0.3214837374147047
0.9,7,4.0,0.75,0.0944494176562581,0.14521578590503692,0.09739742870935521,0.32929172884105223
0.9,7,4.0,1.0,0.0757825381169902,0.13179727897995752,0.07520572096356563,0.42938335642724307
0.9,7,4.5,0.1,0.1292544429721304,0.22931344717489588,0.11476374718188287,0.4995332868797995
0.9,7,4.5,0.25,0.1392933106447618,0.24708229422460276,0.14779734056550906,0.40182949559648207
0.9,7,4.5,0.5,0.12788707810623945,0.20454025727180256,0.13907000662541635,0.32008491394134847
0.9,7,4.5,0.75,0.09088742750854809,0.14274238294795516,0.08999444936102965,0.36953238763120383
0.9,7,4.5,1.0,0.08761486272834022,0.14084600724040355,0.08603498021786253,0.38915570342712386
0.9,7,5.0,0.1,0.11847821543698069,0.22561854476530208,0.10625269924204811,0.5290604353796509
0.9,7,5.0,0.25,0.14697449551177486,0.25577329117692704,0.15566697276633368,0.3913869112367422
0.9,7,5.0,0.5,0.12318478210959624,0.1974994597566355,0.1308593813284203,0.33741904160310626
0.9,7,5.0,0.75,0.09010835217512717,0.1417991098593049,0.08756067274259505,0.38250195766761874
0.9,7,5.0,1.0,0.09002471337843589,0.14176330967621906,0.08833647015481857,0.37687353408597013
0.9,10,1.5,0.1,0.41163905624970815,0.2630501544536148,0.3492337669391092,-0.3276318642142887
0.9,10,1.5,0.25,0.23469434634993847,0.2668510296625693,0.19969266940485253,0.25166985618394616
0.9,10,1.5,0.5,0.1745978009212696,0.27520664305119874,0.20528996233650734,0.2540515735359058
0.9,10,1.5,0.75,0.11628384047193342,0.17264428066422396,0.13651462723944008,0.20927222891937258
0.9,10,1.5,1.0,0.08307838933733377,0.13938612596114144,0.09681929953493963,0.30538782918802654
0.9,10,2.0,0.1,0.2800880252199516,0.2522084599520607,0.250168792367858,0.00808722905088277
0.9,10,2.0,0.25,0.19772239387204216,0.27531719609939276,0.19644370632260133,0.2864822499075472
0.9,10,2.0,0.5,0.1677340041024139,0.25522004315281466,0.19490230421412263,0.2363362147955456
0.9,10,2.0,0.75,0.11674640270984928,0.16209561753098142,0.12849725650827037,0.2072749500231823
0.9,10,2.0,1.0,0.08590085873138689,0.13096544349331282,0.09187335235347767,0.29849164861440125
0.9,10,2.5,0.1,0.20340829991996687,0.22329045404514405,0.18425076163771023,0.1748381612388182
0.9,10,2.5,0.25,0.18037113287188508,0.2636906615662294,0.18639453450903548,0.293131833331079
