method,beta,gamma_over_eta,n,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
LSE,0.75,0.1,7,2,2,0.0,1.2301485954235356,1.6188043396326404,1.6802800324008682,0.1588138502056485,0.138366937876493,0.18653295624580873,0.6086456230840108,1.4833738071533917,1.2127029398717961,-0.012432709154110003,0.12383885033452702,0.08844547858991653,0.26932614215520423,0.44430937444591756,0.4138139448574281,0.11911038765423637,0.10377520340736975,0.13989971718435654,608.6456230840108,1483.3738071533915,1212.7029398717962,-12.43270915411,123.83885033452701,88.44547858991652
LSE,0.75,0.1,10,2,2,0.0,0.4260145077797793,0.4440688062016272,0.4461302914641766,-0.0019207750878534602,0.4100941872303417,0.28998674207107367,0.02700468496595801,0.4375348126569941,0.3105601538406145,-0.004592809909960246,0.04306616317892857,0.03079677107013137,-0.03848693830737816,0.1943422051054163,0.1427084116753241,-0.0014405813158900882,0.3075706404227563,0.21749005655330525,27.004684965958006,437.5348126569942,310.5601538406145,-4.592809909960245,43.06616317892857,30.79677107013137
LSE,0.75,0.1,15,2,2,0.0,0.37610643890664824,0.47708619779775047,0.49149408446156095,-0.21168745951062648,0.0716541436716714,0.2176665768250224,0.14571961854937426,0.38167652199204155,0.30671271729445104,0.0009983557999738222,0.002693345825467928,0.0021502953683445744,-0.091205569166148,0.015440316694268858,0.0918567228717129,-0.15876559463296985,0.05374060775375354,0.1632499326187668,145.71961854937427,381.67652199204156,306.712717294451,0.9983557999738224,2.693345825467928,2.1502953683445742
LSE,0.75,0.1,20,2,2,0.0,0.32869256760107424,0.36781908602988617,0.37254612290623135,0.0020459219904913617,0.05910280263180464,0.04184204149247743,-0.0461690039756075,0.4505487799460175,0.32191408556247136,0.050253642006900946,0.016367073131667024,0.0515690709282844,0.40850551734992396,0.10013583571725831,0.4145966117839434,0.0015344414928685213,0.044327101973853485,0.031381531119358076,-46.169003975607495,450.5487799460176,321.91408556247137,50.25364200690095,16.367073131667027,51.569070928284404
LSE,0.75,0.25,7,2,2,0.0,0.49189701630283283,0.5285185485980857,0.5327944986035651,-0.34265138868651646,0.015163831137731744,0.3428191141931631,-0.34534324158277707,0.1009960233928392,0.35265004307029907,0.004834788391345456,0.010227564242922314,0.008699236401009018,-0.047023033398297026,0.038105188328528515,0.05419564889134248,-0.2569885415148873,0.011372873353298797,0.2571143356448723,-345.34324158277707,100.99602339283922,352.6500430702991,4.834788391345455,10.227564242922314,8.699236401009017
LSE,0.75,0.25,10,2,2,0.0,0.39621193525440535,0.4475359058635991,0.4537905693788095,0.013856009746004094,0.05647885647524025,0.04227197204362194,0.06389920748750563,0.5475088166746546,0.3923850925886093,0.034065429098174116,0.01187128233765057,0.03508442862314898,0.13133488384366296,0.06799613920588443,0.13985917627271172,0.01039200730950307,0.042359142356430186,0.031703979032716455,63.899207487505635,547.5088166746544,392.3850925886093,34.06542909817412,11.871282337650571,35.08442862314898
LSE,0.75,0.25,15,2,2,0.0,0.279996822351873,0.31350796280191884,0.31755871556580434,0.029852499338048823,0.0003660574898413556,0.029853621485024896,-0.2722100276603746,0.06000972228852194,0.27549751821647084,0.03926211399863752,0.011539988934006769,0.04010111305114245,0.1329171245432273,0.04773708305282549,0.13713634290747284,0.02238937450353662,0.00027454311738101607,0.022390216113768673,-272.21002766037464,60.00972228852194,275.49751821647084,39.26211399863752,11.539988934006766,40.10111305114245
LSE,0.75,0.25,20,2,2,0.0,0.543333256163892,0.7234420546545681,0.753629395170408,0.009427544685828654,0.2252027819154064,0.1595212371128758,0.36503113263398856,0.5222824476396352,0.5192660256056395,-0.008636348609603004,0.010218639640567599,0.01126040920031246,0.023403302092917622,0.09104692624157892,0.0685017221526008,0.007070658514371497,0.1689020864365548,0.11964092783465687,365.0311326339886,522.2824476396353,519.2660256056396,-8.636348609603004,10.2186396405676,11.260409200312461
LSE,0.75,0.5,7,2,2,0.0,0.5188437365316323,0.6184390581193169,0.6313060817341705,-0.054098192536313025,0.17114141082426249,0.1325568017310145,-0.1659940147424007,0.6527859017978818,0.49052903045929636,0.0810609864937452,0.09421150670989135,0.10492276935733776,0.13847819640688527,0.18362068667415327,0.18982752478881368,-0.040573644402234765,0.12835605811819686,0.09941760129826087,-165.99401474240068,652.7859017978818,490.52903045929634,81.06098649374519,94.21150670989135,104.92276935733774
LSE,0.75,0.5,10,2,2,0.0,0.4838478729373876,0.632197201485855,0.6550620158037586,-0.1693878510551025,0.2938953980015009,0.26810351838104607,-0.3645855222269465,0.24178955820188247,0.4026831238644426,-0.00520275309739958,0.009848928136595703,0.00869306232074832,-0.028825117417261115,0.004170286501837166,0.028975559336664975,-0.1270408882913269,0.2204215485011257,0.20107763878578455,-364.58552222694647,241.78955820188247,402.6831238644426,-5.2027530973995795,9.848928136595704,8.69306232074832
