method,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
LSE,840,840,0.0,0.8999600031418016,1.7156428392409777,2.2185797759898005,0.01585227513429856,0.6401655071724531,0.6399807027705309,-0.025783114796896028,0.4776732693994145,0.47808460367272304,0.02355191327839785,0.41404977765359097,0.41447294129704587,0.06005735175764011,0.20180433077293783,0.21043619291932544,0.020876696477745194,2.4056188292017175,2.4042771262540166,-25.783114796896022,477.6732693994145,478.08460367272306,23.55191327839785,414.0497776535909,414.47294129704585
WMLE,840,756,0.09999999999999998,0.8319951096386391,1.634146104643533,1.6439464982824463,-0.22120944503712964,0.3827378565337718,0.44184626042209746,-0.24758157396560232,0.307553823940838,0.39466551938822114,0.22821928352116622,0.2635008814056719,0.34846077778931056,0.0873776346801271,0.19736702042991724,0.21572451340440998,-0.9955067220033231,1.3827200183147348,1.7030617413855218,-247.5815739656023,307.553823940838,394.6655193882211,228.21928352116623,263.5008814056719,348.46077778931055
