method,R_mean_loss,J1,count
Default,0.3926912312367119,0.6266508048640103,16000
Paper-MLP,0.3395311145469527,0.5826929848101423,16000
In-domain-current-MLP,0.3226679984598297,0.5680387297181678,16000
Z-only-empirical-reference,0.3156581752393114,0.5618346511557573,16000
L6-complete-information,0.2406463567940521,0.490557190135923,16000
