n,quantile,excess_loss
7,0.5,0.03831845508853511
7,0.9,0.3230374587063131
7,0.99,0.847259614257931
10,0.5,0.035801995351287426
10,0.9,0.2831847851108682
10,0.99,0.765617954346104
15,0.5,0.038492646025863546
15,0.9,0.25369018030000257
15,0.99,0.6430535809941624
20,0.5,0.03314642317324665
20,0.9,0.21510893032064504
20,0.99,0.5219646993104895
