n,fold,seed,mse_p,mse_q,mse_qp,mse_qcp
7,1,42,0.04055187458410536,0.039258311750997366,0.0374735994998117,0.03697341775865765
7,1,2026,0.04166970538905999,0.03869609654490744,0.03798812636364964,0.036753767151434295
7,1,3407,0.04070281461070251,0.038885969142592354,0.037376766158288915,0.03719571771702478
7,1,17,0.04122693524730483,0.03888184117911787,0.03730150012158478,0.03719994890308243
7,1,73,0.04135836548684009,0.038581223100918605,0.03714483685582367,0.03682901870488828
7,1,314,0.04177140462959021,0.038606813402966275,0.037044186397163184,0.0371434371344966
7,1,2718,0.04131441154314594,0.03888860704422964,0.03712103925864265,0.036745508968420555
7,1,4099,0.041692154935374176,0.038770651233699376,0.03782064580223666,0.03718175779358159
7,1,8128,0.03956929399426821,0.03862904259801951,0.03750193146551742,0.03678787509842232
7,1,12011,0.04222269842780462,0.03833496547397145,0.03687347127265407,0.03665776582866455
7,2,42,0.048595410937094595,0.04310361554167076,0.042319052966965795,0.04264845808356484
7,2,2026,0.04671525018200191,0.04261772980628474,0.042486313338021935,0.041988866704649845
7,2,3407,0.04909055531489158,0.04330043394237739,0.04302355133833316,0.04227886118397491
7,2,17,0.046226841692403306,0.04269714015236231,0.04234063231784173,0.04187977698639202
7,2,73,0.04998165839540367,0.042870752502568686,0.043039298580071314,0.04244767075472679
7,2,314,0.04696118650645894,0.04256542442195256,0.042778973354437255,0.04189907667853135
7,2,2718,0.046592966677303845,0.042783039257254324,0.043026506817101906,0.041732268904592994
7,2,4099,0.046714049160954285,0.0432366375667691,0.04259260294420405,0.041996886532151285
7,2,8128,0.046016928416071384,0.042715635156346764,0.04210921072742289,0.0421878126245833
7,2,12011,0.04599733900495368,0.04241268469748793,0.04258826851547963,0.0417525449614175
7,3,42,0.04376814390351528,0.042752381739594586,0.041278727306021355,0.04083920154969993
7,3,2026,0.047339322567431744,0.04313971150549565,0.04145740842517848,0.04127648918830079
7,3,3407,0.045377943223869,0.0424797960010253,0.04168631559591343,0.04106148571602081
7,3,17,0.04476299599007556,0.042374696536717105,0.04147399618649783,0.04087422318058729
7,3,73,0.04727529248381101,0.0427852214276414,0.04147389719633918,0.04099657366079491
7,3,314,0.04514164599023762,0.04275714797463338,0.04180584587384459,0.04108130434926861
7,3,2718,0.04679722223246987,0.04303630677135235,0.041274611544556826,0.04104507430332502
7,3,4099,0.04690406903867818,0.04292287979178837,0.04154179722242213,0.04112350299404098
7,3,8128,0.045829253637425495,0.04300976986367409,0.0410695182036881,0.041205341237758764
7,3,12011,0.04642328079439508,0.042724530362620916,0.041417844391367115,0.040948978119378386
7,4,42,0.04304600545908623,0.041702656277565815,0.04011454777403978,0.03981974128561956
7,4,2026,0.04191657107183178,0.04129301757369826,0.03987720311331754,0.03994392580594149
7,4,3407,0.04369285670022123,0.04115226368971642,0.04001747701475097,0.03967171910911834
7,4,17,0.04294149078111922,0.041821271510243285,0.03996862880538185,0.039550458476894014
7,4,73,0.04295591496130594,0.04136741625327735,0.040317758632033275,0.039810543481560275
7,4,314,0.04234702185243236,0.04148165304098839,0.040769712835370425,0.03984479239514212
7,4,2718,0.042861356916501246,0.041481854770623196,0.039887245447172266,0.03980710555877957
7,4,4099,0.04150804198536594,0.042010925196864626,0.040290803635850685,0.04013711507746334
7,4,8128,0.04198740049715293,0.04117327058373763,0.040000447634442195,0.03982740022211234
