epoch,train_loss,val_loss,lr
1,0.48242265,0.4160478,0.001
2,0.39217532,0.38835999,0.001
3,0.37968608,0.38384508,0.001
4,0.37413501,0.3757025,0.001
5,0.36880865,0.37951541,0.001
6,0.3644724,0.36763522,0.001
7,0.35975517,0.37114392,0.001
8,0.35640955,0.36081273,0.001
9,0.35169306,0.3529156,0.001
10,0.34881263,0.34990466,0.001
11,0.34541143,0.34900284,0.001
12,0.34425188,0.34776114,0.001
13,0.34149598,0.34463122,0.001
14,0.33900836,0.34475733,0.001
15,0.33749265,0.34872593,0.001
16,0.33659061,0.34410038,0.001
17,0.33600824,0.34049639,0.001
18,0.3363272,0.35609077,0.001
19,0.33513565,0.34459274,0.001
20,0.33411091,0.34785674,0.001
21,0.33384249,0.34463163,0.001
22,0.33175309,0.34505776,0.001
23,0.33212246,0.337802,0.001
24,0.33176376,0.33779273,0.001
25,0.32914195,0.34154863,0.001
26,0.32863416,0.33613273,0.001
27,0.3288749,0.33422935,0.001
28,0.32788964,0.33595019,0.001
29,0.32697415,0.33599779,0.001
30,0.3262838,0.33628004,0.001
31,0.32511914,0.32962269,0.001
32,0.32415486,0.33541389,0.001
33,0.32374557,0.33186017,0.001
34,0.32204935,0.32900007,0.001
35,0.31959452,0.32488061,0.001
36,0.31820076,0.32690017,0.001
37,0.31782351,0.32164574,0.001
38,0.3151975,0.32827179,0.001
39,0.31245691,0.32479996,0.001
40,0.31318842,0.32267347,0.001
41,0.31181052,0.32466376,0.001
42,0.31130408,0.32471219,0.001
43,0.31012231,0.31649301,0.001
44,0.30908171,0.32174491,0.001
45,0.30929707,0.31686689,0.001
46,0.30912075,0.3120323,0.001
47,0.30839688,0.32231647,0.001
48,0.30815695,0.3126905,0.001
49,0.30724901,0.31370964,0.001
50,0.3068171,0.32110532,0.001
51,0.30768513,0.33705551,0.001
52,0.30640753,0.31659189,0.001
53,0.30613043,0.31499486,0.001
54,0.30584631,0.31232263,0.001
55,0.30597206,0.31659471,0.001
56,0.30609674,0.31285444,0.001
57,0.30489938,0.31542762,0.001
58,0.29939728,0.31255656,0.0005
59,0.29957574,0.30831852,0.0005
60,0.29850132,0.31282024,0.0005
61,0.29877749,0.31080169,0.0005
62,0.29811367,0.30747101,0.0005
63,0.29799343,0.30694921,0.0005
64,0.29806593,0.31449698,0.0005
65,0.29800268,0.31206297,0.0005
66,0.29826109,0.31256543,0.0005
67,0.29738814,0.30962247,0.0005
68,0.2976175,0.31219806,0.0005
69,0.29793834,0.31028518,0.0005
70,0.29770974,0.30867149,0.0005
71,0.29762558,0.30628649,0.0005
72,0.29690171,0.31260491,0.0005
73,0.29743976,0.30739243,0.0005
74,0.29666104,0.30625725,0.0005
75,0.29699813,0.30682865,0.0005
76,0.29695707,0.30646785,0.0005
77,0.29610042,0.30874403,0.0005
78,0.29689279,0.30725792,0.0005
79,0.29667152,0.30979375,0.0005
80,0.29611861,0.30571278,0.0005
81,0.29588822,0.3094989,0.0005
82,0.29608822,0.30888702,0.0005
83,0.29553891,0.30909632,0.0005
84,0.29557272,0.30950155,0.0005
85,0.29563951,0.30757937,0.0005
86,0.29592791,0.3063715,0.0005
87,0.29556774,0.31214569,0.0005
88,0.29513123,0.30816499,0.0005
89,0.29553886,0.31003982,0.0005
90,0.29462582,0.30680097,0.0005
91,0.29430782,0.30989705,0.0005
92,0.29158696,0.3050669,0.00025
93,0.29104069,0.31061146,0.00025
94,0.2911263,0.30398876,0.00025
95,0.29129716,0.30486768,0.00025
96,0.29096832,0.30468248,0.00025
97,0.29126014,0.30487394,0.00025
98,0.29079702,0.30502158,0.00025
99,0.29091698,0.30865595,0.00025
100,0.29059948,0.30515225,0.00025
101,0.29054835,0.30573475,0.00025
102,0.2902783,0.30411225,0.00025
103,0.29041671,0.31168227,0.00025
104,0.29054087,0.30441291,0.00025
105,0.29033477,0.30542644,0.00025
106,0.28846363,0.30484915,0.000125
107,0.28837117,0.30383747,0.000125
108,0.28833022,0.30381034,0.000125
109,0.28835389,0.30493535,0.000125
110,0.28825038,0.30312098,0.000125
111,0.28809038,0.30524398,0.000125
112,0.28805779,0.3046333,0.000125
113,0.28793716,0.30432582,0.000125
114,0.28806366,0.30700831,0.000125
115,0.28794338,0.30409581,0.000125
116,0.28799643,0.30365407,0.000125
117,0.28794945,0.30425879,0.000125
