epoch,train_loss,val_loss,lr
1,0.44401806,0.39295956,0.001
2,0.37193734,0.36752405,0.001
3,0.35075551,0.34848988,0.001
4,0.33928768,0.32656134,0.001
5,0.32436694,0.31968691,0.001
6,0.31424734,0.32790537,0.001
7,0.30977137,0.32217058,0.001
8,0.30619304,0.30824136,0.001
9,0.30345543,0.30307564,0.001
10,0.30148921,0.33512967,0.001
11,0.30017403,0.29712745,0.001
12,0.29801103,0.29341345,0.001
13,0.29708105,0.29647322,0.001
14,0.29540938,0.29615557,0.001
15,0.29594038,0.29785477,0.001
16,0.29392094,0.2929847,0.001
17,0.29356044,0.31006094,0.001
18,0.29272178,0.30357554,0.001
19,0.2928089,0.29389619,0.001
20,0.29211093,0.30337457,0.001
21,0.29148963,0.28713804,0.001
22,0.29016546,0.28506498,0.001
23,0.29008794,0.30928194,0.001
24,0.28914811,0.29110389,0.001
25,0.29032064,0.29194444,0.001
26,0.28851372,0.28685867,0.001
27,0.28888118,0.28888886,0.001
28,0.28743638,0.28544907,0.001
29,0.28723771,0.28873842,0.001
30,0.28683276,0.28763151,0.001
31,0.28680201,0.29371452,0.001
32,0.28623246,0.28777406,0.001
33,0.28618346,0.28843222,0.001
34,0.27799542,0.28070286,0.0005
35,0.27759995,0.28339419,0.0005
36,0.27706095,0.27827973,0.0005
37,0.27693184,0.27743673,0.0005
38,0.27659281,0.28097644,0.0005
39,0.27648024,0.27931201,0.0005
40,0.27647202,0.27783682,0.0005
41,0.27610088,0.27888379,0.0005
42,0.27589656,0.28291555,0.0005
43,0.27561797,0.27694112,0.0005
44,0.27592939,0.28308648,0.0005
45,0.27567155,0.27789248,0.0005
46,0.27530492,0.27739167,0.0005
47,0.27512357,0.27803037,0.0005
48,0.27544068,0.27640446,0.0005
49,0.27539631,0.27925531,0.0005
50,0.27519728,0.28089403,0.0005
51,0.27514309,0.28031707,0.0005
52,0.27521765,0.28249915,0.0005
53,0.27517082,0.28078856,0.0005
54,0.27496538,0.27677637,0.0005
55,0.27459117,0.27813142,0.0005
56,0.27477319,0.28229928,0.0005
57,0.27494926,0.27823511,0.0005
58,0.27471235,0.27818048,0.0005
59,0.27470794,0.28057047,0.0005
60,0.27044521,0.27441551,0.00025
61,0.27009826,0.27602559,0.00025
62,0.27000533,0.27599397,0.00025
63,0.26992962,0.27552749,0.00025
64,0.26989229,0.27486564,0.00025
65,0.26955116,0.27406826,0.00025
66,0.26976516,0.27371529,0.00025
67,0.26962896,0.27291984,0.00025
68,0.26975587,0.27413941,0.00025
69,0.26972012,0.27379892,0.00025
70,0.2695047,0.27400019,0.00025
71,0.26956525,0.27571077,0.00025
72,0.26944194,0.27842731,0.00025
73,0.26941118,0.27313169,0.00025
74,0.26930016,0.27379429,0.00025
75,0.26928029,0.27355389,0.00025
76,0.26916652,0.27582634,0.00025
77,0.26926132,0.2720443,0.00025
78,0.26911797,0.27434062,0.00025
79,0.26903089,0.27307808,0.00025
80,0.26911138,0.27378965,0.00025
81,0.26917273,0.27807572,0.00025
82,0.26897649,0.27369394,0.00025
83,0.26911509,0.27502349,0.00025
84,0.26884409,0.2729345,0.00025
85,0.2687678,0.27452238,0.00025
86,0.26892775,0.27421136,0.00025
87,0.26897698,0.27437906,0.00025
88,0.26857461,0.27301302,0.00025
89,0.26637845,0.2730432,0.000125
90,0.26630731,0.27171548,0.000125
91,0.26616007,0.27207326,0.000125
92,0.26608581,0.27282057,0.000125
93,0.26610231,0.27307849,0.000125
94,0.26608202,0.27245522,0.000125
95,0.26611853,0.27225741,0.000125
96,0.26604195,0.27152994,0.000125
97,0.26600241,0.27204424,0.000125
98,0.26593665,0.27176935,0.000125
99,0.26597241,0.27188689,0.000125
100,0.26590453,0.27231116,0.000125
101,0.26594879,0.27178849,0.000125
102,0.26570367,0.27236613,0.000125
103,0.26590852,0.27300626,0.000125
104,0.26569682,0.27158508,0.000125
105,0.26581671,0.27313457,0.000125
106,0.26572759,0.27458625,0.000125
107,0.26574305,0.27368296,0.000125
108,0.26450298,0.27122352,6.25e-05
109,0.26443789,0.27081059,6.25e-05
110,0.26438192,0.27108599,6.25e-05
111,0.26440582,0.27168179,6.25e-05
112,0.26432746,0.27106214,6.25e-05
113,0.26427827,0.2706381,6.25e-05
114,0.26433586,0.2709923,6.25e-05
115,0.26425025,0.27064563,6.25e-05
116,0.26420497,0.27073116,6.25e-05
117,0.264222,0.27079709,6.25e-05
118,0.26429249,0.27074795,6.25e-05
119,0.26421378,0.27163588,6.25e-05
120,0.26421607,0.27175044,6.25e-05
121,0.26408396,0.27080358,6.25e-05
122,0.26420735,0.27056504,6.25e-05
123,0.26405714,0.27089832,6.25e-05
124,0.26415915,0.27224607,6.25e-05
125,0.26416299,0.27077937,6.25e-05
126,0.26407269,0.27039875,6.25e-05
127,0.2640558,0.27073566,6.25e-05
128,0.26402814,0.27077539,6.25e-05
129,0.26406749,0.27126861,6.25e-05
130,0.2641288,0.27073777,6.25e-05
131,0.26404052,0.27053187,6.25e-05
132,0.26401166,0.27077426,6.25e-05
133,0.26399185,0.27109782,6.25e-05
134,0.26392044,0.27069442,6.25e-05
135,0.26400236,0.27165817,6.25e-05
136,0.26395626,0.27069364,6.25e-05
137,0.26392499,0.27178122,6.25e-05
138,0.26327326,0.27059267,3.125e-05
139,0.26325826,0.27043973,3.125e-05
140,0.26324219,0.2702241,3.125e-05
141,0.2632609,0.27036312,3.125e-05
142,0.2632224,0.27034219,3.125e-05
143,0.26316116,0.27106672,3.125e-05
144,0.26318663,0.2704229,3.125e-05
145,0.26318006,0.27051173,3.125e-05
146,0.26316462,0.27087425,3.125e-05
147,0.26321043,0.27053843,3.125e-05
148,0.26314681,0.2707928,3.125e-05
149,0.26314331,0.2704782,3.125e-05
150,0.26311102,0.2706287,3.125e-05
151,0.26314384,0.27032373,3.125e-05
152,0.26278794,0.27026089,1.5625e-05
153,0.26275398,0.27028466,1.5625e-05
154,0.26275851,0.27025882,1.5625e-05
155,0.26276615,0.27031219,1.5625e-05
156,0.26275732,0.27027481,1.5625e-05
157,0.26272991,0.27021231,1.5625e-05
158,0.26273316,0.2703121,1.5625e-05
159,0.26273504,0.27031015,1.5625e-05
160,0.26273116,0.2702297,1.5625e-05
161,0.2626982,0.27016661,1.5625e-05
162,0.26271668,0.27031185,1.5625e-05
163,0.26271483,0.27053246,1.5625e-05
164,0.26272126,0.27012321,1.5625e-05
165,0.26269187,0.27014878,1.5625e-05
166,0.26267589,0.2702673,1.5625e-05
167,0.26266869,0.27033634,1.5625e-05
168,0.26268998,0.27049733,1.5625e-05
169,0.26269761,0.27022534,1.5625e-05
170,0.26267106,0.27037957,1.5625e-05
171,0.26265317,0.27012885,1.5625e-05
172,0.26266852,0.27016683,1.5625e-05
173,0.26266613,0.27019854,1.5625e-05
174,0.26264906,0.27021345,1.5625e-05
175,0.26265464,0.27021723,1.5625e-05
176,0.26249291,0.27021179,7.8125e-06
177,0.26244965,0.27019042,7.8125e-06
178,0.26245474,0.27010657,7.8125e-06
179,0.26245579,0.27014841,7.8125e-06
180,0.26245782,0.2701809,7.8125e-06
181,0.26244369,0.27012377,7.8125e-06
182,0.26244863,0.27022098,7.8125e-06
183,0.26244819,0.27016464,7.8125e-06
184,0.26245697,0.27007452,7.8125e-06
185,0.26244471,0.27013468,7.8125e-06
186,0.2624123,0.27011973,7.8125e-06
187,0.26242263,0.27015512,7.8125e-06
188,0.26243181,0.27023714,7.8125e-06
189,0.26242574,0.27012027,7.8125e-06
190,0.2624243,0.27015931,7.8125e-06
191,0.26242251,0.27011736,7.8125e-06
192,0.26242116,0.27016045,7.8125e-06
193,0.26240896,0.27012036,7.8125e-06
194,0.2624069,0.2700245,7.8125e-06
195,0.26239625,0.27017422,7.8125e-06
196,0.2624209,0.27003564,7.8125e-06
197,0.26240036,0.27030425,7.8125e-06
198,0.26239874,0.27030369,7.8125e-06
199,0.26241966,0.27009864,7.8125e-06
200,0.26240673,0.27026716,7.8125e-06
201,0.26241317,0.27011504,7.8125e-06
202,0.26238643,0.2702998,7.8125e-06
203,0.26239584,0.27021318,7.8125e-06
204,0.26240043,0.27013219,7.8125e-06
205,0.26238269,0.27013985,7.8125e-06
206,0.26229729,0.27005038,3.90625e-06
207,0.26229206,0.27007951,3.90625e-06
208,0.26228666,0.27005875,3.90625e-06
209,0.26228819,0.27006389,3.90625e-06
210,0.26229329,0.27008068,3.90625e-06
211,0.26228127,0.27012007,3.90625e-06
212,0.26228901,0.27004612,3.90625e-06
213,0.26227195,0.27011858,3.90625e-06
214,0.26228201,0.27010893,3.90625e-06
215,0.26226884,0.27007318,3.90625e-06
216,0.26228138,0.2700976,3.90625e-06
217,0.26223106,0.27005537,1.953125e-06
218,0.26222423,0.2700558,1.953125e-06
219,0.26221881,0.27010492,1.953125e-06
220,0.26222665,0.27008689,1.953125e-06
221,0.26222186,0.27006657,1.953125e-06
