n,beta,eta,gamma,t1,t2,t3,t4,t5,t6,t7,optimal_delta,best_relative_mse
7,2.0,100.0,1000,1018.5053832547951,1034.5703033296552,1082.307193293038,1093.0640950317884,1106.2946713068118,1129.1532885755648,1133.5438340501912,0.321,0.014470922290656411
7,2.0,100.0,1000,1057.296219783136,1059.7718736836841,1081.2747688825107,1092.10256322622,1097.0375568591978,1120.7292703681621,1136.7530796377318,0.031,0.09828228948590227
7,2.0,100.0,1000,1021.3960455461981,1039.9152871062174,1087.4179547945087,1087.8487636003667,1106.4073713478942,1158.787477574618,1165.0372830258075,0.311,0.05617985055214242
7,2.0,100.0,1000,1036.9093611321607,1072.818048851421,1080.1471867745697,1088.6133462747396,1121.055797667739,1128.01618306912,1199.2210432342497,0.231,0.012239321413260458
7,2.0,100.0,1000,1027.9131199973913,1044.4580803267352,1045.3148877962265,1061.8571397243718,1066.0861846539074,1082.806393997287,1108.3021512426158,0.021,0.1308109392039256
7,2.0,100.0,1000,1034.9293453480352,1054.1398919060073,1076.1348718716324,1122.590099121566,1139.5956705276483,1145.9065262652202,1194.070449580185,0.211,0.0748011870284715
7,2.0,100.0,1000,1031.9677820210363,1031.9908909061835,1064.598187230776,1075.6789606926363,1099.330873850524,1116.1030074034977,1121.8518865994806,0.111,0.01723665948965348
7,2.0,100.0,1000,1034.9265564388493,1037.5353512834101,1043.4898196399968,1085.9437600840624,1094.6937037327925,1096.5995084776932,1103.1615657039604,0.081,0.08899743448435324
7,2.0,100.0,1000,1035.4154681149435,1037.1233428680962,1096.441498250956,1103.91426611991,1134.2392434939861,1221.2087101889929,1277.2576233941286,0.211,0.2183210698402872
7,2.0,100.0,1000,1042.0514774649662,1056.3949944124306,1072.364122410247,1073.3445396499837,1094.4733191995392,1114.368930469261,1116.3791448606987,0.081,0.07592053430255341
7,2.0,100.0,1000,1057.453168952547,1058.0317520233295,1101.7291661608378,1126.4329013446445,1141.8492322811082,1166.7784625412692,1179.4285390577436,0.201,0.010968964273371396
7,2.0,100.0,1000,1037.0545694059267,1053.1379659882555,1070.1516911456158,1070.662359566315,1087.6675322556712,1100.1452794661143,1137.079366074968,0.051,0.04763629403934333
7,2.0,100.0,1000,1018.2133427386457,1023.8772835870395,1100.0660700486342,1125.4392559755001,1126.8942867510623,1150.9183686396682,1182.1751630890478,0.761,0.015181959762819525
7,2.0,100.0,1000,1051.467024709029,1074.5858525341619,1083.449715781181,1098.3333893166725,1109.079379734761,1133.3003579227486,1164.1019316941695,0.141,0.00954737946215201
7,2.0,100.0,1000,1029.2597517602746,1047.3028600496643,1087.1860366639714,1089.216999563751,1114.6488686892988,1120.3006612031518,1124.0670279548774,0.271,0.00047705082255078353
7,2.0,100.0,1000,1006.8291964553787,1032.9723740558497,1048.5584916268012,1104.3694638023965,1122.4091807735483,1185.6005941883889,1202.0108223812279,0.271,0.2389330832683631
7,2.0,100.0,1000,1041.6984105393324,1046.0449688783622,1092.6517011266355,1100.4123068576175,1104.540883117168,1137.5095067348286,1150.094393755262,0.211,0.0008583645157808304
7,2.0,100.0,1000,1016.8329448428544,1040.368459195807,1073.2874386828694,1077.772098107385,1083.1056885837831,1118.5968803227345,1164.7279494382954,0.251,0.012278111000320306
7,2.0,100.0,1000,1020.0031229358253,1048.411597076711,1054.6059527850573,1067.68838921923,1091.719927062428,1104.7284722476418,1112.5088616921546,0.251,0.01686471367956776
7,2.0,100.0,1000,1039.3906789950668,1047.6300138742765,1067.373899630982,1091.7933902602233,1113.1625455716662,1113.657254037414,1157.7768876487212,0.011,0.002842596783721749
7,2.0,100.0,1000,1061.0070754667365,1088.3148069277595,1111.1493060125636,1123.3785417918448,1127.9489057598437,1143.0679685876773,1158.4583728118118,0.301,0.01351359420676828
7,2.0,100.0,1000,1016.3181429074514,1028.1083591468828,1050.219378914102,1059.6333604205054,1066.851550767696,1070.8134270986313,1096.5258473979827,0.151,0.08437294251411773
7,2.0,100.0,1000,1034.9968757506501,1056.7576743997968,1082.5996981081992,1128.8017967095134,1131.7185357148896,1144.681576478062,1234.241976105695,0.221,0.12040828997862812
7,2.0,100.0,1000,1027.8156971153883,1054.263888070081,1068.2342764484983,1086.1712546989356,1087.9575909001624,1105.6442118260181,1130.3243427042512,0.281,0.014699642764765507
7,2.0,100.0,1000,1022.4718685096003,1036.14988645111,1051.835447288517,1063.0485559726808,1070.3805682582533,1081.577107201774,1101.0872107638584,0.161,0.08730025518284036
7,2.0,100.0,1000,1033.3450110708638,1067.2977897483768,1075.7462829995877,1080.3491686090638,1103.3619734201613,1106.6616580770344,1132.3861061937187,0.291,0.03597923787193142
7,2.0,100.0,1000,1051.37324457214,1051.4234700922723,1052.6981040714581,1094.1954117870896,1104.5037705158372,1117.6893443554163,1119.2803224638963,0.071,0.11230705960236782
7,2.0,100.0,1000,1019.518423953371,1041.0955024480609,1049.5410521606661,1077.790789725775,1081.668188928864,1117.7967918127229,1124.916442607679,0.121,0.0015231119403760396
7,2.0,100.0,1000,1020.3010473827482,1033.5824935832934,1056.12312396186,1084.8360835907815,1086.0005279896977,1132.1715631337238,1139.8239978858787,0.061,0.004899460289967608
7,2.0,100.0,1000,1011.6399764331641,1086.485314532052,1088.2171882082575,1089.6079766081114,1106.3809532337764,1128.7070787316568,1131.4492631933385,0.221,0.5696760985028132
7,2.0,100.0,1000,1007.572307682766,1033.3640860763132,1049.6591773021298,1064.764959188766,1086.0459690334665,1104.1086457300037,1135.4147978256358,0.321,0.00393429635148154
7,2.0,100.0,1000,1027.5428645538798,1091.6216994059369,1092.696746320724,1100.2520524991844,1112.194478412956,1135.3249551389652,1136.1111397751627,0.251,0.3240873323631992
7,2.0,100.0,1000,1037.587310029089,1063.1148244541255,1070.0701035674672,1079.023266895466,1080.749056841397,1085.9687162505666,1087.6493773746433,0.191,0.38569780533034387
7,2.0,100.0,1000,1021.3991267520698,1065.5851335891693,1078.0351237158097,1092.430912135904,1112.713369639781,1130.8256151919318,1163.3947437673794,0.471,0.008754406731977186
7,2.0,100.0,1000,1010.5115212665409,1081.8241897056719,1124.6711868068614,1135.1864258406606,1137.3157099146651,1163.6690540993704,1176.443857275794,0.381,0.24431366216691616
7,2.0,100.0,1000,1004.7248369638754,1026.6158537092754,1055.2321025783747,1066.62031401144,1068.096138063091,1104.4861970762843,1141.7007794258536,0.221,0.0061689176922631005
7,2.0,100.0,1000,1009.2205124319898,1048.4870965223574,1061.0739324754445,1083.1186895465662,1101.155237850041,1109.5658470101994,1152.0142816831976,0.441,0.014043761415407467
7,2.0,100.0,1000,1054.8101866279014,1058.682649183323,1096.5183349928125,1106.806926560075,1117.8256858990683,1142.1189327520774,1142.665946772265,0.161,0.014261276757547535
7,2.0,100.0,1000,1053.7570352841467,1074.1950968729707,1085.5361963442353,1103.3484062008902,1118.2971111372913,1123.186040462176,1154.3954806412228,0.191,0.02029958765562765
7,2.0,100.0,1000,1031.1813994018828,1043.0679386535653,1081.206648570613,1093.9782573523382,1115.6108056816408,1143.697606556483,1148.4770636710164,0.191,0.012278512054118762
7,2.0,100.0,1000,1015.901266210207,1036.7319490432465,1058.571335268999,1058.6285972284854,1089.5425752157287,1104.030862720535,1127.4176494302658,0.181,0.0016950965324627355
7,2.0,100.0,1000,1033.7922973945408,1045.0638271475832,1056.3309889355348,1069.2771621946313,1072.0418689165774,1074.081514391534,1086.6003514642455,0.121,0.2413864224841148
7,2.0,100.0,1000,1014.8326786512712,1058.2600990912842,1071.7241646957973,1073.3804284763214,1112.6961485905733,1149.438981043224,1195.2913277208497,0.481,0.06619977517391569
7,2.0,100.0,1000,1015.931458977025,1055.2564312739057,1058.9658847135279,1089.9299644598213,1093.105673019772,1137.3276580873376,1143.6809627876737,0.361,0.009727391348481669
7,2.0,100.0,1000,1016.4651915992092,1048.7036041463932,1065.927583473058,1113.930069881686,1115.020652945789,1142.0170680301803,1145.1989663406384,0.381,0.05311538485543902
7,2.0,100.0,1000,1029.2530612333644,1084.9705971116543,1095.8034605572473,1108.3934149346924,1117.3586939917602,1139.594228783349,1180.0334474337487,0.431,0.005661646894788464
7,2.0,100.0,1000,1018.2331265972791,1033.9696192507527,1088.0478564130922,1095.1665375475166,1114.458794138199,1123.220639156014,1125.0829762968929,0.341,0.008653410418649875
7,2.0,100.0,1000,1027.9752278303386,1037.760227161168,1077.1282460551001,1101.7114947234675,1115.4572089670091,1118.2228019511012,1164.1903714187629,0.211,0.014909420845985963
7,2.0,100.0,1000,1089.79039938282,1101.604881003557,1127.86140509323,1128.5618941786593,1133.9497609070231,1158.0164594278895,1198.4856753673866,0.031,0.03450822261095272
7,2.0,100.0,1000,1011.5492734101564,1045.036084075906,1048.0794431427066,1049.367423970885,1079.3422589992076,1099.9474190819167,1137.8455929941322,0.191,0.004129275952046561
7,2.0,100.0,1000,1011.9410827183625,1018.1828052848355,1030.6568060445477,1091.158008991749,1129.20577242596,1130.9333221275742,1159.6552421238878,0.091,0.05501952589081455
7,2.0,100.0,1000,1033.8297251211536,1072.1824963705253,1075.613790647766,1086.183946292786,1110.6704907043843,1190.2848316237712,1224.980822287148,0.191,0.0834449994669833
7,2.0,100.0,1000,1051.9543762430455,1086.4711491604405,1101.926402134205,1118.210939789712,1124.4395804736332,1146.9718773397644,1172.2782612303572,0.361,0.0008191595668212386
7,2.0,100.0,1000,1042.628597684386,1067.8967214260806,1078.113610341952,1079.8795753312806,1082.7372087173298,1136.775858572461,1156.3555865805924,0.061,0.014862315299902727
7,2.0,100.0,1000,1044.9457414496321,1061.8769861058452,1091.6174729649777,1091.6789087180573,1092.3264240680028,1106.9063114848955,1140.6455803000676,0.191,0.05335474574223795
7,2.0,100.0,1000,1012.8498706597924,1051.738025962605,1062.5295762274495,1069.4832435052601,1075.6837200044542,1110.181036479689,1160.6968577197456,0.291,0.0011836717709434853
7,2.0,100.0,1000,1010.9182757525759,1043.1105636287255,1054.8247718811976,1069.8904373468672,1079.0730125432547,1103.8518598130725,1106.5080984521805,0.311,0.010072035348328151
7,2.0,100.0,1000,1028.996590473888,1075.7597991607902,1078.6018038790965,1088.2312332275094,1102.7025752393192,1105.7101805907967,1138.1504045381012,0.301,0.07805407828848496
7,2.0,100.0,1000,1067.0071328265144,1067.24522417715,1086.75812637347,1087.2906931580205,1112.7557533306153,1123.9065283176799,1139.5382310592408,0.011,0.1566726607953584
7,2.0,100.0,1000,1019.6273400307393,1038.709916308099,1075.4600977371842,1097.5447415483604,1114.5897398239385,1131.8937353457995,1159.7290284926362,0.331,0.044842114292199725
7,2.0,100.0,1000,1048.6760676083616,1070.4792963960406,1102.4400093986835,1109.3382659764534,1117.9088247108164,1156.591947930179,1171.2202270430812,0.261,0.005114203040520967
7,2.0,100.0,1000,1018.7517304889906,1051.1009370810498,1052.580620681621,1061.2739419032303,1083.7083052449648,1100.8711437161273,1126.156565654896,0.241,0.019199028910621398
7,2.0,100.0,1000,1020.4747958327576,1027.5759762670452,1066.3735772409386,1069.635986106025,1079.723223258294,1112.5189582975497,1140.1301764810416,0.121,0.0007460385185577233
7,2.0,100.0,1000,1011.7268872230392,1031.0589025231834,1054.1300712954262,1070.7205700405527,1075.1711127338733,1081.537072288935,1113.986085295734,0.231,0.013585543619621504
7,2.0,100.0,1000,1041.5501809225411,1070.6660178180155,1084.6100417016544,1090.1830310700534,1098.3210479504673,1125.236202184357,1137.8381355387403,0.271,0.027354814573770744
7,2.0,100.0,1000,1012.2329097115921,1067.2856744456692,1068.3982041901745,1101.1301086656354,1114.885938533589,1171.7557209372585,1171.7803896166074,0.811,0.007980262256674687
7,2.0,100.0,1000,1049.6450554382127,1053.0464720583536,1080.2240779556914,1108.7641227015483,1125.204851824564,1143.6660882233311,1162.5588074855884,0.091,0.0002725294535294662
7,2.0,100.0,1000,1018.3333337559119,1067.3059793259908,1089.2691923591983,1108.8255260521046,1115.9999864363606,1126.0152646285133,1273.6069987336932,1.001,0.09447358265467991
7,2.0,100.0,1000,1036.8941498870665,1061.054578592943,1070.6953638508046,1090.5930900464784,1099.6902865767192,1109.738270019658,1110.4251934867198,0.221,0.053638961609444875
7,2.0,100.0,1000,1066.72422971448,1070.8453187865182,1105.4507038764625,1110.7818557450478,1128.8388361753123,1152.666640658443,1162.0418302530597,0.121,0.014313933261387924
7,2.0,100.0,1000,1018.2680203902187,1044.6716003393315,1060.4510292285302,1064.3145285298258,1068.0685935255271,1085.1445719579112,1142.5373972488903,0.131,0.01591250913149735
7,2.0,100.0,1000,1037.3399503694131,1061.2597778578631,1093.6101065361702,1094.5306253035983,1117.0957107074366,1119.5386782156063,1164.0430855971672,0.291,0.0006046979283742374
7,2.0,100.0,1000,1002.2870113721654,1042.4746736247178,1042.5168051327782,1052.6714155051282,1055.509417327131,1101.00548964242,1132.6542465662988,0.241,0.0049504382521092
7,2.0,100.0,1000,1028.310882473436,1067.8812570055431,1099.1965666612705,1113.4719499001392,1140.1163863162053,1147.5603179854654,1252.0305575646235,0.701,0.1332771247771275
7,2.0,100.0,1000,1006.9551203927975,1029.3580538453064,1089.7689846970943,1124.6019072354347,1129.1224461029863,1143.2834369000282,1164.2985532905257,0.761,0.003032601682269702
7,2.0,100.0,1000,1015.5627823091605,1048.7639363323105,1049.7580353484477,1080.3571858474813,1104.222706271706,1130.5234338514615,1132.2597863473668,0.271,0.007616714183464728
7,2.0,100.0,1000,1046.2155151306758,1057.8658057287844,1088.7199836267043,1095.6274240131384,1110.6461308735795,1122.7193131453555,1189.6407161911884,0.011,0.000625846452825604
7,2.0,100.0,1000,1045.0335315582138,1055.8352212466846,1081.4157092682938,1115.79566453666,1132.6321675062077,1136.8795251818485,1143.3594181838562,0.141,0.0007091628383442043
7,2.0,100.0,1000,1033.2217662696705,1033.6690082368,1041.4985438562594,1064.1930319165174,1090.074866155172,1109.4977813564728,1113.085904706741,0.011,0.06723351568582056
7,2.0,100.0,1000,1022.1461451465317,1033.5846749181328,1083.8892736023206,1120.5883096271946,1136.9530506661758,1168.0920127537872,1205.0841741884235,0.401,0.17671464063052725
7,2.0,100.0,1000,1038.438935804628,1064.6476489307552,1066.2078005859698,1078.2623467457047,1093.985175864405,1138.4555803144995,1174.3558406557163,0.011,0.0002160264952377735
7,2.0,100.0,1000,1032.2063297228665,1066.3396154927532,1069.9960244184697,1075.0043936070367,1158.7054422656047,1170.34638671734,1176.1643441713609,0.171,0.05999985823768924
7,2.0,100.0,1000,1014.1918415963579,1046.388575176841,1086.3396757412827,1101.2337338847194,1129.1102597764389,1164.3087617111241,1166.99692886416,0.701,0.12028818183611162
7,2.0,100.0,1000,1096.5620980666058,1103.9856417144624,1136.499569873722,1142.4704092147917,1144.5017438078276,1145.9567248961423,1205.4147507499881,0.071,0.046108287796089165
7,2.0,100.0,1000,1021.1108627640323,1029.9132690446288,1052.008883341767,1109.955077558436,1112.557848106849,1132.771360660275,1168.8504461124744,0.131,0.04263364289566713
7,2.0,100.0,1000,1038.239614294586,1041.1557028532131,1053.0110469165888,1085.783298259129,1089.4879853390617,1097.5651689447382,1115.7945979127862,0.061,0.08474237264205611
7,2.0,100.0,1000,1024.210796255825,1040.2241523065456,1095.1165317405237,1098.7250884484297,1112.8158254782047,1133.0024339720142,1152.7621713442852,0.361,0.01938248934974473
7,2.0,100.0,1000,1028.0261394944584,1074.2291855562485,1079.5038727987749,1113.1194132919334,1116.2775105672288,1122.6806314495927,1127.7731449484786,0.321,0.031534105302649475
7,2.0,100.0,1000,1037.5690714277232,1061.2673019379597,1077.0047724591282,1077.798717945515,1108.338592463187,1116.7357343792867,1128.04614615026,0.211,0.023091887175948945
7,2.0,100.0,1000,1043.479032569245,1054.3028397777298,1058.8505927842436,1063.814588876724,1070.0799925647793,1077.557091555468,1083.5804840084272,0.091,0.39746673945752187
7,2.0,100.0,1000,1013.4941049487296,1067.6583913657225,1102.9321393213747,1106.897970890627,1110.134221204618,1114.8420270835147,1123.7475999328678,0.241,0.3409400880939941
7,2.0,100.0,1000,1020.1916510135837,1063.434306166509,1069.4677949469187,1082.1725747481626,1091.200058126554,1103.0534685385828,1143.2206890983202,0.331,0.013762415419490862
7,2.0,100.0,1000,1040.413873257556,1045.834095905193,1075.9929176168287,1091.3694696099287,1119.9770256973397,1129.3562047546445,1152.9196654578948,0.091,0.00014095444134309282
7,2.0,100.0,1000,1023.0546973670496,1060.3022902683733,1073.212537677184,1082.757673215656,1095.595307322819,1136.4228477842157,1190.9299447705025,0.311,0.026664429754507668
7,2.0,100.0,1000,1028.6871678179423,1053.526519126114,1053.6192142196937,1098.504217870578,1111.0678370616529,1136.40272784163,1137.7957805224116,0.151,0.0026947853226947406
7,2.0,100.0,1000,1025.0047272397057,1040.7077752301764,1058.488823252527,1079.4810076914437,1079.7694644623791,1105.1967355708464,1119.7469912581057,0.151,0.01794972696736149
7,2.0,100.0,1000,1002.2741365191748,1019.8786760761932,1044.2501547043764,1047.1485027977708,1071.584900094887,1098.4097097694803,1136.3353488926014,0.061,0.0027598282530214356
7,2.0,100.0,1000,1005.0032701751086,1073.679467859281,1074.2158794708903,1075.02103799174,1097.8908208781581,1119.7395422110105,1140.7437338455002,0.301,0.16276977732705003
7,2.0,100.0,1000,1030.278609634631,1032.381863914612,1072.9093111357847,1091.5525805431048,1099.513067399112,1144.6402486940349,1165.291489721884,0.121,0.011017480323054727
7,2.0,100.0,1000,1042.2543166909265,1073.1272042695111,1074.8408681312178,1075.2333939264515,1083.2260124122683,1137.8667083304838,1164.9140644491013,0.081,0.014300677998603847
7,2.0,100.0,1000,1009.8155573364872,1035.2292945217382,1043.675174481873,1083.001133575013,1091.1384421298897,1102.3975706573865,1125.8791335412297,0.231,0.0022089394533070057
7,2.0,100.0,1000,1020.3508909339882,1051.5569038881088,1063.1297197129215,1078.1861743933798,1096.5647286170426,1098.0571279182109,1156.973597846492,0.251,0.00028244007180436325
7,2.0,100.0,1000,1030.6389449810733,1033.7734185397537,1044.0973486147582,1081.750602639888,1104.6967697014584,1116.0425070754436,1153.8293357368937,0.011,0.004977985178215552
7,2.0,100.0,1000,1046.338789203899,1073.2410015925393,1073.9723144700972,1077.2218442782707,1094.5099134307861,1127.6010340329383,1133.0502598614628,0.131,0.067666959141752
7,2.0,100.0,1000,1058.7527900174466,1081.6605198779173,1084.4740089824054,1085.9533681201367,1144.8977838787391,1146.9443025564278,1148.9990291723834,0.061,0.015279636250035967
7,2.0,100.0,1000,1025.4059642358066,1062.6677733325798,1088.208015627377,1129.83799988755,1139.1106800544046,1155.2048534099881,1216.1172099828266,0.801,0.13295482685313678
7,2.0,100.0,1000,1034.3210223299873,1058.4573627423474,1072.669155872476,1085.493415278093,1098.517228808236,1146.9221461445777,1170.1046717763106,0.081,0.006097272130394013
7,2.0,100.0,1000,1026.0252323026518,1050.4947264456334,1076.5329160380386,1095.0980014209272,1108.3361506522601,1110.3222537115107,1178.0504913607144,0.241,0.016429226816050177
7,2.0,100.0,1000,1010.4856325167068,1049.1243351840135,1072.9841885475657,1080.7170910201407,1108.4537363095667,1153.3676100215293,1181.7402376680254,0.561,0.08914361191621246
7,2.0,100.0,1000,1007.5428810136474,1069.2603689582425,1085.643721829034,1087.9927438250013,1091.2386372837561,1108.0191490551563,1113.485071513974,0.221,0.5605155876770123
7,2.0,100.0,1000,1005.3102403024394,1036.1864168918476,1057.4787804188127,1061.9321957972468,1085.8969645208747,1087.8431615440782,1192.4576814181353,0.141,0.03241069005683806
7,2.0,100.0,1000,1059.776368425054,1074.0497919923953,1075.8317512145882,1133.8875934509933,1152.352569677413,1160.457133446506,1168.2403434339117,0.081,0.004274274689978461
7,2.0,100.0,1000,1062.7673047190087,1084.5559408492757,1085.7100526704346,1093.8580369431033,1111.4568404512556,1115.9942665423857,1135.8864384596507,0.151,0.14968992406768175
7,2.0,100.0,1000,1007.6936854997143,1019.555305060244,1054.478553207486,1077.3490139547823,1103.303577473777,1137.3994558338354,1180.924805072288,0.111,0.08702900644491066
7,2.0,100.0,1000,1036.3094983743213,1036.7839601860114,1047.9931118649606,1063.3977566515869,1091.422157328085,1098.9712257316105,1109.7454304680189,0.011,0.121854512712561
7,2.0,100.0,1000,1034.4777176225657,1043.7407590904465,1064.3477749456722,1071.0293901915504,1088.0460479646727,1110.5397451996123,1117.229602539097,0.041,0.046674620865063556
7,2.0,100.0,1000,1022.3984233031857,1085.8482925413375,1092.9084122556662,1101.3985381090904,1115.803942973248,1135.2974195618135,1148.269212252552,0.311,0.14041525043971548
7,2.0,100.0,1000,1032.7455863968694,1047.8535008683766,1098.7931231514667,1110.3457919216091,1114.0730174850628,1133.727939321187,1137.7538995762009,0.321,0.0018773636656667706
7,2.0,100.0,1000,1035.6665549892086,1069.4522220578237,1078.5300707703798,1120.0263069176797,1123.700695146537,1155.297594604873,1171.2783948104188,0.371,0.03243116990258968
7,2.0,100.0,1000,1048.1320071048392,1065.2061506076632,1066.0659990291445,1068.847781279479,1073.4253694257268,1077.6289528800187,1083.5562307094378,0.291,0.592653591624446
7,2.0,100.0,1000,1070.4263084046838,1109.519639735079,1115.047976051102,1115.658196430948,1118.9704992863053,1126.057133258573,1179.6044494870198,0.191,0.11898147722745817
7,2.0,100.0,1000,1047.0023166096048,1093.921400272568,1106.547133393063,1113.2728583133419,1121.9614313310813,1126.5882382825969,1155.3121957528754,0.291,0.1024112311864045
7,2.0,100.0,1000,1026.9425382476277,1033.8454708219772,1082.5726744737378,1090.5357498963579,1095.3947781269665,1153.3789622722284,1246.0270095866135,0.041,0.09702475668005517
7,2.0,100.0,1000,1067.5282303695078,1083.4949875565803,1092.9045812917811,1100.7488191307955,1118.736040689438,1133.31214839582,1133.9157797301586,0.091,0.10967954746495343
7,2.0,100.0,1000,1038.9651975526233,1062.3845949090992,1078.8354916460692,1082.998410654244,1095.417387124206,1135.726706150229,1145.5423984970937,0.151,0.005586349130916601
7,2.0,100.0,1000,1068.204244703006,1088.3431469298885,1119.916252737733,1124.1262125176615,1136.8537893747925,1143.1249682088894,1210.385935013295,0.161,0.002481144922236245
7,2.0,100.0,1000,1015.1430101158403,1047.6625238385193,1056.2764198550906,1067.6060789386383,1101.9780172593069,1111.705298560098,1118.4981866153862,0.281,0.0006608385373992234
7,2.0,100.0,1000,1043.4498238196159,1082.8974553054309,1090.0031815108327,1091.3944641395456,1096.2466571663058,1106.311255333676,1115.103277250749,0.201,0.4926817187593295
7,2.0,100.0,1000,1012.3454684177179,1066.555691715064,1070.2882551087803,1148.1726740886477,1175.8799073571417,1191.9368278013771,1210.601461173376,0.971,0.045717774339923384
7,2.0,100.0,1000,1014.2697921954476,1058.8980621943276,1068.9579636890653,1071.911402303206,1074.634618897881,1107.323039240149,1157.4687986979804,0.301,0.0025964175544616252
7,2.0,100.0,1000,1018.4669065540551,1033.2288353657423,1043.2887620507065,1075.075147073002,1101.486243906583,1102.7853925236716,1126.5084783411176,0.051,0.0006349376967965016
7,2.0,100.0,1000,1045.340703086041,1054.774886035462,1059.0988935217122,1085.6699423177943,1097.1627558410978,1103.4835978626818,1107.9620309709817,0.041,0.12609696392103992
7,2.0,100.0,1000,1038.4362554953952,1055.6225981752425,1068.3948050138642,1071.6188545394175,1077.4071384659733,1095.0085119460216,1111.6248994553093,0.151,0.13983113388149956
7,2.0,100.0,1000,1036.463468331802,1059.382895698653,1072.7240969969366,1079.8421701311254,1088.4875147370822,1107.659755555612,1127.2617258027137,0.231,0.04866868717666676
